Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0217534,0.08928887,0.17244735,0.38142427,0.20012261,0.27543798,0.37090148,0.30584347,0.22628738
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 77000,2.0352976,0.08991078,0.20366703,0.36042749,0.2102363,0.30232376,0.40515737,0.26475145,0.19882341
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,77000 to 127000,2.0466949,0.11562725,0.17995301,0.45484987,0.21380867,0.29269421,0.33920411,0.26427765,0.18628013
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 127000,1.9834148,0.06192178,0.13488153,0.32692742,0.17651373,0.23211734,0.37027078,0.3874953,0.29328695
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5773404,0.1453653,0.39743946,0.50227047,0.31559505,0.32986756,0.37456292,0.31252928,0.19971034
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 111000,2.6021837,0.14200798,0.41818615,0.53386756,0.31176377,0.31354033,0.37247624,0.30364592,0.20669576
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,111000 to 185000,2.671573,0.1706945,0.45507619,0.58556289,0.3426908,0.33679679,0.34116139,0.26848066,0.1711098
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 185000,2.4616505,0.12366996,0.32147766,0.39098254,0.29261129,0.33836827,0.40927515,0.36405077,0.22121489
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.222893,0.18986246,0.7122158,0.54346152,0.44319237,0.45003877,0.4152722,0.29721619,0.17163363
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 189000,3.355118,0.20176261,0.74548027,0.67239651,0.47065006,0.40434994,0.39738034,0.27225097,0.19084735
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,189000 to 318000,3.1580969,0.17894184,0.69211593,0.53760946,0.43550145,0.44920469,0.40536684,0.29472174,0.16463496
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 318000,3.1590166,0.18924042,0.69997315,0.42341773,0.42412061,0.49550631,0.44272717,0.32411429,0.15991692
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8914649,0.122785,0.20643828,0.57937094,0.24298582,0.19469876,0.18953042,0.18879209,0.16686356
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 100000,1.9644914,0.14443378,0.23536468,0.53334933,0.2903071,0.20633397,0.16650672,0.21737044,0.17082534
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,100000 to 144000,1.9861111,0.16858974,0.25235043,0.6957265,0.27542735,0.1957265,0.17799145,0.08547009,0.13482906
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 144000,1.7323254,0.05792164,0.13500852,0.50425894,0.16865417,0.18334753,0.22146508,0.26639693,0.19527257
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.3422507,0.13615877,0.29943297,0.60330038,0.33679849,0.23749637,0.27965978,0.23124455,0.21815935
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 129000,2.6304494,0.20500782,0.32327297,0.81243014,0.37268053,0.25776884,0.28325509,0.25620389,0.11983009
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,129000 to 183000,2.274599,0.09037711,0.33810143,0.64651062,0.40528825,0.24924144,0.23493715,0.16384915,0.14629389
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 183000,2.1330049,0.11544228,0.23838081,0.36024845,0.23473977,0.20646819,0.32041122,0.27393446,0.38337974
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3651599,0.05605959,0.08585238,0.36412979,0.16675251,0.19737728,0.22772473,0.17554772,0.09171586
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 41000,1.2472587,0.04446319,0.07952765,0.19351729,0.1085673,0.18231112,0.29642126,0.20424147,0.13820942
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,41000 to 68000,1.3695705,0.06756757,0.08675193,0.29235039,0.12632722,0.20656371,0.28619691,0.22405888,0.07975386
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 68000,1.4740005,0.056159,0.09105616,0.59648717,0.26126647,0.2030275,0.10584701,0.10157153,0.05858563
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.0173288,0.18819237,0.30255372,0.68289807,0.21946879,0.19717934,0.21917961,0.13496018,0.07289674
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 67000,1.9023366,0.20108364,0.27260413,0.51710125,0.16647477,0.22742973,0.26332543,0.18354216,0.07077548
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,67000 to 95000,2.0918959,0.2168959,0.33056904,0.74878641,0.21015372,0.20408576,0.19626483,0.12816882,0.05697141
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 95000,2.0558703,0.1480758,0.3042912,0.77866771,0.27941655,0.16142476,0.19886697,0.09481018,0.09031712
"2-4 Units (Own/Rent), 3 BR",All Values,,3.0286384,0.35915293,0.83250426,0.84501137,0.3703809,0.23315804,0.15946561,0.13601478,0.09295054
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 66000,3.5606658,0.58782304,1.3096802,0.78296102,0.36202365,0.20389838,0.16250548,0.10797197,0.04380201
"2-4 Units (Own/Rent), 3 BR",Second Tercile,66000 to 105000,2.7477074,0.30496908,0.78694818,0.78566859,0.36809554,0.22371508,0.1032203,0.116656,0.05843463
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 105000,2.7977995,0.1951422,0.42453809,0.96159435,0.3805273,0.27008512,0.21133486,0.18144073,0.17313681
"5-49 Units (Own), 0-1 BR",All Values,,1.5468127,0.0,0.21812749,0.47908367,0.16832669,0.27589641,0.20517928,0.16334661,0.03685259
"5-49 Units (Own), 0-1 BR",First Tercile,Below 77000,1.3051948,0.0,0.0,0.34415584,0.0,0.31168831,0.25,0.27922078,0.12012987
"5-49 Units (Own), 0-1 BR",Second Tercile,77000 to 167000,1.5979381,0.0,0.50171821,0.36769759,0.38487973,0.05154639,0.04467354,0.24742268,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 167000,1.6938272,0.0,0.18024691,0.6617284,0.14074074,0.40987654,0.28641975,0.01481481,0.0
"5-49 Units (Own), 2 BR",All Values,,1.5310458,0.01895425,0.08398693,0.38823529,0.13006536,0.21601307,0.19248366,0.36339869,0.1379085
"5-49 Units (Own), 2 BR",First Tercile,Below 108000,1.8888889,0.0692951,0.29271207,0.5734767,0.32377539,0.13500597,0.22102748,0.22102748,0.0525687
"5-49 Units (Own), 2 BR",Second Tercile,108000 to 200000,1.4809524,0.0,0.0,0.22,0.04,0.36380952,0.24,0.53238095,0.0847619
"5-49 Units (Own), 2 BR",Third Tercile ,Above 200000,1.3205456,0.0,0.01023018,0.40664962,0.07246377,0.14151748,0.12958227,0.31372549,0.24637681
"5-49 Units (Own), 3 BR",All Values,,1.9459135,0.23617788,0.16947115,0.52403846,0.11358173,0.12680288,0.23737981,0.25120192,0.28725962
"5-49 Units (Own), 3 BR",First Tercile,Below 157000,2.53125,0.125,0.0,1.4739583,0.0,0.3125,0.0,0.27604167,0.34375
"5-49 Units (Own), 3 BR",Second Tercile,157000 to 221000,1.892905,0.47255689,0.3601071,0.66398929,0.02141901,0.03748327,0.11378849,0.17804552,0.04551539
"5-49 Units (Own), 3 BR",Third Tercile ,Above 221000,1.8455172,0.02206897,0.01793103,0.12827586,0.23862069,0.16965517,0.42758621,0.32,0.52137931
"5-49 Units (Rent), 0-1 BR",All Values,,1.2836875,0.04489981,0.04096625,0.58946342,0.14365923,0.12173884,0.15976331,0.11393895,0.06925767
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 69000,1.2067986,0.0354135,0.03876205,0.30705226,0.14672755,0.15900558,0.23242009,0.19868087,0.08873668
"5-49 Units (Rent), 0-1 BR",Second Tercile,69000 to 97000,1.2776681,0.05279019,0.03844955,0.65333056,0.16044892,0.1138938,0.1482386,0.07393744,0.03657903
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 97000,1.3631405,0.04661017,0.04544126,0.80070134,0.12497565,0.09331775,0.10081823,0.07008572,0.08119034
"5-49 Units (Rent), 2 BR",All Values,,2.0187551,0.17859723,0.27344392,0.86004633,0.24694264,0.1698797,0.15870881,0.08204438,0.04909213
"5-49 Units (Rent), 2 BR",First Tercile,Below 84000,1.9905548,0.25251552,0.30864721,0.71082154,0.19515016,0.15166352,0.1939165,0.11854736,0.05929296
"5-49 Units (Rent), 2 BR",Second Tercile,84000 to 112000,2.0347398,0.16730932,0.29011054,0.8986082,0.25841871,0.16304947,0.15614557,0.06272263,0.03837538
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 112000,2.0296741,0.11924948,0.22305367,0.96402241,0.28494544,0.19415364,0.12761722,0.06653642,0.05009584
"5-49 Units (Rent), 3 BR",All Values,,3.3403744,0.31461165,0.99536052,1.05682,0.4289613,0.31024507,0.12351946,0.06484362,0.04601277
"5-49 Units (Rent), 3 BR",First Tercile,Below 96000,3.4833929,0.36978368,1.1931528,1.1165049,0.37727815,0.21069664,0.12842787,0.05757111,0.02997786
"5-49 Units (Rent), 3 BR",Second Tercile,96000 to 138000,3.1994819,0.28740285,1.1227332,0.87937176,0.45417746,0.28400259,0.05165155,0.06444301,0.05569948
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 138000,3.3452343,0.28976729,0.68489002,1.1756455,0.45250239,0.42923175,0.18967166,0.07204335,0.05148231
"50+ Units (Own), 0-1 BR",All Values,,1.2304251,0.0,0.0,0.3557047,0.04697987,0.05145414,0.29530201,0.098434,0.38255034
"50+ Units (Own), 0-1 BR",First Tercile,Below 124000,1.0,0.0,0.0,0.57777778,0.1,0.0,0.0,0.0,0.32222222
"50+ Units (Own), 0-1 BR",Second Tercile,124000 to 248000,1.0,0.0,0.0,0.33333333,0.0,0.0,0.0,0.12345679,0.54320988
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 248000,1.5282051,0.0,0.0,0.27179487,0.06153846,0.11794872,0.67692308,0.12307692,0.27692308
