Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.3790323,0.16487455,0.33046595,0.41792115,0.31057348,0.37043011,0.3688172,0.31541219,0.10053763
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,219000,2.3142384,0.13311258,0.31589404,0.50629139,0.2910596,0.26754967,0.42450331,0.24205298,0.13377483
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,219000,2.4554688,0.20234375,0.34765625,0.31367187,0.33359375,0.49179688,0.303125,0.40195313,0.06132812
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.9188972,0.22079265,0.5946008,0.58581275,0.51470419,0.33819644,0.35933372,0.24738656,0.05807007
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,293000,2.9725908,0.26103981,0.67195997,0.66510768,0.56395475,0.3203176,0.26495541,0.1842506,0.041005
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,293000,2.8588121,0.17575463,0.50803311,0.49707887,0.45959104,0.35820351,0.46494645,0.31803797,0.0771665
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,4.1214961,0.33251969,1.2374803,0.76653543,0.63141732,0.61322835,0.36488189,0.13590551,0.03952756
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,413000,4.4352316,0.39967542,1.3871348,0.83343169,0.64429035,0.67807613,0.31882561,0.12688109,0.04691649
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,413000,3.7624113,0.25565687,1.0661939,0.6899696,0.61668355,0.53900709,0.41759541,0.14623438,0.03107058
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0360777,0.05087882,0.09713228,1.1258094,0.24421832,0.03700278,0.27567068,0.11008326,0.09528215
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,219000,2.0587393,0.07879656,0.0,1.5358166,0.16905444,0.00859599,0.12034384,0.03295129,0.11318052
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,219000,1.9947781,0.0,0.27415144,0.37859008,0.38120104,0.08877285,0.55874674,0.25065274,0.06266319
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.992289,0.35308442,0.58258929,1.0166396,0.43729708,0.20211039,0.25324675,0.10978084,0.03754058
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,237000,3.104368,0.42404329,0.63587167,1.3556243,0.38461538,0.11441825,0.17278701,0.00927716,0.00773096
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,237000,2.8684323,0.27466894,0.52370782,0.64203332,0.49551474,0.29901751,0.34216147,0.22084579,0.0704827
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4602804,0.05607477,0.06542056,0.80140187,0.10280374,0.21728972,0.07242991,0.12383178,0.02102804
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,138000,1.5545723,0.07079646,0.08259587,0.89675516,0.12979351,0.20353982,0.09144543,0.07964602,0.0
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,138000,1.1011236,0.0,0.0,0.43820225,0.0,0.26966292,0.0,0.29213483,0.1011236
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.9961297,0.13207547,0.16981132,0.91969037,0.14852443,0.19980648,0.27140784,0.12239961,0.03241413
"2-4 Units  (Own/Rent), 2 BR",    Below Median,187000,2.1767169,0.16080402,0.19430486,1.0175879,0.15242881,0.18257956,0.31909548,0.14321608,0.00670017
