Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.6258321,0.15045071,0.37641513,0.5435245,0.34788296,0.33709116,0.36650564,0.29798149,0.20598054,1073315.0,0.02142424,2.5905892,2.661075,0.0134216
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 216000,2.9023769,0.20942983,0.55216295,0.72451604,0.3910493,0.34402051,0.32165916,0.2210359,0.13850322,357313.0,0.03783455,2.8401391,2.9646147,0.02144375
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,216000 to 497000,2.6057851,0.13971609,0.34620768,0.56590319,0.35428409,0.33242893,0.36732705,0.29489807,0.20502002,347927.0,0.04059376,2.5390084,2.6725619,0.02562634
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 497000,2.3763228,0.10334307,0.23435985,0.34667119,0.299928,0.33477145,0.40926442,0.37559193,0.27239285,368075.0,0.03057056,2.3260342,2.4266113,0.02116235
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,3.1129459,0.18393343,0.53148709,0.63662421,0.40994588,0.41693492,0.42670439,0.30963063,0.19768538,3515647.0,0.01158792,3.0938838,3.1320081,0.0061235
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 324000,3.4287403,0.23738719,0.71454455,0.85190792,0.47417248,0.40974581,0.36367566,0.2327126,0.14459404,1138069.0,0.02208077,3.3924174,3.4650631,0.01059365
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,324000 to 628000,3.1122785,0.17352087,0.48826079,0.64353212,0.41405805,0.42505477,0.44190493,0.32040206,0.20554492,1144796.0,0.02092111,3.0778633,3.1466937,0.01105789
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 628000,2.8220334,0.14425584,0.40263485,0.43146558,0.34683504,0.41603138,0.47077504,0.3706365,0.23939918,1232782.0,0.0191233,2.7905756,2.8534912,0.01114722
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.6893116,0.20671842,0.73310255,0.74617512,0.47575308,0.52486858,0.48916954,0.31974401,0.19378031,2707272.0,0.01604933,3.6629105,3.7157127,0.00715612
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 477000,4.1734651,0.27693802,0.92751874,1.0424947,0.5736093,0.52055523,0.42404765,0.25581239,0.152489,862554.0,0.03959366,4.1083335,4.2385967,0.01560612
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,477000 to 863000,3.6672607,0.1970403,0.67379554,0.7383116,0.48125494,0.52485377,0.51220468,0.33764291,0.20215697,901171.0,0.0310863,3.6161237,3.7183977,0.01394419
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 863000,3.2677779,0.15176986,0.61201827,0.4828016,0.38104196,0.5288258,0.52670084,0.36109277,0.22352676,943547.0,0.02383966,3.2285616,3.3069941,0.01200089
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.5560166,0.18196151,0.37881712,0.61829895,0.39062465,0.32048871,0.29870236,0.21699365,0.15012962,404657.0,0.03215384,2.5031235,2.6089096,0.02069356
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 224000,2.9998738,0.25023007,0.61068396,0.81303064,0.43279107,0.3425236,0.28408686,0.16861604,0.0979116,134744.0,0.06720187,2.8893268,3.1104209,0.03685057
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,224000 to 442000,2.4831175,0.1817164,0.33763545,0.64040153,0.42932186,0.3060636,0.27636291,0.19056602,0.12104969,130401.0,0.04578656,2.4077986,2.5584364,0.03033239
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 442000,2.1954671,0.11625523,0.19336688,0.40956334,0.31372928,0.31268995,0.33369889,0.28841963,0.22774385,139512.0,0.04573734,2.1202291,2.270705,0.03426967
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,3.1218742,0.22325322,0.54777099,0.74734109,0.47980627,0.40507774,0.34659576,0.22698546,0.14504369,358230.0,0.03832828,3.0588242,3.1849242,0.02019621
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 334000,3.6139726,0.26363406,0.78067028,1.05424,0.52774204,0.43105958,0.29798578,0.16014726,0.09849357,118160.0,0.09226398,3.4621983,3.7657468,0.04199651
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,334000 to 625000,3.0012478,0.2161568,0.48418613,0.70619992,0.46604645,0.39653504,0.36106207,0.23220834,0.13885305,117808.0,0.07233658,2.8822541,3.1202415,0.03964807
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 625000,2.7625182,0.19106509,0.38395413,0.49038131,0.44673733,0.38819911,0.37963554,0.28654856,0.19599712,122262.0,0.0609552,2.6622469,2.8627895,0.03629707
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.9087917,0.11627584,0.23253876,0.59577966,0.29752005,0.24549562,0.20777153,0.13573696,0.07767332,309643.0,0.03100058,1.8577958,1.9597877,0.02671635
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 119000,1.8292609,0.11845746,0.24607668,0.43554017,0.22217007,0.23755048,0.24512824,0.19416659,0.13017121,102273.0,0.05309066,1.7419268,1.916595,0.04774286
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,119000 to 183000,2.1077854,0.14662049,0.32135933,0.64654815,0.33538473,0.27828956,0.21508841,0.11392991,0.05056478,103669.0,0.05554315,2.0164169,2.1991538,0.04334809
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 183000,1.7882952,0.08378897,0.13039411,0.70305976,0.33397942,0.22054754,0.16361462,0.09991225,0.05299852,103701.0,0.04726415,1.7105457,1.8660447,0.0434769
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.8170178,0.22021746,0.52428797,0.84863917,0.43545145,0.31928917,0.2478153,0.14438665,0.07693059,521925.0,0.02908973,2.7691652,2.8648704,0.01698698
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 154000,2.8758975,0.24834378,0.63563093,0.83037962,0.37331412,0.29862931,0.25903039,0.15074089,0.0798285,172833.0,0.06296684,2.7723171,2.979478,0.03601674
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,154000 to 234000,3.1213446,0.23855897,0.64155148,0.95612623,0.48844869,0.35939371,0.25859116,0.12565805,0.05301629,174569.0,0.06053749,3.0217604,3.2209287,0.03190426
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 234000,2.4543012,0.17401718,0.2967288,0.75920652,0.44397587,0.29963386,0.22593011,0.15682747,0.09798135,174523.0,0.05005693,2.3719575,2.5366448,0.03355075
"2-4 Units (Own/Rent), 3 BR",All Values,,3.5946335,0.26550725,0.78700814,1.1100373,0.48402463,0.405833,0.27569102,0.17194142,0.09459078,152203.0,0.08318309,3.4577973,3.7314697,0.0380668
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 187000,3.8924716,0.38178613,1.0773238,1.1228584,0.48731407,0.38931252,0.24892551,0.11994692,0.06500426,50489.0,0.15313857,3.6405587,4.1443846,0.06471799
"2-4 Units (Own/Rent), 3 BR",Second Tercile,187000 to 340000,3.9305245,0.24604203,0.85981143,1.3188961,0.5377529,0.47497545,0.27931644,0.14248674,0.07124337,50910.0,0.15912509,3.6687637,4.1922852,0.06659691
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 340000,2.9620502,0.16945516,0.42553736,0.88800094,0.4269152,0.35296433,0.29865759,0.25312967,0.14738997,50804.0,0.11313541,2.7759425,3.148158,0.06283072
"5-49 Units (Own), 0-1 BR",All Values,,1.458911,0.03396171,0.05723856,0.30624221,0.23284188,0.22638695,0.26983545,0.20452823,0.12787599,40899.0,0.05732679,1.3646084,1.5532135,0.06463902
"5-49 Units (Own), 0-1 BR",First Tercile,Below 324000,1.4867666,0.02900171,0.06881384,0.27309327,0.18802654,0.21479162,0.31089242,0.24677552,0.15537165,13413.0,0.10627923,1.3119372,1.6615959,0.11759031
"5-49 Units (Own), 0-1 BR",Second Tercile,324000 to 553000,1.4067417,0.03408159,0.03960027,0.34215825,0.23141174,0.2267134,0.24051011,0.1762995,0.11596689,13409.0,0.09281268,1.2540649,1.5594186,0.10853225
