Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.3714931,0.12048494,0.2870538,0.4241694,0.26143358,0.22512579,0.32530933,0.39768769,0.33022861
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,350000,2.6235788,0.1789916,0.40753831,0.61391498,0.33618389,0.26327237,0.29957983,0.28843302,0.23566485
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,350000,2.1141473,0.06075745,0.16405521,0.23046451,0.18512351,0.18618323,0.35157571,0.50922211,0.42676557
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,3.057055,0.21347292,0.58497035,0.6238353,0.45624155,0.42149464,0.35656165,0.26373145,0.13674713
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,400000,3.2546343,0.25804368,0.70010044,0.78022833,0.49671557,0.40649624,0.30135197,0.19858909,0.11310896
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,400000,2.8488536,0.166506,0.46365073,0.4590344,0.4135916,0.43729937,0.41473947,0.33237595,0.16165612
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.8497638,0.26368461,0.93418836,0.73439974,0.59185798,0.5909269,0.40549336,0.22059765,0.10861522
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,530000,4.0480943,0.29603232,1.0155281,0.89054429,0.63653172,0.54461952,0.36098424,0.1992085,0.10464571
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,530000,3.641527,0.2297212,0.84878589,0.57045603,0.54495286,0.63954726,0.45222564,0.24305516,0.112783
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.4134187,0.20618777,0.28873874,0.70860597,0.4688478,0.28824087,0.22413466,0.13546705,0.09319583
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,375000,2.622485,0.24883381,0.38561938,0.86580597,0.43160722,0.28115724,0.22645243,0.10201197,0.08099703
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,375000,2.2016987,0.16300043,0.19062843,0.5494107,0.50656105,0.29541442,0.22178747,0.16934676,0.10554946
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,3.0297579,0.29795207,0.55621776,0.78992491,0.59640195,0.38422501,0.2437048,0.1113846,0.04994676
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,475000,3.275876,0.29608516,0.69316186,0.93340178,0.5750412,0.3758139,0.24410342,0.10985329,0.04841542
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,475000,2.7717256,0.29990936,0.41264446,0.63950261,0.61879674,0.39304328,0.24328688,0.11299003,0.05155223
