Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0039285,0.07783484,0.18104875,0.39960531,0.26965177,0.23863427,0.34465514,0.30818921,0.18430923,163166.0,0.0369471,1.9431505,2.0647065,0.03032942
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 190000,2.08657,0.10605522,0.24061769,0.52948994,0.28569022,0.24181563,0.29222274,0.2453533,0.14532522,53425.0,0.08477031,1.9471228,2.2260171,0.06683081
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,190000 to 366000,1.9856058,0.06748234,0.17871551,0.43309532,0.27856588,0.23203091,0.3336995,0.27981591,0.18220042,52799.0,0.06710731,1.8752143,2.0959973,0.05559589
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 366000,1.943381,0.06095676,0.12732254,0.24668961,0.24633838,0.24177233,0.40400759,0.39345299,0.22284079,56942.0,0.0624355,1.8406746,2.0460874,0.05284934
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5560965,0.14618022,0.39479641,0.50827186,0.35431366,0.32855771,0.37666502,0.29191224,0.15539934,580099.0,0.02311519,2.518072,2.5941209,0.014876
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 286000,2.6894439,0.16403153,0.50929121,0.64464919,0.3706373,0.31250903,0.31978576,0.22560555,0.14293434,186897.0,0.04445166,2.6163209,2.7625669,0.02718889
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,286000 to 442000,2.515098,0.14267946,0.35496497,0.51996649,0.34439537,0.32863235,0.36993096,0.29624835,0.15828003,196980.0,0.04185881,2.4462402,2.5839557,0.02737776
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 442000,2.4702429,0.13269154,0.325728,0.36663575,0.34872237,0.34376879,0.43760129,0.35071501,0.16438014,196222.0,0.04290035,2.3996718,2.540814,0.02856847
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2010134,0.20023796,0.69072861,0.57032291,0.48048458,0.46550459,0.40680273,0.26681588,0.12011615,600935.0,0.02568985,3.1587536,3.2432732,0.01320201
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 387000,3.3871808,0.22261907,0.73527162,0.79957546,0.47827915,0.41799271,0.36794484,0.23882548,0.12667244,197391.0,0.05633207,3.2945145,3.479847,0.02735793
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,387000 to 572000,3.1446061,0.20163753,0.67324761,0.53475013,0.50744077,0.44533765,0.40068273,0.26078386,0.12072585,194805.0,0.05115329,3.060459,3.2287533,0.02675921
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 572000,3.0776089,0.17776745,0.66492127,0.38673176,0.45741332,0.52925424,0.4492596,0.29891395,0.11334729,208739.0,0.04511191,3.0033998,3.151818,0.02411258
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9191553,0.09364942,0.19997761,0.59928909,0.25878138,0.20857007,0.22004534,0.20104117,0.13780123,71458.0,0.05490561,1.8288356,2.009475,0.04706223
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 189000,2.124351,0.14697564,0.32404711,0.69997045,0.29618843,0.2130767,0.20319953,0.13870246,0.10219071,23691.0,0.11892271,1.9287232,2.3199789,0.09208829
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,189000 to 314000,1.9595658,0.09133368,0.19585712,0.72461512,0.26254108,0.18880816,0.2181716,0.16818025,0.11005881,23124.0,0.09809063,1.7982067,2.1209249,0.0823443
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 314000,1.683967,0.04455626,0.08456763,0.38489632,0.21929148,0.22278132,0.23799862,0.291807,0.19806842,24643.0,0.09472022,1.5281523,1.8397818,0.09252839
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.5036343,0.16469306,0.40145068,0.65613738,0.36821224,0.29095369,0.27187377,0.21684485,0.13346861,66038.0,0.0860931,2.3620111,2.6452574,0.05656703
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 248000,2.8919166,0.23450073,0.62481712,0.93356803,0.40915326,0.28104426,0.19897586,0.13940198,0.07045538,21872.0,0.17649747,2.6015783,3.1822549,0.10039651
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,248000 to 399000,2.5611454,0.17032534,0.38506521,0.68468928,0.38729289,0.31828097,0.27456258,0.20109528,0.13983385,21547.0,0.15824837,2.3008268,2.821464,0.10164146
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 399000,2.0733896,0.09182546,0.2010699,0.36067023,0.31044697,0.27450374,0.33980282,0.30673328,0.18833724,22619.0,0.1078771,1.8959318,2.2508475,0.08558827
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3299167,0.0328422,0.04650865,0.55818919,0.16720051,0.15344864,0.20418535,0.1164211,0.05112108,23415.0,0.07724457,1.2028494,1.456984,0.09554532
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 94000,1.1994265,0.01629301,0.02515641,0.35205944,0.0895464,0.1504171,0.30005214,0.19408238,0.0718196,7672.0,0.10332364,1.0294591,1.3693939,0.14170722
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,94000 to 137000,1.3458989,0.044456,0.06148447,0.66294034,0.19290264,0.12127908,0.15039646,0.07825296,0.03418692,7693.0,0.14492362,1.1074995,1.5842982,0.17713021
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 137000,1.4390062,0.03751553,0.05254658,0.65453416,0.21664596,0.18708075,0.1642236,0.07888199,0.04757764,8050.0,0.15950661,1.1766178,1.7013946,0.18233999
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.1571394,0.16107048,0.30545542,0.78053009,0.28731074,0.23521132,0.18251107,0.12565661,0.07939369,58254.0,0.07880544,2.0275045,2.2867744,0.06009577
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 120000,2.1277278,0.17819837,0.32847244,0.6836798,0.25886855,0.27655394,0.19810735,0.15353191,0.05031544,19338.0,0.16178759,1.8615872,2.3938684,0.12508206
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,120000 to 182000,2.3706189,0.19898828,0.40814536,0.90698395,0.36912197,0.21271873,0.15676457,0.07231714,0.0455789,19373.0,0.15520836,2.1153011,2.6259367,0.10770089
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 182000,1.9746201,0.10653431,0.18088318,0.75101059,0.23435501,0.21659929,0.19260093,0.15094919,0.14168756,19543.0,0.11501589,1.7854189,2.1638212,0.09581647
"2-4 Units (Own/Rent), 3 BR",All Values,,2.9190038,0.15933947,0.60303194,1.1181917,0.36296697,0.292366,0.18337845,0.11624256,0.08348674,18470.0,0.205432,2.5810681,3.2569394,0.11577088
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 150000,2.9096594,0.18989633,0.71350996,0.93730459,0.42389337,0.33503373,0.15007405,0.09889748,0.06104986,6077.0,0.32249458,2.3791558,3.440163,0.18232498
"2-4 Units (Own/Rent), 3 BR",Second Tercile,150000 to 239000,3.377101,0.18488933,0.75819604,1.544683,0.38608754,0.26410384,0.16608421,0.0449326,0.02812448,6009.0,0.37054708,2.7675511,3.986651,0.18049503
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 239000,2.4967105,0.10620301,0.35181704,0.8889411,0.28320802,0.27835213,0.23135965,0.19987469,0.15695489,6384.0,0.30880462,1.9887269,3.0046941,0.20346115
"5-49 Units (Own), 0-1 BR",All Values,,1.2677376,0.02550945,0.01212256,0.33905994,0.20236502,0.24312063,0.20898408,0.16830284,0.06827309,13446.0,0.08352913,1.1303322,1.405143,0.10838632
"5-49 Units (Own), 0-1 BR",First Tercile,Below 183000,1.2798552,0.04897467,0.01616405,0.22750302,0.19638118,0.26272618,0.24680338,0.20916767,0.0721351,4145.0,0.14384431,1.0432314,1.5164791,0.18488332
"5-49 Units (Own), 0-1 BR",Second Tercile,183000 to 282000,1.2917217,0.03082343,0.01827389,0.42734478,0.22809335,0.20915896,0.21708498,0.10810216,0.05284016,4542.0,0.16457435,1.0209969,1.5624465,0.20958446
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 282000,1.2342929,0.0,0.00273167,0.3519647,0.18302164,0.25845766,0.16831267,0.190166,0.07963858,4759.0,0.14512366,0.9955645,1.4730213,0.1934131
