Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9521598,0.07904404,0.14111388,0.29535954,0.22433813,0.25862433,0.3508846,0.40037157,0.20242368
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,400000,1.9460914,0.10574694,0.17779066,0.39516396,0.2779894,0.25695595,0.27848625,0.28237827,0.17157999
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,400000,1.9584733,0.05126217,0.10295511,0.19152236,0.168519,0.26036013,0.42620832,0.52313259,0.23451366
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6122897,0.17789359,0.43430751,0.51923837,0.38285306,0.35420669,0.36069896,0.27147626,0.11161523
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,385000,2.6354354,0.19604775,0.47302893,0.63365482,0.3789708,0.33192149,0.30847778,0.20829568,0.10503811
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,385000,2.5886725,0.15936962,0.39479733,0.40249123,0.3868144,0.37694584,0.4139839,0.33594384,0.11832634
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4002003,0.24960337,0.87270037,0.50093954,0.59679543,0.56119406,0.3470064,0.20795405,0.06400707
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,500000,3.4873498,0.28346794,0.90528932,0.60439384,0.6204396,0.5156173,0.30748302,0.18833951,0.06231924
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,500000,3.3037873,0.21213917,0.83664739,0.3864886,0.57063801,0.6116154,0.39073091,0.22965351,0.06587429
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8332393,0.08586661,0.13092736,0.58702004,0.2230994,0.1829087,0.21423079,0.24739837,0.16178808
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,300000,2.0124004,0.14648654,0.17663071,0.75138623,0.26706321,0.15878617,0.19336627,0.18640992,0.1322714
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,300000,1.6478932,0.02315394,0.08364622,0.41697956,0.17761786,0.207864,0.2358156,0.31049228,0.19232374
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.4125346,0.20071195,0.38024523,0.63226781,0.36740858,0.28794362,0.24655712,0.20132322,0.09607709
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,345000,2.6957744,0.26921184,0.54756381,0.82071293,0.40462631,0.26056388,0.17190466,0.14195317,0.07923785
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,345000,2.1160583,0.12901089,0.20510745,0.43501619,0.32845157,0.31660288,0.32469826,0.26346777,0.11370327
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3389135,0.04327227,0.00568541,0.55748579,0.17909033,0.20783323,0.17530006,0.09128238,0.07896399
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,141000,1.2625226,0.03379602,0.002414,0.46409173,0.10319855,0.25165963,0.26735063,0.13277007,0.007242
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,141000,1.4227966,0.05367793,0.00927767,0.66003976,0.26242545,0.15970842,0.07422134,0.04572565,0.15772034
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.1912041,0.2226538,0.26776093,0.73737627,0.29645408,0.21501065,0.2177672,0.16652049,0.06766069
"2-4 Units  (Own/Rent), 2 BR",    Below Median,176000,2.260572,0.2925935,0.28966023,0.80053777,0.33537033,0.2067954,0.12050843,0.14373014,0.07137619
"2-4 Units  (Own/Rent), 2 BR",    Above Median,176000,2.1182519,0.14910026,0.24473008,0.67095116,0.25552699,0.22365039,0.32005141,0.19048843,0.06375321
"2-4 Units (Own/Rent), 3 BR",All Values,,3.24484,0.15660475,0.78044376,1.2267802,0.41511868,0.28276574,0.17105263,0.12693498,0.08513932
"2-4 Units (Own/Rent), 3 BR",    Below Median,202000,3.4241412,0.2485687,0.85687023,1.4098282,0.38645038,0.3153626,0.13835878,0.04914122,0.01956107
"2-4 Units (Own/Rent), 3 BR",    Above Median,202000,3.0337079,0.04831461,0.69044944,1.011236,0.4488764,0.24438202,0.20955056,0.21853933,0.16235955
"5-49 Units (Own), 0-1 BR",All Values,,1.2087043,0.00857237,0.0,0.33860864,0.23574019,0.27167821,0.14012529,0.16716123,0.04681833
"5-49 Units (Own), 0-1 BR",    Below Median,260000,1.1939858,0.01533019,0.0,0.29068396,0.28714623,0.22877358,0.18396226,0.15566038,0.03242925
"5-49 Units (Own), 0-1 BR",    Above Median,260000,1.2273747,0.0,0.0,0.39940165,0.17053104,0.32610322,0.08451758,0.18175019,0.06507105
"5-49 Units (Own), 2 BR",All Values,,1.737859,0.07624021,0.08960836,0.43394256,0.23822454,0.22381201,0.26715405,0.25169713,0.15718016
"5-49 Units (Own), 2 BR",    Below Median,285000,1.652741,0.07458732,0.13144487,0.42612594,0.20868148,0.21785205,0.24923579,0.22498472,0.11982882
"5-49 Units (Own), 2 BR",    Above Median,285000,1.827335,0.07797772,0.04562982,0.44215938,0.26928021,0.23007712,0.28598972,0.27977721,0.19644387
"5-49 Units (Own), 3 BR",All Values,,2.1223935,0.0294651,0.17497733,0.42384406,0.32003626,0.22665458,0.35403445,0.38032638,0.2130553
"5-49 Units (Own), 3 BR",    Below Median,340000,2.2952061,0.03952902,0.30529857,0.40874685,0.37678722,0.33305299,0.28595458,0.3490328,0.19680404
"5-49 Units (Own), 3 BR",    Above Median,340000,1.920354,0.01769912,0.02261554,0.44149459,0.25368732,0.10226155,0.43362832,0.41691249,0.23205506
"5-49 Units (Rent), 0-1 BR",All Values,,1.4291611,0.03910033,0.02606689,0.89066207,0.14044268,0.10647772,0.09701953,0.07264277,0.05674911
"5-49 Units (Rent), 0-1 BR",    Below Median,158000,1.3578188,0.0341209,0.03985064,0.81478143,0.11472349,0.10377905,0.08002318,0.09180455,0.0787356
"5-49 Units (Rent), 0-1 BR",    Above Median,158000,1.5019036,0.0441775,0.0120126,0.96803203,0.16666667,0.10922936,0.11434948,0.0531049,0.0343311
"5-49 Units (Rent), 2 BR",All Values,,2.2528323,0.1568338,0.27609377,1.1230264,0.28769435,0.2075449,0.10461613,0.0537845,0.04323852
"5-49 Units (Rent), 2 BR",    Below Median,180000,2.2145157,0.18296756,0.30134781,1.0474714,0.27516698,0.20980439,0.09512166,0.05498569,0.04765029
"5-49 Units (Rent), 2 BR",    Above Median,180000,2.291961,0.13014616,0.25030451,1.2001827,0.30048721,0.20523752,0.11431181,0.05255786,0.03873325
"5-49 Units (Rent), 3 BR",All Values,,3.4154381,0.26006295,1.0597979,1.1691237,0.45933411,0.26668875,0.07470598,0.06311082,0.06261388
"5-49 Units (Rent), 3 BR",    Below Median,194000,3.598513,0.39312268,1.3664808,1.0390335,0.4563197,0.24442379,0.04677819,0.01796778,0.03438662
"5-49 Units (Rent), 3 BR",    Above Median,194000,3.2050552,0.10715557,0.70736917,1.3186187,0.46279815,0.29227483,0.10679957,0.11498754,0.09505162
