Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0325629,0.07625326,0.16144275,0.331031,0.21084923,0.29126574,0.392489,0.31749328,0.25173866
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 178000,2.0138306,0.09639386,0.17283691,0.41350654,0.21456858,0.30334213,0.36121445,0.26473059,0.18723749
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,178000 to 271000,2.0426493,0.07466484,0.16325072,0.36869337,0.2329703,0.28945488,0.39939399,0.29965983,0.21456136
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 271000,2.0399716,0.05945268,0.14935472,0.22007585,0.18635235,0.2820114,0.41434067,0.3824998,0.34588415
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.648841,0.12619717,0.41116206,0.46554365,0.32114191,0.39553728,0.44354117,0.29972814,0.18598963
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 221000,2.6529032,0.11833855,0.42649915,0.55736198,0.3274781,0.3696643,0.40921882,0.26838413,0.17595815
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,221000 to 330000,2.6230243,0.1178753,0.38796215,0.47826692,0.31950519,0.40649315,0.43609409,0.29824842,0.17857913
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 330000,2.6704802,0.14099287,0.42063911,0.37484955,0.31732863,0.40695363,0.48006004,0.32790377,0.20175261
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2226913,0.17109206,0.66248567,0.5490187,0.39553806,0.50091474,0.48547449,0.2870897,0.17107783
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 314000,3.2636736,0.18829228,0.60301748,0.72308325,0.40187092,0.42996811,0.44404448,0.28670466,0.18669244
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,314000 to 518000,3.1872707,0.16370077,0.62956675,0.53344233,0.40154897,0.5174181,0.47888239,0.29394873,0.16876271
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 518000,3.2194563,0.16226826,0.75140013,0.40056738,0.38356695,0.5512787,0.53109592,0.2806013,0.15867765
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0247316,0.11739811,0.21431878,0.44810104,0.29232702,0.22657438,0.28644169,0.25220976,0.18736086
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 157000,2.1168269,0.15782967,0.27135989,0.5301511,0.3228022,0.25206044,0.2635989,0.19059066,0.12843407
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,157000 to 236000,2.0515471,0.10803698,0.25696495,0.49839517,0.28925408,0.25292079,0.2657594,0.21459751,0.16561818
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 236000,1.9092521,0.08831834,0.11615996,0.31820868,0.26633397,0.17525773,0.32943726,0.34959617,0.26593998
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.7758512,0.15756913,0.54425319,0.61760869,0.3800766,0.33681242,0.34245192,0.24961071,0.14746854
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 183000,2.9023884,0.17640187,0.72261163,0.74571651,0.38097092,0.38979751,0.20119418,0.1875649,0.09813084
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,183000 to 293000,2.9260239,0.16811594,0.59672338,0.69489603,0.426339,0.35437933,0.33345936,0.2415879,0.110523
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 293000,2.5091111,0.12940163,0.32381187,0.42058606,0.33403103,0.26939178,0.48522531,0.3163014,0.23036198
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4794235,0.0541299,0.08762713,0.42538335,0.18987001,0.17042725,0.23174154,0.18834332,0.13190095
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 99000,1.2595756,0.0178293,0.07280862,0.20696902,0.14209206,0.17558132,0.23367907,0.22106976,0.18954647
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,99000 to 136000,1.4579061,0.08391797,0.06219644,0.52988397,0.20675931,0.17060173,0.18874798,0.15346735,0.06233135
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 136000,1.7174262,0.06040358,0.12742216,0.53715088,0.22023253,0.1651744,0.27241748,0.1906321,0.14399305
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.2682635,0.1524852,0.33466836,0.63424355,0.32623045,0.27939418,0.27197698,0.16100088,0.10826391
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 126000,2.0950611,0.15062335,0.30352433,0.5369216,0.28877967,0.26699233,0.26561376,0.16869456,0.11391153
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,126000 to 170000,2.3730368,0.16318927,0.38321105,0.71721311,0.37031411,0.25839734,0.29032443,0.13014445,0.06024304
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 170000,2.3296252,0.14348869,0.31575602,0.64442775,0.31789419,0.31251986,0.25961455,0.18469184,0.15123234
"2-4 Units (Own/Rent), 3 BR",All Values,,3.3406473,0.27500941,0.80965374,0.90573956,0.48407979,0.3613662,0.25400828,0.14900263,0.10178773
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 142000,3.1617173,0.22013122,0.84858425,0.82297422,0.47358425,0.34714549,0.20798803,0.15625,0.08505985
"2-4 Units (Own/Rent), 3 BR",Second Tercile,142000 to 188000,3.4955703,0.35886509,0.87652798,0.97101043,0.51715824,0.33223057,0.23483234,0.12627565,0.07866996
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 188000,3.3599554,0.24478528,0.70540993,0.92102621,0.46134969,0.40412716,0.31767987,0.1645845,0.14099275
"5-49 Units (Own), 0-1 BR",All Values,,1.2961807,0.00609303,0.02377768,0.21191856,0.16332293,0.1813048,0.21132412,0.24550453,0.25293506
"5-49 Units (Own), 0-1 BR",First Tercile,Below 106000,1.2790361,0.01204819,0.03084337,0.21879518,0.07614458,0.30457831,0.2226506,0.22746988,0.18650602
"5-49 Units (Own), 0-1 BR",Second Tercile,106000 to 200000,1.2338395,0.0,0.00520607,0.18308026,0.26117137,0.13839479,0.22646421,0.23253796,0.18698482
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 200000,1.3724989,0.00681141,0.0357599,0.23414219,0.14431673,0.11451682,0.18646232,0.27415922,0.37633035
"5-49 Units (Own), 2 BR",All Values,,1.656692,0.05687063,0.0950325,0.30147387,0.2333383,0.21964171,0.28450201,0.27025954,0.19557342
"5-49 Units (Own), 2 BR",First Tercile,Below 136000,1.5753017,0.05438019,0.07820091,0.36984799,0.20749099,0.2671995,0.232252,0.21156559,0.15436452
"5-49 Units (Own), 2 BR",Second Tercile,136000 to 235000,1.7083886,0.04968303,0.12722984,0.29013711,0.23809524,0.2529854,0.28291317,0.25947221,0.20787262
"5-49 Units (Own), 2 BR",Third Tercile ,Above 235000,1.6808358,0.0661228,0.07914699,0.25003578,0.25232575,0.14383856,0.3337627,0.33433519,0.22126807
"5-49 Units (Own), 3 BR",All Values,,2.3552816,0.15214346,0.32754273,0.33903054,0.25245167,0.33566825,0.4527879,0.31745587,0.17820118
"5-49 Units (Own), 3 BR",First Tercile,Below 159000,2.443097,0.16884328,0.51679104,0.52891791,0.25186567,0.37873134,0.36287313,0.12686567,0.10820896
"5-49 Units (Own), 3 BR",Second Tercile,159000 to 252000,2.3590193,0.1882662,0.23817863,0.42819615,0.28809107,0.35989492,0.38003503,0.33274956,0.14360771
"5-49 Units (Own), 3 BR",Third Tercile ,Above 252000,2.2826568,0.10848708,0.25313653,0.11365314,0.22287823,0.28118081,0.58523985,0.45535055,0.26273063
"5-49 Units (Rent), 0-1 BR",All Values,,1.3367876,0.03322074,0.03878854,0.46000916,0.13628947,0.15652821,0.21071766,0.15780208,0.14343171
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 94000,1.1395643,0.01067538,0.0146841,0.16840959,0.07202614,0.12265795,0.27298475,0.24100218,0.23712418
"5-49 Units (Rent), 0-1 BR",Second Tercile,94000 to 129000,1.4000603,0.04716981,0.05612992,0.5017231,0.16197122,0.21219953,0.20401482,0.1228569,0.093995
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 129000,1.4657835,0.04138891,0.04514387,0.70150198,0.1733609,0.13479875,0.15699097,0.11146739,0.10113071
"5-49 Units (Rent), 2 BR",All Values,,2.2849624,0.1899811,0.36183698,0.75705178,0.32047148,0.23990882,0.20667927,0.13078691,0.07824604
"5-49 Units (Rent), 2 BR",First Tercile,Below 127000,2.2975938,0.24458738,0.43140183,0.62229369,0.25572848,0.27490955,0.24722908,0.14954344,0.0719003
"5-49 Units (Rent), 2 BR",Second Tercile,127000 to 173000,2.2390637,0.13194825,0.37611008,0.75901765,0.35719768,0.23539086,0.17207543,0.1193948,0.08792896
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 173000,2.3186909,0.19586953,0.28142927,0.88329782,0.34546249,0.21111293,0.20258974,0.12429656,0.07463257
"5-49 Units (Rent), 3 BR",All Values,,3.4859853,0.25695407,1.0100181,1.0811041,0.44964297,0.3142918,0.24491101,0.06458489,0.06447831
