Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0446342,0.05276209,0.16117923,0.25664692,0.16544979,0.2274418,0.26201956,0.5141204,0.40501446
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,2.1667104,0.07208388,0.2293578,0.44849279,0.1965924,0.24718218,0.21310616,0.43984273,0.32005242
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,1.9094077,0.03135889,0.08565621,0.04413473,0.13095238,0.20557491,0.31620209,0.59639954,0.49912892
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.81332,0.15660359,0.56755101,0.42416428,0.38967151,0.46964959,0.43499565,0.2610812,0.10960317
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,325000,2.825201,0.16189942,0.5461457,0.57113479,0.40755281,0.48071291,0.40780208,0.1640182,0.08593507
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,325000,2.8005877,0.15092828,0.59049018,0.26666221,0.37050888,0.45779351,0.46413784,0.36509951,0.13496728
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.5427081,0.22752108,0.94222354,0.51158249,0.53902445,0.68661772,0.4078222,0.1573092,0.07060743
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,495000,3.5494605,0.23002005,0.91626086,0.59199847,0.53513797,0.69450014,0.37673064,0.1364461,0.06836628
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,495000,3.5354561,0.2248372,0.97010716,0.42521663,0.54319848,0.67815208,0.44121417,0.17971594,0.07301441
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8928518,0.09590889,0.12827814,0.36939907,0.26914431,0.18912034,0.24112094,0.28442979,0.31545032
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,260000,1.8414456,0.06907607,0.16613232,0.40483824,0.25502769,0.22325853,0.21509764,0.2366657,0.27134946
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,260000,1.9472548,0.12430598,0.08821715,0.33189389,0.2840839,0.15299198,0.26866132,0.33497841,0.36212215
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6912584,0.18463016,0.53083573,0.49510086,0.45283381,0.33006724,0.31123919,0.26071085,0.12584054
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,320000,2.8004926,0.1713582,0.69071077,0.58057706,0.54081633,0.2955665,0.21323012,0.22202674,0.0862069
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,320000,2.5598815,0.20059247,0.33855269,0.39229793,0.3470165,0.37156157,0.42911553,0.30723656,0.17350825
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.2861796,0.0,0.01814798,0.56026059,0.08469055,0.14332248,0.2261517,0.10702652,0.1465798
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,145000,1.2443643,0.0,0.03516682,0.50495942,0.0748422,0.15960325,0.09287647,0.17312894,0.2037872
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,145000,1.3307692,0.0,0.0,0.61923077,0.09519231,0.12596154,0.36826923,0.03653846,0.08557692
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.1488068,0.17627195,0.28230527,0.53219271,0.2910851,0.35276902,0.23007654,0.17131923,0.11278703
"2-4 Units  (Own/Rent), 2 BR",    Below Median,172000,2.1843911,0.10077187,0.30746141,0.71526587,0.25600343,0.41295026,0.22813036,0.12006861,0.04373928
"2-4 Units  (Own/Rent), 2 BR",    Above Median,172000,2.1094787,0.25971564,0.25450237,0.32985782,0.32985782,0.28625592,0.23222749,0.22796209,0.18909953
"2-4 Units (Own/Rent), 3 BR",All Values,,2.9727501,0.12441735,0.73646468,0.72427393,0.38902833,0.44854787,0.23628541,0.20258157,0.11115095
"2-4 Units (Own/Rent), 3 BR",    Below Median,164000,3.0261814,0.16028097,0.93742018,0.69093231,0.39527458,0.48403576,0.08556833,0.22860792,0.0440613
"2-4 Units (Own/Rent), 3 BR",    Above Median,164000,2.9043336,0.0784955,0.47914963,0.76696648,0.38103025,0.40310711,0.42927228,0.16925593,0.19705642
"5-49 Units (Own), 0-1 BR",All Values,,1.3170732,0.03547672,0.0,0.44789357,0.11973392,0.03104213,0.36141907,0.11086475,0.21064302
"5-49 Units (Own), 0-1 BR",    Below Median,192000,1.4163569,0.0,0.0,0.64312268,0.13754647,0.0,0.35315985,0.04832714,0.23420074
"5-49 Units (Own), 0-1 BR",    Above Median,192000,1.1703297,0.08791209,0.0,0.15934066,0.09340659,0.07692308,0.37362637,0.2032967,0.17582418
"5-49 Units (Own), 2 BR",All Values,,1.552521,0.00892857,0.01680672,0.29516807,0.15703782,0.16964286,0.2447479,0.4217437,0.23844538
"5-49 Units (Own), 2 BR",    Below Median,275000,1.4705357,0.00089286,0.02857143,0.31964286,0.19910714,0.21160714,0.25892857,0.31071429,0.14107143
"5-49 Units (Own), 2 BR",    Above Median,275000,1.6696429,0.02040816,0.0,0.26020408,0.09693878,0.10969388,0.2244898,0.58035714,0.37755102
"5-49 Units (Own), 3 BR",All Values,,2.2382671,0.13357401,0.22924188,0.13176895,0.27436823,0.52888087,0.33935018,0.47292419,0.12815884
"5-49 Units (Own), 3 BR",    Below Median,300000,2.3977273,0.16761364,0.31818182,0.10511364,0.375,0.63636364,0.46590909,0.23295455,0.09659091
"5-49 Units (Own), 3 BR",    Above Median,300000,1.960396,0.07425743,0.07425743,0.17821782,0.0990099,0.34158416,0.11881188,0.89108911,0.18316832
"5-49 Units (Rent), 0-1 BR",All Values,,1.32397,0.01822722,0.0329588,0.57565543,0.08639201,0.12047441,0.17852684,0.12372035,0.18801498
"5-49 Units (Rent), 0-1 BR",    Below Median,146000,1.2886325,0.01874549,0.06344629,0.45421774,0.06392694,0.13458303,0.19706801,0.1468397,0.20980534
"5-49 Units (Rent), 0-1 BR",    Above Median,146000,1.362172,0.01766693,0.0,0.70693687,0.1106781,0.10522214,0.15848272,0.09872694,0.1644583
"5-49 Units (Rent), 2 BR",All Values,,2.0860855,0.19147644,0.18722681,0.89594463,0.20531812,0.20556095,0.13440991,0.1390238,0.12712482
"5-49 Units (Rent), 2 BR",    Below Median,179000,1.9743772,0.18979834,0.1995255,0.82918149,0.17485172,0.21043891,0.10604982,0.12740214,0.1371293
"5-49 Units (Rent), 2 BR",    Above Median,179000,2.2031833,0.19323551,0.17433474,0.96592887,0.23725441,0.20044765,0.16413827,0.15120617,0.11663765
"5-49 Units (Rent), 3 BR",All Values,,3.4564565,0.28528529,1.1701702,0.65365365,0.48148148,0.31831832,0.39239239,0.06106106,0.09409409
"5-49 Units (Rent), 3 BR",    Below Median,193000,3.5389948,0.26689775,1.2894281,0.76083189,0.33795494,0.22530329,0.5355286,0.06239168,0.06065858
"5-49 Units (Rent), 3 BR",    Above Median,193000,3.3436019,0.31042654,1.007109,0.507109,0.67772512,0.44549763,0.19668246,0.05924171,0.13981043
"50+ Units (Own), 0-1 BR",All Values,,1.1977401,0.0,0.0,0.66101695,0.22033898,0.0,0.0,0.14124294,0.17514124
"50+ Units (Own), 0-1 BR",    Below Median,300000,1.2569444,0.0,0.0,0.8125,0.27083333,0.0,0.0,0.17361111,0.0
"50+ Units (Own), 0-1 BR",    Above Median,300000,0.93939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93939394
"50+ Units (Own), 2 BR",All Values,,1.4285714,0.0861678,0.0,0.21315193,0.19501134,0.0,0.31746032,0.32426304,0.29251701
"50+ Units (Own), 2 BR",    Below Median,275000,1.5104167,0.13194444,0.0,0.26388889,0.22569444,0.0,0.36458333,0.26736111,0.25694444
"50+ Units (Own), 2 BR",    Above Median,275000,1.2745098,0.0,0.0,0.11764706,0.1372549,0.0,0.22875817,0.43137255,0.35947712
"50+ Units (Own), 3 BR",All Values,,1.5533981,0.00485437,0.09223301,0.11165049,0.46601942,0.0,0.2815534,0.30582524,0.29126214
"50+ Units (Own), 3 BR",    Below Median,750000,1.5533981,0.00485437,0.09223301,0.11165049,0.46601942,0.0,0.2815534,0.30582524,0.29126214
"50+ Units (Own), 3 BR",    Above Median,750000,1.2375153,0.01567073,0.00717455,0.60039649,0.15274238,0.07571037,0.07391674,0.1057302,0.20617389
"50+ Units (Rent), 0-1 BR",All Values,,1.1144469,0.00491266,0.01382824,0.35025473,0.11208151,0.07933042,0.06477438,0.1606623,0.32860262
"50+ Units (Rent), 0-1 BR",    Below Median,207000,1.3702178,0.02727094,0.0,0.87011968,0.19658623,0.07180695,0.08377477,0.04649794,0.07416127
"50+ Units (Rent), 0-1 BR",    Above Median,207000,2.0607115,0.15989946,0.06786543,0.9350348,0.33275329,0.09164733,0.15912606,0.10305491,0.21133024
"50+ Units (Rent), 2 BR",All Values,,2.0727743,0.16143332,0.07351311,0.87809383,0.31954193,0.06353897,0.15478389,0.10417436,0.31769487
"50+ Units (Rent), 2 BR",    Below Median,269000,2.0474645,0.15821501,0.06166329,0.99756592,0.34726166,0.12251521,0.16389452,0.10182556,0.09452333
"50+ Units (Rent), 2 BR",    Above Median,269000,2.7865169,0.12808989,0.14831461,1.6831461,0.07865169,0.62921348,0.03146067,0.0,0.08764045
"50+ Units (Rent), 3 BR",All Values,,3.3713235,0.13235294,0.14705882,2.1360294,0.08088235,0.875,0.0,0.0,0.0
"50+ Units (Rent), 3 BR",    Below Median,355000,1.867052,0.12138728,0.15028902,0.97109827,0.07514451,0.24277457,0.08092486,0.0,0.22543353
"50+ Units (Rent), 3 BR",    Above Median,355000,1.4444444,0.01396825,0.03873016,0.32761905,0.08444444,0.11492063,0.2368254,0.2615873,0.36634921
All Housing Types (Own) 0-1 BR,All Values,,1.4186551,0.0,0.03145336,0.35900217,0.04880694,0.05097614,0.23535792,0.3308026,0.36225597
All Housing Types (Own) 0-1 BR,    Below Median,225000,1.4808576,0.03369066,0.04900459,0.28330781,0.13476263,0.20520674,0.2388974,0.16385911,0.37212864
All Housing Types (Own) 0-1 BR,    Above Median,225000,1.7946458,0.05009608,0.08236697,0.21615532,0.16188457,0.17917964,0.27725134,0.45238884,0.37532304
All Housing Types (Own) 2 BR,All Values,,1.7608974,0.07217949,0.10358974,0.25487179,0.18217949,0.19025641,0.25692308,0.37794872,0.32294872
All Housing Types (Own) 2 BR,    Below Median,297000,1.8307502,0.02647099,0.0596626,0.17473598,0.14017282,0.16732958,0.29899877,0.53202579,0.43135372
All Housing Types (Own) 2 BR,    Above Median,297000,2.7433742,0.15209995,0.5239729,0.39591732,0.38908426,0.45515625,0.42107671,0.28144209,0.12462475
All Housing Types (Own) 3 BR,All Values,,2.7679044,0.15304099,0.51327677,0.51608638,0.40507933,0.4806082,0.40149846,0.19915161,0.09916263
All Housing Types (Own) 3 BR,    Below Median,340000,2.7169094,0.1510847,0.53551263,0.26627043,0.37182764,0.42769688,0.44219911,0.37022288,0.1520951
All Housing Types (Own) 3 BR,    Above Median,340000,3.5189669,0.22295231,0.91998787,0.50049281,0.5280649,0.69493796,0.41471859,0.15848265,0.07932978
All Housing Types (Own) 4-5 BR,All Values,,3.5281362,0.22409686,0.88745534,0.57696507,0.5214867,0.7150655,0.38720723,0.13105399,0.08480548
All Housing Types (Own) 4-5 BR,    Below Median,500000,3.5094505,0.22176443,0.95375187,0.42112582,0.5348921,0.67404851,0.44327136,0.18694958,0.0736468
All Housing Types (Own) 4-5 BR,    Above Median,500000,1.2828453,0.01457195,0.01770118,0.59427397,0.12054551,0.10018215,0.13049367,0.11559479,0.18948204
All Housing Types (Rent) 0-1 BR,All Values,,1.2102804,0.00962067,0.03472604,0.4099322,0.07330035,0.10152098,0.13835441,0.17262232,0.27020341
All Housing Types (Rent) 0-1 BR,    Below Median,169000,1.3582928,0.01971992,0.0,0.78593884,0.16966752,0.09879013,0.12232066,0.0563018,0.10555397
All Housing Types (Rent) 0-1 BR,    Above Median,169000,2.1727254,0.18433494,0.20813196,0.85632486,0.29649086,0.2241017,0.15155495,0.11494011,0.13684598
All Housing Types (Rent) 2 BR,All Values,,2.0866742,0.18056271,0.22580645,0.79449655,0.24033804,0.23415439,0.14170875,0.11274863,0.1568587
All Housing Types (Rent) 2 BR,    Below Median,188000,2.2621879,0.18825672,0.18975678,0.92060431,0.35486982,0.21365049,0.16179149,0.11721847,0.11603986
All Housing Types (Rent) 2 BR,    Above Median,188000,3.1831144,0.20233899,0.87744313,0.86590836,0.43015059,0.4019545,0.27186799,0.09019545,0.04325537
All Housing Types (Rent) 3 BR,All Values,,3.2201376,0.18918074,1.144778,0.82082552,0.38617886,0.42589118,0.14884303,0.08098812,0.02345216
All Housing Types (Rent) 3 BR,    Below Median,176000,3.1442181,0.21616294,0.59658344,0.91327201,0.47634691,0.37680683,0.40111695,0.09986859,0.06406045
All Housing Types (Rent) 3 BR,    Above Median,176000,4.2916484,0.3139484,1.1403585,1.2173153,0.83690424,0.40489725,0.24048972,0.12286839,0.01486664
All Housing Types (Rent) 4-5 BR,All Values,,4.4292723,0.33687653,1.1152903,1.3851186,0.9574816,0.33687653,0.22158626,0.06623058,0.00981194
All Housing Types (Rent) 4-5 BR,    Below Median,233000,4.1334586,0.28759398,1.1691729,1.0244361,0.69830827,0.48308271,0.26221805,0.18796992,0.02067669
All Housing Types (Rent) 4-5 BR,    Above Median,233000,4.173396,0.34971221,1.2346157,1.0361859,0.73230912,0.51273912,0.19201794,0.08815812,0.02765786
