Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0458225,0.11510712,0.15388005,0.31717795,0.16048907,0.21672082,0.41190725,0.4106956,0.25984469
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 151000,2.1065684,0.18012735,0.24564343,0.40884718,0.22285523,0.24178954,0.40231233,0.24061662,0.16437668
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,151000 to 260000,2.1216743,0.13912896,0.14302661,0.35180478,0.15963396,0.28317234,0.43382478,0.39993221,0.21115065
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 260000,1.9169847,0.03085242,0.07697201,0.19767812,0.10209924,0.13056616,0.40044529,0.5822201,0.3961514
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.481247,0.12968379,0.32470439,0.43046316,0.26456635,0.30752082,0.40954326,0.38578766,0.22897755
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 210000,2.6752285,0.18137188,0.46139033,0.55482926,0.30120155,0.35029429,0.39537281,0.26805718,0.16271122
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,210000 to 304000,2.4802377,0.11868306,0.30359637,0.47352708,0.28499822,0.31230655,0.40943329,0.35897998,0.21871319
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 304000,2.2976989,0.09088329,0.21458054,0.271618,0.21047879,0.26233103,0.42312455,0.52301104,0.30167165
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.0995384,0.14280524,0.61974525,0.53338249,0.37586288,0.47005834,0.44963775,0.32894146,0.17910496
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 297000,3.241345,0.15622098,0.66892161,0.69704205,0.41245523,0.43301499,0.41955166,0.27888314,0.17525534
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,297000 to 425000,3.0793453,0.15337685,0.568275,0.54800407,0.37540591,0.50149244,0.45301276,0.32607341,0.15370486
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 425000,2.9884028,0.12073833,0.62236255,0.3700173,0.34278515,0.4748778,0.47405811,0.37742494,0.20613862
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.930647,0.10174351,0.22099961,0.44447888,0.26578845,0.23587757,0.2530802,0.24261914,0.16605967
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 134000,1.9302215,0.13217433,0.27292212,0.40366754,0.27839962,0.29221243,0.24672541,0.21171708,0.09240295
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,134000 to 199000,1.9855545,0.09109972,0.28378378,0.52539609,0.361137,0.26887232,0.20060578,0.16519105,0.08946878
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 199000,1.877662,0.08314454,0.11055732,0.40462166,0.16107839,0.1502039,0.31014952,0.34730403,0.31060263
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.5458019,0.17683885,0.45728766,0.59688872,0.3893978,0.31958372,0.28828121,0.20933384,0.10819015
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 166000,2.6776212,0.21394612,0.53874385,0.62323797,0.38718826,0.31020102,0.27608641,0.19659688,0.13162065
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,166000 to 228000,2.7099571,0.18609643,0.55630779,0.70128798,0.44649934,0.35369881,0.27518164,0.13928336,0.05160172
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 228000,2.2669376,0.1333125,0.28725483,0.4733922,0.33742283,0.29608502,0.3121044,0.2875674,0.13979839
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4820532,0.06304631,0.18541938,0.61279524,0.09224475,0.08183002,0.24437419,0.131114,0.07122931
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 95000,1.3948967,0.04434994,0.28614824,0.23693803,0.0054678,0.12515188,0.31227217,0.23876063,0.14580802
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,95000 to 117000,1.4114064,0.02990033,0.09689922,0.79568106,0.09080842,0.06312292,0.26799557,0.06090808,0.00609081
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 117000,1.6228571,0.11012987,0.18233766,0.7625974,0.16779221,0.06233766,0.16415584,0.10493506,0.06857143
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.2490043,0.27624661,0.32053529,0.76979449,0.21331846,0.23100207,0.26334236,0.11900589,0.05575912
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 113000,2.4031926,0.43408857,0.42533471,0.70391349,0.28063852,0.16220391,0.22657055,0.1168898,0.05355304
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,113000 to 144000,2.3807492,0.24798483,0.44096728,0.76244666,0.22712186,0.24845899,0.38928402,0.02655287,0.03793267
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 144000,1.9896676,0.16531896,0.11500449,0.83423181,0.14150943,0.27448338,0.17610063,0.20844564,0.07457323
