Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1595991,0.2156258,0.13415574,0.24415317,0.11076844,0.16679517,0.29889489,0.67052172,0.31868414,3891.0,0.34781008,1.5874515,2.7317467,0.26493231
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,290000,2.1536573,0.39764359,0.17083947,0.40893471,0.14187531,0.17133039,0.22925871,0.41531664,0.21845852,2037.0,0.53921647,1.2666462,3.0406684,0.41186269
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,290000,2.1661273,0.01564186,0.09385113,0.0631068,0.07659115,0.1618123,0.37540453,0.95091694,0.42880259,1854.0,0.39696455,1.5131206,2.819134,0.30146275
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.4330686,0.12022895,0.30251777,0.36264832,0.2536416,0.2429017,0.38869417,0.52268562,0.23975047,31099.0,0.10976827,2.2524998,2.6136374,0.07421443
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,300000,2.6006178,0.15729416,0.41054092,0.50208044,0.31622746,0.26818812,0.37611903,0.3753625,0.19480519,15862.0,0.17732376,2.3089202,2.8923154,0.11216472
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,300000,2.2586467,0.08164337,0.19006366,0.21749688,0.18848855,0.21657807,0.40178513,0.67605172,0.28653935,15237.0,0.13898793,2.0300116,2.4872819,0.1012266
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2010213,0.14007005,0.74120266,0.46571083,0.43952339,0.55212937,0.39647779,0.33048545,0.13542178,30549.0,0.13883265,2.9726416,3.429401,0.07134589
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,390000,3.3434665,0.14370682,0.83857014,0.54016221,0.49059778,0.58744368,0.34514869,0.27335536,0.12448183,16645.0,0.19864477,3.0166959,3.6702371,0.09773409
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,390000,3.0304948,0.13571634,0.62464039,0.37658228,0.37838032,0.50985328,0.45792578,0.39887802,0.14851841,13904.0,0.23458741,2.6445985,3.4163911,0.12733772
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.6915337,0.04476058,0.12526024,0.23178348,0.16620402,0.26995142,0.26092991,0.28278973,0.30985427,2882.0,0.2913482,1.2122659,2.1708014,0.28333328
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,200000,1.8001215,0.07837181,0.21931956,0.30133657,0.25334143,0.33718104,0.12575942,0.19987849,0.28493317,1646.0,0.4304083,1.0920998,2.5081432,0.39331881
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,200000,1.5469256,0.0,0.0,0.13915858,0.05016181,0.18042071,0.44093851,0.39320388,0.34304207,1236.0,0.35704142,0.95959243,2.1342587,0.37967769
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.4290798,0.15954982,0.4101291,0.53434293,0.41939755,0.25645482,0.27979146,0.25082754,0.11858656,12084.0,0.25574178,2.0083845,2.849775,0.1731912
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,225000,2.632502,0.16379726,0.55703942,0.73966211,0.47884151,0.22172164,0.22043443,0.18600161,0.06500402,6215.0,0.37339036,2.0182749,3.2467291,0.23332447
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,225000,2.213665,0.15505197,0.25455785,0.31691941,0.35644914,0.29323564,0.34264781,0.31947521,0.17532799,5869.0,0.26758936,1.7734805,2.6538495,0.19884874
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.1162791,0.0,0.0,0.3624031,0.05620155,0.0,0.15116279,0.32945736,0.21705426,516.0,0.39293858,0.46989511,1.762663,0.57905229
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,102000,1.0,0.0,0.0,0.1721519,0.0,0.0,0.19746835,0.34683544,0.2835443,395.0,0.41538665,0.31668897,1.683311,0.68331103
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,102000,1.4958678,0.0,0.0,0.98347107,0.23966942,0.0,0.0,0.27272727,0.0,121.0,1.0766464,-0.27521549,3.266951,1.1839838
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.7128713,0.62093352,0.25318246,0.73691655,0.15417256,0.15275813,0.28995757,0.42432815,0.08062235,707.0,0.94429378,1.159508,4.2662346,0.57259011
"2-4 Units  (Own/Rent), 2 BR",    Below Median,150000,2.9652605,1.0198511,0.17369727,0.94789082,0.13399504,0.01736973,0.45905707,0.2133995,0.0,403.0,1.4741043,0.540359,5.3901621,0.81777014
"2-4 Units  (Own/Rent), 2 BR",    Above Median,150000,2.3782895,0.09210526,0.35855263,0.45723684,0.18092105,0.33223684,0.06578947,0.70394737,0.1875,304.0,1.1041853,0.56190458,4.1946744,0.76373583
"2-4 Units (Own/Rent), 3 BR",All Values,,3.620155,0.00775194,0.49612403,1.2790698,0.03488372,0.20930233,0.50387597,0.99612403,0.09302326,258.0,1.9401023,0.42868683,6.8116233,0.8815833
"2-4 Units (Own/Rent), 3 BR",    Below Median,166000,4.9578313,0.01204819,0.77108434,1.8313253,0.0,0.3253012,0.56024096,1.4578313,0.0,166.0,3.2024401,-0.31018261,10.225845,1.0625642
"2-4 Units (Own/Rent), 3 BR",    Above Median,166000,1.2065217,0.0,0.0,0.2826087,0.09782609,0.0,0.40217391,0.16304348,0.26086957,92.0,0.67931066,0.0890557,2.3239878,0.92618807
"5-49 Units (Own), 0-1 BR",All Values,,1.952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.952381,21.0,2.636626,-2.3848688,6.2896307,2.2215182
"5-49 Units (Own), 0-1 BR",    Below Median,190000,1.952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.952381,21.0,2.636626,-2.3848688,6.2896307,2.2215182
