Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0987332,0.0791489,0.17859914,0.33483637,0.21286108,0.26529798,0.37289453,0.35583005,0.29926516,729410.0,0.02067194,2.0647279,2.1327386,0.01620279
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 138000,2.058824,0.08963661,0.20738591,0.37021506,0.22264033,0.26615509,0.35895565,0.30858989,0.23524548,237046.0,0.03645455,1.9988563,2.1187918,0.02912718
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,138000 to 233000,2.1532809,0.09128422,0.19946418,0.38541675,0.23305658,0.27538714,0.35469008,0.33018422,0.28379768,241126.0,0.03939665,2.0884734,2.2180883,0.03009709
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 233000,2.0840359,0.05760673,0.13141324,0.25291158,0.18425159,0.2548062,0.40351778,0.42501532,0.37451341,251238.0,0.03727886,2.0227121,2.1453596,0.02942547
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7067522,0.13815164,0.38860265,0.50367283,0.32328713,0.36106231,0.40597432,0.34865482,0.23734654,2509373.0,0.01346092,2.684609,2.7288955,0.00818073
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 191000,2.7982194,0.1596514,0.47245327,0.59821306,0.35075095,0.35390488,0.37237907,0.28978078,0.20108596,823419.0,0.02844152,2.7514331,2.8450057,0.01672003
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,191000 to 302000,2.7673204,0.14581192,0.39512894,0.55667091,0.33980467,0.37256676,0.39893596,0.33459068,0.22381059,828732.0,0.0299554,2.7180438,2.8165971,0.01780663
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 302000,2.5603368,0.110094,0.30174914,0.36162394,0.28093773,0.35681539,0.44504924,0.418804,0.28526333,857222.0,0.02359807,2.5215179,2.5991556,0.01516161
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4590415,0.19922928,0.72772834,0.62799603,0.4706833,0.50611773,0.44276548,0.30345151,0.18106983,1406485.0,0.01998405,3.4261678,3.4919153,0.00950372
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 276000,3.7079821,0.22536519,0.80827226,0.83505913,0.51111472,0.47713506,0.3958212,0.27825231,0.17696219,450034.0,0.04570745,3.6327933,3.7831708,0.02027754
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,276000 to 440000,3.4168876,0.20191632,0.68558521,0.62412374,0.48204438,0.50481686,0.44225654,0.29886081,0.17728371,441366.0,0.0460819,3.3410829,3.4926923,0.02218531
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 440000,3.277661,0.17409165,0.69346807,0.45040139,0.42562296,0.53255482,0.48421717,0.32940194,0.18790297,515085.0,0.04216266,3.2083034,3.3470185,0.02116069
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0948345,0.10158287,0.21699104,0.42566419,0.25242825,0.24321814,0.27267344,0.2976555,0.28462103,246577.0,0.03430169,2.0384082,2.1512608,0.02693591
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 149000,2.0863077,0.12137096,0.24543055,0.48454651,0.25000617,0.23417035,0.25218914,0.2613897,0.23720431,81082.0,0.068774,1.9731745,2.1994409,0.05422653
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,149000 to 216000,2.2276724,0.12646814,0.2664798,0.51429386,0.30553523,0.27770405,0.260477,0.23661462,0.24009972,80629.0,0.07163294,2.1098362,2.3455086,0.05289655
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 216000,1.9767752,0.05903424,0.14280159,0.28520255,0.20428676,0.21909834,0.30383192,0.39029765,0.37222209,84866.0,0.05481965,1.8865968,2.0669535,0.0456189
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.762043,0.16252395,0.46444829,0.60577783,0.40841142,0.35784337,0.32372543,0.26513964,0.17417302,229117.0,0.05233261,2.6759558,2.8481301,0.03116793
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 197000,2.9116845,0.19906047,0.5549689,0.71130078,0.45127696,0.33910282,0.28892418,0.21728199,0.14976843,75570.0,0.0960296,2.7537158,3.0696532,0.05425337
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,197000 to 276000,2.8343702,0.15995278,0.50296454,0.64178748,0.43505193,0.3885477,0.30252948,0.2483055,0.15523073,75391.0,0.10386721,2.6635086,3.0052317,0.06028202
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 276000,2.5475843,0.12967654,0.33976918,0.4690107,0.34126619,0.34634577,0.37782128,0.32765239,0.21604227,78156.0,0.07979755,2.4163173,2.6788513,0.05152606
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.5549896,0.06782858,0.09526252,0.45548505,0.22398296,0.22101878,0.23588317,0.15761474,0.09791377,115040.0,0.04146039,1.4867872,1.6231919,0.04386032
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 92000,1.3358702,0.03363987,0.04537287,0.26721632,0.18352624,0.21344009,0.25709529,0.21782675,0.11775276,37842.0,0.0651097,1.2287647,1.4429757,0.08017655
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,92000 to 123000,1.5922849,0.08815745,0.09628135,0.53111979,0.22280458,0.22720721,0.2194764,0.12922246,0.07801567,38159.0,0.07837224,1.4633626,1.7212072,0.08096687
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 123000,1.7309357,0.08109839,0.1426266,0.56405133,0.26435103,0.22231615,0.23135839,0.1270012,0.09813264,39039.0,0.08302862,1.5943537,1.8675178,0.0789065
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.3222537,0.18049528,0.33830752,0.64427576,0.28964031,0.27191472,0.25632423,0.18006672,0.16122917,259004.0,0.04068966,2.2553192,2.3891882,0.02882308
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 114000,2.1884452,0.19794389,0.34342326,0.58428631,0.24782954,0.25835512,0.23945108,0.17417382,0.14298217,85696.0,0.06393262,2.083276,2.2936144,0.04805657
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,114000 to 159000,2.4929129,0.21516922,0.39789413,0.74835985,0.31967602,0.296523,0.25183685,0.14378941,0.11966445,86425.0,0.07703572,2.3661892,2.6196367,0.05083361
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 159000,2.2844745,0.1287939,0.27398916,0.59991022,0.3010025,0.26081052,0.27743057,0.22196517,0.22057249,86883.0,0.07656026,2.1585329,2.4104161,0.05512936
"2-4 Units (Own/Rent), 3 BR",All Values,,3.1085367,0.23655094,0.66263558,0.78715137,0.37397104,0.3574109,0.28422187,0.23141826,0.17517674,82608.0,0.10798377,2.9309034,3.28617,0.05714371
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 151000,3.3130498,0.31746669,0.85891586,0.95174302,0.36634422,0.30585873,0.22982296,0.17751414,0.10538419,27395.0,0.19305965,2.9954667,3.6306329,0.09585824
