Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0332288,0.0547698,0.15186215,0.21681067,0.14947528,0.18067227,0.31786799,0.51574151,0.44602912,101388.0,0.06299492,1.9296021,2.1368554,0.05096654
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,230000,2.0797642,0.06977008,0.20041186,0.29166273,0.17689067,0.2018099,0.29649922,0.44357749,0.39914228,52931.0,0.08509986,1.939775,2.2197535,0.06731016
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,230000,1.9823968,0.03838455,0.09882989,0.13504757,0.11952865,0.15758301,0.34120973,0.59456838,0.49724498,48457.0,0.08724899,1.8388722,2.1259214,0.07239953
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6321241,0.13944495,0.3882897,0.45736193,0.33143426,0.33702869,0.36238118,0.39045925,0.22572411,642067.0,0.03044509,2.5820419,2.6822062,0.01902728
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,250000,2.7595262,0.16859367,0.46921853,0.58125603,0.38906769,0.35140305,0.31590022,0.30692507,0.17716196,329354.0,0.04541419,2.6848199,2.8342326,0.02707217
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,250000,2.4979422,0.10874508,0.30305424,0.3268748,0.27073387,0.3218894,0.41133563,0.4784387,0.27687049,312713.0,0.03984404,2.4323988,2.5634857,0.02623898
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.517672,0.23267902,0.84920954,0.59929932,0.54453499,0.54830284,0.36761124,0.25048975,0.12554526,612552.0,0.03513927,3.4598679,3.5754761,0.01643249
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,340000,3.5977265,0.25031247,0.86625496,0.72902632,0.56639982,0.50839973,0.3285283,0.22959998,0.11920496,312034.0,0.05846604,3.5015499,3.6939032,0.02673261
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,340000,3.4345497,0.21436985,0.83151092,0.46460112,0.5218323,0.58973506,0.40819186,0.27218004,0.13212852,300518.0,0.06192254,3.3326871,3.5364123,0.0296582
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0674936,0.10297337,0.18976651,0.467749,0.25691354,0.20616563,0.26457497,0.33411164,0.24523896,54820.0,0.07931252,1.9370245,2.1979627,0.06310496
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,200000,2.1878706,0.13755637,0.27734971,0.63341974,0.31445514,0.23509569,0.21052445,0.21727089,0.16219863,28163.0,0.11848604,1.9929611,2.3827801,0.08908641
