Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0822345,0.09818382,0.21784004,0.39992787,0.22740313,0.26064705,0.33919816,0.30848279,0.23055166
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 89000,2.0249427,0.09947689,0.22388425,0.3841621,0.20331508,0.26927365,0.35436804,0.27493354,0.21552918
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,89000 to 159000,2.1763151,0.13084784,0.26147644,0.51138204,0.25774941,0.27199981,0.3042398,0.25242683,0.18619295
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 159000,2.0455377,0.06462216,0.16876174,0.3052425,0.22107836,0.24094543,0.35884747,0.39687184,0.28916823
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6515143,0.15065158,0.43599959,0.52738613,0.33827621,0.35318491,0.38127051,0.29105447,0.17369095
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 134000,2.7116544,0.16175204,0.48273898,0.5664384,0.34372488,0.33107701,0.37300926,0.27387447,0.17903937
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,134000 to 209000,2.7272975,0.16822232,0.47788635,0.59933554,0.36248879,0.35980415,0.35414309,0.25905098,0.14636631
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 209000,2.5184288,0.12255294,0.34934726,0.4185367,0.30910821,0.3680998,0.41604178,0.33928634,0.19545576
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.3354222,0.20411799,0.7409003,0.61138077,0.47687494,0.50609746,0.40854927,0.25870758,0.12879392
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 220000,3.5538356,0.22329397,0.81973275,0.82429332,0.48483919,0.45130654,0.38424123,0.23304088,0.13308766
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,220000 to 371000,3.3055991,0.20338732,0.69631601,0.62194234,0.48098178,0.50994548,0.39968483,0.26932352,0.12401779
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 371000,3.165035,0.18740379,0.71084037,0.40844239,0.46583342,0.5522181,0.43883785,0.27212006,0.12933909
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9898611,0.12248158,0.26240464,0.54018061,0.29937406,0.25660168,0.20088674,0.1810817,0.1268501
