Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1272901,0.10628854,0.21490065,0.34594417,0.26515535,0.24781793,0.33581578,0.37850398,0.23286365,33569.0,0.11482034,1.9384106,2.3161695,0.08878876
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,170000,2.145945,0.14606029,0.23811171,0.47881722,0.31131477,0.230215,0.29886449,0.26203239,0.18052914,17349.0,0.15731168,1.8871673,2.4047227,0.12058916
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,170000,2.1073366,0.06374846,0.19007398,0.20382244,0.21578298,0.26664612,0.37533909,0.50308261,0.28884094,16220.0,0.14761288,1.8645134,2.3501598,0.11522753
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7244799,0.1721419,0.5035739,0.56223417,0.4122627,0.39191999,0.32910489,0.2428488,0.11039354,294356.0,0.04100792,2.6570219,2.7919379,0.02475996
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,190000,2.8162227,0.19691929,0.56532858,0.66470534,0.44996976,0.38518684,0.29237778,0.18505273,0.07668236,152108.0,0.06820116,2.7040318,2.9284136,0.03983737
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,190000,2.6263779,0.14564704,0.43753866,0.45266014,0.37194196,0.39911985,0.36837776,0.30465103,0.14644143,142248.0,0.05993596,2.5277832,2.7249725,0.03754017
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.3929179,0.23119413,0.8274081,0.60799751,0.55671399,0.559728,0.33722453,0.19363736,0.07901429,418380.0,0.03776823,3.3307892,3.4550467,0.0183113
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,3.4716405,0.24880216,0.83847411,0.76842695,0.56057986,0.51421155,0.30297705,0.17185299,0.06631583,212257.0,0.06149952,3.3704738,3.5728072,0.02914089
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,3.3118526,0.2130621,0.81601277,0.44279387,0.55273308,0.60659897,0.37249118,0.21607002,0.09209064,206123.0,0.06287145,3.2084291,3.4152762,0.0312283
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9114479,0.09849408,0.23266241,0.44626931,0.33154637,0.2371948,0.18265997,0.22145329,0.1611677,20519.0,0.12436904,1.7068609,2.116035,0.10703251
