Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.3545209,0.12553631,0.42666455,0.32480534,0.26140156,0.30796123,0.30446528,0.49022724,0.1134594
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,350000,2.4512422,0.21118012,0.41770186,0.39534161,0.29751553,0.32981366,0.29565217,0.39068323,0.11335404
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,350000,2.2531728,0.03579564,0.43605597,0.25089489,0.22356004,0.28506346,0.31369997,0.59453303,0.1135698
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,3.1847946,0.23110566,0.66674842,0.57755978,0.51718782,0.40331085,0.36251788,0.29196812,0.13439608
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,600000,3.3210209,0.27346227,0.73335447,0.68730184,0.62056119,0.37420736,0.2947844,0.23414711,0.10320228
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,600000,3.0397502,0.18600726,0.59583087,0.46071398,0.40712296,0.43429825,0.43463583,0.35353194,0.16760908
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,4.0812472,0.25437528,0.97363757,0.76163048,0.63773815,0.5995237,0.45109659,0.25947054,0.14377492
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,750000,4.2291881,0.34265159,1.0389517,0.93535457,0.65714286,0.5729702,0.38643371,0.20133607,0.09434738
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,750000,3.9083594,0.15121307,0.89730963,0.55861158,0.61506125,0.63055489,0.52666346,0.32740812,0.20153735
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.4895985,0.21044993,0.19351717,0.90227383,0.48863087,0.22060958,0.15287857,0.26463474,0.05660377
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,400000,2.4468954,0.19689542,0.24346405,0.84068627,0.65604575,0.24673203,0.11437908,0.10784314,0.04084967
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,400000,2.5516014,0.23013049,0.12099644,0.99169632,0.2455516,0.1826809,0.20877817,0.49228944,0.07947805
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,3.1210174,0.45301205,0.53908969,1.2419009,0.43882195,0.17590361,0.16586345,0.0643909,0.04203481
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,345000,2.9700823,0.49139865,0.38768387,1.5627026,0.27150337,0.14460234,0.08426826,0.02044378,0.00747943
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,345000,3.2960393,0.40849957,0.71465742,0.8699046,0.63284186,0.21220006,0.26047991,0.11535126,0.08210465
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.5618153,0.01877934,0.27230047,0.38184664,0.18466354,0.11580595,0.32081377,0.18935837,0.07824726
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,91000,1.2906178,0.02745995,0.16704805,0.41647597,0.15102975,0.05720824,0.33867277,0.10983982,0.0228833
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,91000,2.1485149,0.0,0.5,0.30693069,0.25742574,0.24257426,0.28217822,0.36138614,0.1980198
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.4547124,0.12607099,0.28518972,0.85862913,0.36168911,0.30905753,0.23011016,0.15789474,0.12607099
"2-4 Units  (Own/Rent), 2 BR",    Below Median,264000,2.3957916,0.15130261,0.4238477,0.73547094,0.27354709,0.49398798,0.12925852,0.13927856,0.0490982
"2-4 Units  (Own/Rent), 2 BR",    Above Median,264000,2.5471698,0.08647799,0.06761006,1.0518868,0.5,0.01886792,0.38836478,0.18710692,0.24685535
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8878369,0.28987618,0.54916242,0.8798252,0.64821559,0.13401311,0.21558631,0.11726147,0.05389658
"2-4 Units (Own/Rent), 3 BR",    Below Median,308000,3.1795511,0.4201995,0.55236908,1.0349127,0.74563591,0.06733167,0.25810474,0.05486284,0.04613466
"2-4 Units (Own/Rent), 3 BR",    Above Median,308000,2.4781086,0.10683012,0.54465849,0.6619965,0.51138354,0.22767075,0.1558669,0.20490368,0.0647986
"5-49 Units (Own), 0-1 BR",All Values,,1.574359,0.0,0.08461538,0.27435897,0.6,0.09230769,0.24358974,0.1974359,0.08205128
"5-49 Units (Own), 0-1 BR",    Below Median,440000,1.4340836,0.0,0.0,0.34405145,0.66237942,0.0,0.17041801,0.15434084,0.10289389
"5-49 Units (Own), 0-1 BR",    Above Median,440000,2.1265823,0.0,0.41772152,0.0,0.35443038,0.4556962,0.53164557,0.36708861,0.0
"5-49 Units (Own), 2 BR",All Values,,2.1015193,0.12223757,0.25483425,0.31906077,0.34392265,0.3390884,0.29558011,0.26174033,0.16505525
"5-49 Units (Own), 2 BR",    Below Median,580000,2.268262,0.15743073,0.34634761,0.43073048,0.41309824,0.47607053,0.26448363,0.13602015,0.0440806
"5-49 Units (Own), 2 BR",    Above Median,580000,1.8990826,0.0795107,0.14373089,0.18348624,0.25993884,0.17278287,0.33333333,0.41437309,0.31192661
"5-49 Units (Own), 3 BR",All Values,,2.7146402,0.16046319,0.3655914,0.6120761,0.23407775,0.45822994,0.29280397,0.41025641,0.18114144
"5-49 Units (Own), 3 BR",    Below Median,600000,2.7796853,0.16595136,0.28183119,0.8683834,0.20028612,0.58941345,0.21173104,0.25321888,0.20886981
"5-49 Units (Own), 3 BR",    Above Median,600000,2.6254902,0.15294118,0.48039216,0.26078431,0.28039216,0.27843137,0.40392157,0.6254902,0.14313725
"5-49 Units (Rent), 0-1 BR",All Values,,1.5494053,0.09423605,0.16651418,0.59926807,0.17383349,0.03659652,0.21088747,0.17200366,0.09606587
"5-49 Units (Rent), 0-1 BR",    Below Median,107000,1.5425361,0.11155698,0.24558587,0.48876404,0.14446228,0.02086677,0.17014446,0.25521669,0.105939
"5-49 Units (Rent), 0-1 BR",    Above Median,107000,1.5585106,0.0712766,0.06170213,0.74574468,0.21276596,0.05744681,0.26489362,0.06170213,0.08297872
"5-49 Units (Rent), 2 BR",All Values,,2.4069814,0.36334788,0.2788576,0.83181277,0.40936136,0.12614042,0.13050377,0.20626735,0.0606902
"5-49 Units (Rent), 2 BR",    Below Median,191000,2.4104938,0.42824074,0.31867284,0.59259259,0.44598765,0.08024691,0.15972222,0.28626543,0.09876543
"5-49 Units (Rent), 2 BR",    Above Median,191000,2.4032653,0.29469388,0.23673469,1.084898,0.37061224,0.17469388,0.09959184,0.12163265,0.02040816
"5-49 Units (Rent), 3 BR",All Values,,4.0,0.13793103,1.0598911,1.092559,0.5862069,0.51361162,0.57713249,0.03266788,0.0
"5-49 Units (Rent), 3 BR",    Below Median,209000,4.7172619,0.19642857,1.3571429,1.3690476,0.4702381,0.65178571,0.61904762,0.05357143,0.0
"5-49 Units (Rent), 3 BR",    Above Median,209000,2.8790698,0.04651163,0.59534884,0.66046512,0.76744186,0.29767442,0.51162791,0.0,0.0
"50+ Units (Own), 0-1 BR",All Values,,1.7769679,0.13338192,0.07653061,0.28717201,0.31413994,0.35495627,0.27259475,0.17055394,0.16763848
"50+ Units (Own), 0-1 BR",    Below Median,560000,1.7007481,0.08603491,0.06608479,0.32044888,0.19451372,0.43765586,0.43391521,0.09476309,0.06733167
"50+ Units (Own), 0-1 BR",    Above Median,560000,1.8842105,0.2,0.09122807,0.24035088,0.48245614,0.23859649,0.04561404,0.27719298,0.30877193000000003
"50+ Units (Own), 2 BR",All Values,,2.1074319,0.09933775,0.20345843,0.35945548,0.3848418,0.30389993,0.37159676,0.19168506,0.19315673
"50+ Units (Own), 2 BR",    Below Median,760000,2.2069186,0.04099936,0.26521461,0.31710442,0.5470852,0.28058937,0.40550929,0.17360666,0.17680974
"50+ Units (Own), 2 BR",    Above Median,760000,1.9732066,0.17804667,0.12013829,0.41659464,0.16594641,0.33535004,0.3258427,0.21607606,0.21521175
"50+ Units (Own), 3 BR",All Values,,3.1662651,0.61445783,0.41204819,0.28192771,0.82891566,0.5686747,0.29638554,0.0746988,0.08915663
"50+ Units (Own), 3 BR",    Below Median,825000,3.6105263,0.89473684,0.47719298,0.41052632,0.98947368,0.41754386,0.27368421,0.01754386,0.12982456
"50+ Units (Own), 3 BR",    Above Median,825000,2.1923077,0.0,0.26923077,0.0,0.47692308,0.9,0.34615385,0.2,0.0
"50+ Units (Rent), 0-1 BR",All Values,,1.2812955,0.04112082,0.0,0.22197962,0.17467249,0.06768559,0.15065502,0.18231441,0.44286754
"50+ Units (Rent), 0-1 BR",    Below Median,187000,1.2494639,0.04503217,0.0,0.14510365,0.11794139,0.01429593,0.11222302,0.23731237,0.5775554
"50+ Units (Rent), 0-1 BR",    Above Median,187000,1.3143069,0.03706449,0.0,0.30170497,0.2335063,0.12305411,0.19051149,0.12527798,0.30318755
