Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1557057,0.10711974,0.24403531,0.43520551,0.22538725,0.25257773,0.35565521,0.31799593,0.21772907,63331.0,0.07333517,2.0350694,2.2763421,0.05596142
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 120000,2.2406716,0.15375048,0.30568312,0.5481726,0.26047646,0.23545733,0.31400689,0.24770379,0.17542097,20904.0,0.12977749,2.0271877,2.4541556,0.09527678
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,120000 to 221000,2.0469426,0.09865253,0.1789658,0.47565306,0.21676315,0.2717809,0.33438731,0.27465097,0.19608892,20557.0,0.11912116,1.8509883,2.242897,0.09573024
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,2.1767261,0.07050754,0.24627343,0.28920896,0.19995428,0.25089163,0.41545496,0.42592593,0.27850937,21870.0,0.11265762,1.9914043,2.3620479,0.08513785
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6076961,0.1540434,0.43468663,0.49629864,0.330014,0.30008205,0.38241721,0.3324132,0.17774101,224242.0,0.04562467,2.5326436,2.6827487,0.02878118
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 188000,2.7380096,0.18396506,0.53683572,0.63200099,0.35463426,0.29056614,0.36250155,0.24033123,0.13717466,72579.0,0.08862429,2.5922227,2.8837966,0.0532456
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,188000 to 314000,2.6157006,0.16306588,0.44409111,0.53145173,0.34686302,0.29820802,0.34220906,0.31129642,0.17851537,73271.0,0.08703846,2.4725223,2.7588789,0.05473802
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 314000,2.4795642,0.11790744,0.33132207,0.33780233,0.29147107,0.31064394,0.4384376,0.43740433,0.21457547,78392.0,0.07494483,2.35628,2.6028485,0.04972013
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.454091,0.22853351,0.88906299,0.59882246,0.51015588,0.44960066,0.37636961,0.27220903,0.12933686,171034.0,0.06009196,3.3552397,3.5529423,0.02861861
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 248000,3.5928755,0.26503087,0.93718629,0.7702488,0.50733037,0.38775142,0.34050121,0.23933846,0.14548803,55386.0,0.12819536,3.3819941,3.8037568,0.05869432
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,248000 to 400000,3.445277,0.22503601,0.88758227,0.6021623,0.54148663,0.43789312,0.37003409,0.26463564,0.11644697,54849.0,0.11884962,3.2497694,3.6407847,0.05674656
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 400000,3.3356141,0.19844076,0.84655998,0.43964539,0.48446521,0.51650521,0.41476011,0.30898535,0.12625208,60799.0,0.11109983,3.1528549,3.5183733,0.05479028
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9856823,0.16174497,0.18299776,0.59865772,0.21789709,0.15178971,0.2417226,0.22651007,0.20436242,8940.0,0.16407781,1.7157743,2.2555903,0.13592708
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 107000,2.0634045,0.19710544,0.15299793,0.81219848,0.27015851,0.14886285,0.21157822,0.17987595,0.09062715,2902.0,0.33863617,1.5063481,2.620461,0.2699696
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,107000 to 177000,2.2458506,0.2444675,0.31811895,0.72890733,0.28423237,0.15975104,0.15283541,0.22925311,0.12828492,2892.0,0.33399488,1.696429,2.7952722,0.24463852
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 177000,1.6748252,0.05308328,0.086459,0.28194533,0.10870947,0.14717101,0.35123967,0.26700572,0.3792117,3146.0,0.25694926,1.2521436,2.0975067,0.25237352
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6110075,0.23113599,0.46983831,0.88401741,0.3191335,0.16158789,0.18687811,0.20729685,0.1511194,9648.0,0.24043522,2.2154915,3.0065234,0.1514802
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 144000,2.6586675,0.24407957,0.61698769,1.0552573,0.34891064,0.13735396,0.10640985,0.09030628,0.05936217,3167.0,0.44921932,1.9197017,3.3976333,0.27794592
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,144000 to 230000,3.0443473,0.28263585,0.64522174,1.1036852,0.4350406,0.0974391,0.18582136,0.20737039,0.08713304,3202.0,0.40897889,2.371577,3.7171176,0.22098999
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 230000,2.1418115,0.16834401,0.15645014,0.50411711,0.17718817,0.24763647,0.26562977,0.32021958,0.30222629,3279.0,0.3570823,1.5544111,2.7292119,0.274254
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3439692,0.06143924,0.03994116,0.5584974,0.10873501,0.17798144,0.17311609,0.13804028,0.0862186,8838.0,0.11727326,1.1510547,1.5368837,0.14354087
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 61000,1.1387966,0.0,0.00221484,0.28571429,0.09376154,0.16352898,0.25655223,0.1646364,0.17238834,2709.0,0.16419937,0.86868865,1.4089046,0.23718718
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,61000 to 84000,1.4001957,0.09034573,0.03522505,0.65264188,0.1121983,0.25799087,0.09849967,0.12654925,0.02674494,3066.0,0.24108821,1.0036056,1.7967858,0.28323906
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 84000,1.4691479,0.08684296,0.07802808,0.70551747,0.11851126,0.11067581,0.17401241,0.12602024,0.06953967,3063.0,0.24254825,1.070156,1.8681398,0.27158046
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.2001672,0.25657869,0.28078347,0.94036387,0.22158525,0.1971018,0.14053107,0.10183526,0.06138779,25119.0,0.11779941,2.0063872,2.3939472,0.08807514
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 91000,2.0605694,0.23622047,0.27740763,0.81041793,0.19600242,0.22907329,0.14936402,0.08758328,0.0745003,8255.0,0.18470563,1.7567286,2.3644101,0.14745476
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,91000 to 113000,2.2407187,0.30069015,0.25821038,0.97953356,0.27582104,0.16884817,0.11601618,0.11137554,0.0302237,8404.0,0.24461754,1.8383229,2.6431146,0.17958339
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 113000,2.2960993,0.23262411,0.30650118,1.0282506,0.19267139,0.19397163,0.15626478,0.10626478,0.07955083,8460.0,0.22734037,1.9221244,2.6700742,0.16287401
"2-4 Units (Own/Rent), 3 BR",All Values,,3.1879851,0.33515378,0.84377695,0.99971256,0.45688416,0.21514803,0.19804542,0.0842196,0.05504455,6958.0,0.32216447,2.6580245,3.7179456,0.16623684
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 106000,3.4261232,0.3339509,1.1120889,1.0379805,0.53265401,0.19916628,0.1023622,0.07966651,0.02825382,2159.0,0.65512561,2.3484416,4.5038048,0.31454842
"2-4 Units (Own/Rent), 3 BR",Second Tercile,106000 to 142000,3.3234409,0.36129032,0.97247312,1.0021505,0.61892473,0.16860215,0.1144086,0.05548387,0.03010753,2325.0,0.61572373,2.3105753,4.3363064,0.30476412
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 142000,2.8528698,0.31164107,0.4886823,0.96402587,0.23848019,0.27283751,0.36014551,0.11519806,0.10185934,2474.0,0.53775728,1.9682591,3.7374806,0.31007749
"5-49 Units (Own), 0-1 BR",All Values,,1.8519856,0.28880866,0.0,0.44404332,0.0,0.2166065,0.26353791,0.36823105,0.27075812,277.0,0.9818502,0.23684198,3.4671291,0.87211456
"5-49 Units (Own), 0-1 BR",First Tercile,Below 188000,2.2,0.0,0.0,0.0,0.0,0.15555556,0.82222222,0.82222222,0.4,45.0,1.9022713,-0.92923627,5.3292363,1.4223801
"5-49 Units (Own), 0-1 BR",Second Tercile,188000 to 350000,2.1470588,0.78431373,0.0,0.52941176,0.0,0.21568627,0.29411765,0.15686275,0.16666667,102.0,1.5250563,-0.36165884,4.6557765,1.1684438
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 350000,1.5,0.0,0.0,0.53076923,0.0,0.23846154,0.04615385,0.37692308,0.30769231,130.0,0.99158926,-0.13116433,3.1311643,1.0874429
"5-49 Units (Own), 2 BR",All Values,,2.2477477,0.0,0.02852853,0.31531532,0.12462462,0.54204204,0.59009009,0.44144144,0.20570571,666.0,0.86595795,0.82324691,3.6722486,0.63374586
"5-49 Units (Own), 2 BR",First Tercile,Below 216000,1.3292683,0.0,0.11585366,0.15243902,0.1097561,0.0,0.33536585,0.47560976,0.1402439,164.0,0.6320146,0.28960428,2.3689323,0.78213256
"5-49 Units (Own), 2 BR",Second Tercile,216000 to 450000,3.0931174,0.0,0.0,0.52631579,0.08097166,1.2064777,1.048583,0.11740891,0.11336032,247.0,1.9975961,-0.19292814,6.379163,1.0623734
"5-49 Units (Own), 2 BR",Third Tercile ,Above 450000,2.0196078,0.0,0.0,0.21568627,0.17647059,0.24705882,0.30980392,0.73333333,0.3372549,255.0,0.89832532,0.5418627,3.497353,0.73169905
"5-49 Units (Own), 3 BR",All Values,,1.830303,0.09090909,0.25757576,0.0,0.26666667,0.35454545,0.0,0.43636364,0.42424242,330.0,0.90911404,0.33481043,3.3257956,0.81707377
"5-49 Units (Own), 3 BR",First Tercile,Below 143000,1.9183673,0.0,0.55102041,0.0,0.32653061,0.44897959,0.0,0.53061224,0.06122449,49.0,1.9547056,-1.2971234,5.1338581,1.6761601
"5-49 Units (Own), 3 BR",Second Tercile,143000 to 400000,1.796748,0.0,0.33333333,0.0,0.4796748,0.35772358,0.0,0.0,0.62601626,123.0,1.5102335,-0.68758612,4.2810821,1.3826837
"5-49 Units (Own), 3 BR",Third Tercile ,Above 400000,1.8291139,0.18987342,0.10759494,0.0,0.08227848,0.32278481,0.0,0.74683544,0.37974684,158.0,1.069679,0.06949198,3.5887359,0.96200784
"5-49 Units (Rent), 0-1 BR",All Values,,1.2928833,0.03611538,0.02588959,0.59557867,0.10231706,0.10799149,0.15315049,0.11538007,0.15646057,16918.0,0.09652156,1.1341053,1.4516613,0.12280921
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 63000,1.2473158,0.03424658,0.05164754,0.28211773,0.13495002,0.14161422,0.17900777,0.17900777,0.24472418,5402.0,0.14787273,1.0040652,1.4905664,0.19501928
"5-49 Units (Rent), 0-1 BR",Second Tercile,63000 to 103000,1.3102749,0.04501015,0.02287401,0.70706512,0.07138904,0.08946689,0.17100166,0.09278731,0.11068069,5421.0,0.16852981,1.0330433,1.5875064,0.21158274
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 103000,1.3178015,0.02986054,0.00574241,0.77424118,0.10090238,0.09466776,0.11435603,0.07908121,0.11894996,6095.0,0.15905972,1.0561482,1.5794547,0.19855285
"5-49 Units (Rent), 2 BR",All Values,,2.1908181,0.15436343,0.24390737,1.150723,0.19764385,0.16816665,0.12488624,0.0790272,0.07210031,19778.0,0.1696654,1.9117185,2.4699177,0.12739514
"5-49 Units (Rent), 2 BR",First Tercile,Below 80000,2.0055459,0.14007289,0.26921249,0.87212803,0.14926319,0.17635874,0.1815877,0.12533671,0.09158612,6311.0,0.26190645,1.5747098,2.436382,0.21482237
"5-49 Units (Rent), 2 BR",Second Tercile,80000 to 117000,2.2910549,0.19857727,0.23808082,1.3422128,0.11094294,0.13712729,0.12259725,0.07764492,0.06387165,6607.0,0.2670824,1.8517044,2.7304055,0.19176779
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 117000,2.264723,0.12492711,0.22623907,1.2225948,0.32565598,0.19052478,0.07492711,0.0377551,0.06209913,6860.0,0.36382795,1.6662261,2.86322,0.26426939
"5-49 Units (Rent), 3 BR",All Values,,3.5350148,0.32492621,0.82103569,1.5878723,0.37429568,0.16098739,0.12825329,0.09229944,0.04534478,3727.0,0.539165,2.6480883,4.4219412,0.25089751
"5-49 Units (Rent), 3 BR",First Tercile,Below 102000,3.6702509,0.39336918,1.3467742,1.2455197,0.46594982,0.13799283,0.06003584,0.02060932,0.0,1116.0,0.9448178,2.1160256,5.2244762,0.42346568
"5-49 Units (Rent), 3 BR",Second Tercile,102000 to 150000,4.0239753,0.40061872,0.76179428,1.8468677,0.41144625,0.13921114,0.21655066,0.12374323,0.12374323,1293.0,1.0723747,2.2599188,5.7880317,0.43838651
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 150000,2.9408194,0.19271624,0.4339909,1.6236722,0.26024279,0.20182094,0.09939302,0.12215478,0.00682853,1318.0,0.78670904,1.6466831,4.2349558,0.44005979
"50+ Units (Own), 0-1 BR",All Values,,1.4935065,0.0,0.0,0.0,0.0,0.46753247,0.4025974,0.50649351,0.11688312,77.0,1.0729236,-0.27145285,3.2584658,1.1817554
"50+ Units (Own), 0-1 BR",Second Tercile,65000 to 166000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.3243212,-1.1785083,3.1785083,2.1785083
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 166000,1.6031746,0.0,0.0,0.0,0.0,0.57142857,0.49206349,0.3968254,0.14285714,63.0,1.2991927,-0.53399733,3.7403465,1.3330874
"50+ Units (Own), 2 BR",All Values,,1.7988827,0.0,0.0,0.2849162,0.70391061,0.06145251,0.32402235,0.1396648,0.2849162,179.0,1.179706,-0.1417337,3.7394991,1.0787899
"50+ Units (Own), 2 BR",Second Tercile,270000 to 459000,2.9054054,0.0,0.0,0.68918919,1.7027027,0.14864865,0.2027027,0.0,0.16216216,74.0,3.0660107,-2.1381822,7.9489931,1.7359325
"50+ Units (Own), 2 BR",Third Tercile ,Above 459000,1.0190476,0.0,0.0,0.0,0.0,0.0,0.40952381,0.23809524,0.37142857,105.0,0.5730319,0.07641014,1.9616851,0.92501809
"50+ Units (Own), 3 BR",All Values,,1.5714286,0.0,0.0,0.0,0.0,0.0,0.23376623,1.3376623,0.0,77.0,1.0683259,-0.18596755,3.3288247,1.118343
"50+ Units (Own), 3 BR",First Tercile,Below 202000,2.0714286,0.0,0.0,0.0,0.0,0.0,0.0,2.0714286,0.0,14.0,3.2650098,-3.2995125,7.4423696,2.5928681
"50+ Units (Own), 3 BR",Second Tercile,202000 to 470000,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,12.0,2.024567,-1.8304127,4.8304127,2.2202751
