Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.2522062,0.09687124,0.32691536,0.37284396,0.19324108,0.30956679,0.30705977,0.38427597,0.26143201
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,270000,2.1595092,0.14036066,0.3030303,0.47964306,0.19260086,0.2572969,0.30005577,0.2755159,0.21100576
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,270000,2.3607664,0.04593947,0.35488787,0.24776834,0.19399086,0.37078162,0.31526236,0.51164816,0.3204877
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6541473,0.18976486,0.45425931,0.53073609,0.36004375,0.29240967,0.3555357,0.31129546,0.16010243
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,286000,2.7844637,0.23215037,0.56979495,0.66111987,0.4070715,0.26671924,0.30036803,0.21190852,0.13533123
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,286000,2.5199394,0.14611365,0.33527357,0.39645884,0.31161166,0.31886726,0.41235076,0.41365027,0.18561334
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.6468706,0.27045294,1.0525284,0.61143376,0.6147339,0.51724287,0.30267614,0.193613,0.08418959
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,3.7538602,0.31200501,1.1334397,0.71736653,0.6673124,0.44034528,0.24799157,0.15121645,0.08418324
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,3.5373443,0.22791566,0.96969874,0.5029893,0.56090875,0.59596372,0.3586573,0.23701479,0.0841961
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0072934,0.28038898,0.11750405,0.56199352,0.1487034,0.12722853,0.2856564,0.20664506,0.27917342
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,175000,2.3520847,0.45797485,0.18927862,0.82726671,0.18927862,0.1336863,0.22104567,0.16214428,0.17140966
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,175000,1.4629049,0.0,0.00417973,0.14315569,0.0846395,0.11703239,0.3876698,0.276907,0.44932079
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6355121,0.27428222,0.46141315,0.88902464,0.39645693,0.19140705,0.14742415,0.12522908,0.15027489
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,187000,2.8368234,0.32042671,0.5796128,1.246938,0.31845121,0.16357171,0.11694982,0.03476887,0.05610431
