Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0283825,0.07047177,0.16243813,0.30279326,0.1572462,0.21570731,0.35211658,0.39493268,0.37267661,28891.0,0.10206195,1.8604906,2.1962744,0.08277132
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,2.033619,0.09162182,0.20158129,0.40243173,0.1986579,0.24337253,0.32582553,0.30609262,0.26403561,15051.0,0.1583529,1.7731285,2.2941095,0.12809209
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,2.0226879,0.0474711,0.11986994,0.19443642,0.11221098,0.18562139,0.38070809,0.49154624,0.4908237,13840.0,0.14875966,1.7779782,2.2673975,0.12098241
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.8537822,0.192784,0.55469308,0.47449542,0.44381103,0.42102286,0.36393338,0.27366635,0.12937604,134368.0,0.06157832,2.7524858,2.9550785,0.03549547
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,230000,2.8542933,0.21787597,0.58297088,0.54434427,0.46900654,0.38937696,0.31419766,0.22192298,0.11459804,69434.0,0.09320933,2.7009639,3.0076226,0.05371885
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,230000,2.8532356,0.16595312,0.5244556,0.39980596,0.41686944,0.45486186,0.41711584,0.3289956,0.14517818,64934.0,0.09482407,2.69725,3.0092212,0.05466972
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.6678305,0.2592668,1.0284495,0.56079801,0.60663458,0.66741837,0.34350187,0.14874263,0.05301882,211076.0,0.07036776,3.5520756,3.7835855,0.03155952
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,3.7060232,0.27866175,1.0291435,0.6365505,0.60667291,0.63531171,0.31434785,0.1542972,0.05103782,108978.0,0.08911153,3.5594348,3.8526117,0.03955411
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,3.6270642,0.23856491,1.0277087,0.47994084,0.60659366,0.70168857,0.37462046,0.14281377,0.0551333,102098.0,0.09710581,3.4673251,3.7868032,0.04404087
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9056846,0.10345648,0.15713674,0.40282803,0.29320606,0.22005332,0.23893068,0.24830985,0.24176347,42008.0,0.0920204,1.7543111,2.0570582,0.07943264
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,180000,1.8765193,0.10588792,0.17275952,0.45396075,0.30569875,0.19545992,0.23126035,0.19418302,0.21730906,21145.0,0.13047142,1.6618938,2.0911448,0.11437425
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,180000,1.9352442,0.10099219,0.14130278,0.35100417,0.2805445,0.24497915,0.24670469,0.30316829,0.26654844,20863.0,0.14172112,1.702113,2.1683754,0.12046606
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.5833989,0.17962453,0.42908394,0.52029684,0.41090033,0.34185178,0.32725575,0.23997444,0.13441124,40696.0,0.11739759,2.3902798,2.7765179,0.07475386
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,225000,2.640444,0.17794402,0.5148166,0.61660232,0.42200772,0.35796332,0.27070463,0.17398649,0.10641892,20720.0,0.17609485,2.350768,2.93012,0.10970732
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,225000,2.5242291,0.18136764,0.34015819,0.42040449,0.39937926,0.32514017,0.3859131,0.3084201,0.16344614,19976.0,0.16022879,2.2606527,2.7878054,0.10441856
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.37889,0.09111325,0.0572666,0.49053577,0.17244145,0.10587103,0.20436317,0.15046519,0.10683349,6234.0,0.14663842,1.1376698,1.6201102,0.17493797
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,78000,1.1649199,0.01418002,0.00709001,0.29408138,0.15752158,0.08292232,0.277127,0.1972873,0.13471023,3244.0,0.21817143,0.80602785,1.5238119,0.308083
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,78000,1.6110368,0.17458194,0.11170569,0.70367893,0.18862876,0.13076923,0.12541806,0.09966555,0.07658863,2990.0,0.26858855,1.1692086,2.052865,0.27425083
