Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0204396,0.08621948,0.18265877,0.25208857,0.15167491,0.24162544,0.40165464,0.43231406,0.27220375
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,1.9217537,0.09605724,0.19013548,0.31085401,0.18267621,0.27203532,0.33764652,0.31770437,0.21464454
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,2.1329861,0.075,0.17413194,0.18506944,0.11631944,0.20694444,0.47465278,0.56302083,0.33784722
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7076078,0.20164851,0.5182757,0.41013738,0.42679299,0.4035244,0.36848887,0.26626243,0.1124775
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,250000,2.7853699,0.21714882,0.59204088,0.48193725,0.4234312,0.39119171,0.3375072,0.21851612,0.12359672
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,250000,2.6211023,0.1844054,0.43621663,0.33026458,0.43053276,0.41724373,0.40295401,0.31937718,0.10010807
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4424792,0.29832451,0.99320988,0.46744772,0.64011086,0.54105568,0.30807508,0.14273117,0.05152431
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,325000,3.5109871,0.33048115,1.0131944,0.55721726,0.64496528,0.4969494,0.29503968,0.11817956,0.05496032
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,325000,3.3717614,0.26513057,0.97258065,0.37478239,0.63509985,0.58658474,0.32153098,0.16807476,0.04797747
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.6856373,0.06171073,0.10557333,0.40983331,0.15406634,0.13621822,0.17763933,0.29356794,0.34702812
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,155000,1.5884634,0.0568751,0.1320084,0.41234448,0.17805784,0.13960252,0.13572467,0.25803846,0.27581192
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,155000,1.7913517,0.06697135,0.07681491,0.40710142,0.12796625,0.13253647,0.22323783,0.33222007,0.42450343
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.4011546,0.19901031,0.34334021,0.67389691,0.21665979,0.22045361,0.24519588,0.31843299,0.18416495
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,188000,2.4737825,0.23805819,0.42274778,0.87521394,0.27322234,0.19729267,0.1918469,0.21378559,0.06161506
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,188000,2.3192348,0.15496665,0.25377325,0.44682345,0.15286065,0.24657775,0.30537031,0.43646894,0.32239382
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.2271293,0.0,0.01104101,0.38328076,0.09148265,0.10935857,0.14405889,0.16088328,0.32702419
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,72000,1.2022472,0.0,0.01815039,0.17545376,0.08297321,0.15038894,0.18496111,0.22299049,0.3673293
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,72000,1.2657718,0.0,0.0,0.70604027,0.10469799,0.04563758,0.08053691,0.06442953,0.26442953
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.8524914,0.06314751,0.20448939,0.90996547,0.12086828,0.10162802,0.12752837,0.09348791,0.23137642
"2-4 Units  (Own/Rent), 2 BR",    Below Median,99000,1.707556,0.02052239,0.23414179,0.88666045,0.13432836,0.14598881,0.10074627,0.06203358,0.12313433
"2-4 Units  (Own/Rent), 2 BR",    Above Median,99000,2.0151832,0.11099476,0.17120419,0.93612565,0.10575916,0.05183246,0.15759162,0.12879581,0.35287958
"2-4 Units (Own/Rent), 3 BR",All Values,,2.2606819,0.14285714,0.39922313,0.87268019,0.17867933,0.09408718,0.19507984,0.12861459,0.24946051
"2-4 Units (Own/Rent), 3 BR",    Below Median,141000,2.7109915,0.25441968,0.64565719,1.1060723,0.11760184,0.14142967,0.30899308,0.03074558,0.10607225
"2-4 Units (Own/Rent), 3 BR",    Above Median,141000,1.6840551,0.0,0.08366142,0.5738189,0.25688976,0.03346457,0.0492126,0.25393701,0.43307087
"5-49 Units (Own), 0-1 BR",All Values,,1.2093023,0.0,0.0,0.33953488,0.0,0.0,0.13953488,0.13488372,0.59534884
"5-49 Units (Own), 0-1 BR",    Below Median,120000,1.2178771,0.0,0.0,0.40782123,0.0,0.0,0.12849162,0.03351955,0.64804469
"5-49 Units (Own), 0-1 BR",    Above Median,120000,1.1666667,0.0,0.0,0.0,0.0,0.0,0.19444444,0.63888889,0.33333333
"5-49 Units (Own), 2 BR",All Values,,1.4266118,0.05315501,0.04938272,0.36248285,0.16941015,0.1042524,0.24691358,0.1824417,0.25857339
"5-49 Units (Own), 2 BR",    Below Median,122000,1.490285,0.1003886,0.09326425,0.45272021,0.19041451,0.14702073,0.12759067,0.14378238,0.23510363
"5-49 Units (Own), 2 BR",    Above Median,122000,1.3549563,0.0,0.0,0.26093294,0.14577259,0.05612245,0.38119534,0.22594752,0.28498542
"5-49 Units (Own), 3 BR",All Values,,2.0037313,0.0,0.21268657,0.09701493,0.22761194,0.44029851,0.35447761,0.67164179,0.0
"5-49 Units (Own), 3 BR",    Below Median,300000,2.078341,0.0,0.26267281,0.11981567,0.28110599,0.5437788,0.34101382,0.52995392,0.0
"5-49 Units (Own), 3 BR",    Above Median,300000,1.6862745,0.0,0.0,0.0,0.0,0.0,0.41176471,1.2745098,0.0
"5-49 Units (Rent), 0-1 BR",All Values,,1.2725922,0.01372138,0.06449921,0.63555322,0.11335431,0.07682223,0.07638525,0.0942143,0.1980423
"5-49 Units (Rent), 0-1 BR",    Below Median,96000,1.1660133,0.0,0.01363559,0.52871996,0.07380262,0.06476905,0.14692347,0.14999148,0.18817113
"5-49 Units (Rent), 0-1 BR",    Above Median,96000,1.3847534,0.02816143,0.11802691,0.74798206,0.15497758,0.08950673,0.00215247,0.0355157,0.20843049
"5-49 Units (Rent), 2 BR",All Values,,1.9266165,0.13102838,0.14828393,1.0597939,0.1728715,0.13058593,0.10170027,0.0691486,0.11320397
"5-49 Units (Rent), 2 BR",    Below Median,113000,1.8601732,0.19819254,0.14095645,0.87736915,0.19392494,0.13053847,0.14334128,0.07531066,0.10053973
"5-49 Units (Rent), 2 BR",    Above Median,113000,1.9940158,0.06289789,0.15571683,1.2448434,0.15151515,0.13063407,0.05946015,0.06289789,0.12605042
"5-49 Units (Rent), 3 BR",All Values,,3.1230964,0.4106599,0.62893401,1.3817259,0.38147208,0.20279188,0.08121827,0.01040609,0.02588832
"5-49 Units (Rent), 3 BR",    Below Median,135000,2.7784509,0.32150584,0.42752055,1.3474686,0.19991346,0.31155344,0.1384682,0.0,0.03202077
"5-49 Units (Rent), 3 BR",    Above Median,135000,3.6120319,0.53713935,0.91467158,1.4303254,0.63904236,0.04849601,0.0,0.02516882,0.01718846
"50+ Units (Own), 0-1 BR",All Values,,1.1773399,0.0,0.0,0.0,0.0,0.0,0.20197044,0.00492611,0.97044335
"50+ Units (Own), 0-1 BR",    Below Median,80000,1.2236025,0.0,0.0,0.0,0.0,0.0,0.25465839,0.00621118,0.96273292
"50+ Units (Own), 0-1 BR",    Above Median,80000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"50+ Units (Own), 2 BR",All Values,,1.5523614,0.0,0.0,0.09034908,0.0,0.0,0.0,0.58316222,0.8788501
"50+ Units (Own), 2 BR",    Below Median,170000,1.7612903,0.0,0.0,0.0,0.0,0.0,0.0,0.89032258,0.87096774
"50+ Units (Own), 2 BR",    Above Median,170000,1.1864407,0.0,0.0,0.24858757,0.0,0.0,0.0,0.04519774,0.89265537
"50+ Units (Own), 3 BR",All Values,,2.1652174,0.0,0.0,1.4086957,0.0,0.0,0.37391304,0.3826087,0.0
"50+ Units (Own), 3 BR",    Below Median,170000,2.1652174,0.0,0.0,1.4086957,0.0,0.0,0.37391304,0.3826087,0.0
"50+ Units (Rent), 0-1 BR",All Values,,1.136859,0.01185897,0.00753205,0.54182692,0.02852564,0.04519231,0.06698718,0.08766026,0.34727564
"50+ Units (Rent), 0-1 BR",    Below Median,105000,1.0750311,0.00933998,0.01463263,0.36021171,0.03268991,0.05292653,0.10740971,0.13075965,0.36706102
"50+ Units (Rent), 0-1 BR",    Above Median,105000,1.2024439,0.01453104,0.0,0.7344782,0.02410832,0.03698811,0.02410832,0.04194188,0.32628798
"50+ Units (Rent), 2 BR",All Values,,1.6120841,0.07209574,0.05691769,0.78984238,0.06304729,0.02247519,0.0323993,0.11908932,0.45621716
"50+ Units (Rent), 2 BR",    Below Median,119000,1.6336254,0.06516977,0.10021906,0.85487404,0.02519168,0.0,0.04216867,0.14731654,0.39868565
