Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0729094,0.09694603,0.21044945,0.38728448,0.21184076,0.2561629,0.36974318,0.31738833,0.22309425,130093.0,0.05027915,1.9902002,2.1556186,0.03990006
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 70000,2.0285661,0.10246324,0.21394118,0.36810434,0.20616746,0.25025756,0.40252412,0.2951906,0.18991758,42708.0,0.07676366,1.9022899,2.1548423,0.06224901
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,70000 to 118000,2.1302639,0.12413438,0.24527419,0.49326221,0.24726277,0.27725529,0.3144067,0.25991952,0.16874883,42744.0,0.08227936,1.9949143,2.2656134,0.06353652
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 118000,2.0604153,0.06563473,0.17376403,0.30415985,0.18335163,0.24161645,0.39136668,0.39365158,0.30687037,44641.0,0.08301124,1.9238618,2.1969688,0.06627474
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5878191,0.15662119,0.43225428,0.50185078,0.32345969,0.32396887,0.35551241,0.30133273,0.19281914,473314.0,0.02460013,2.5473519,2.6282863,0.01563758
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 100000,2.5898733,0.1569777,0.44844594,0.5322307,0.31459732,0.31208201,0.3536698,0.2825926,0.18927718,152665.0,0.05123168,2.5055971,2.6741494,0.03254063
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,100000 to 171000,2.6989167,0.18893227,0.50398739,0.5922013,0.36157046,0.32046522,0.32855484,0.24615934,0.15704588,156744.0,0.05487613,2.6086455,2.7891879,0.03344721
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 171000,2.479662,0.12538971,0.34857387,0.38715109,0.2952686,0.33839114,0.38300845,0.37155059,0.23032854,163905.0,0.0494561,2.3983067,2.5610173,0.03280902
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.3651469,0.2108152,0.86014677,0.56833078,0.50308398,0.44861041,0.3706798,0.25727649,0.14620342,181097.0,0.05998538,3.2664709,3.4638228,0.02932292
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 156000,3.4995241,0.23206091,0.88854142,0.723597,0.46500561,0.41836908,0.35822088,0.25534519,0.15838404,58838.0,0.11897343,3.3038128,3.6952354,0.05592512
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,156000 to 293000,3.3605512,0.18833036,0.86285617,0.59135834,0.50451646,0.46731309,0.35861189,0.24468827,0.14287658,58785.0,0.10148665,3.1936056,3.5274967,0.04967802
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 293000,3.2448404,0.21194505,0.83131676,0.40307843,0.53705454,0.45932193,0.39340517,0.27072502,0.13799351,63474.0,0.10803801,3.0671179,3.4225629,0.05477081
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0534633,0.18973833,0.25346331,0.61867624,0.22503848,0.15392509,0.23519754,0.16131349,0.21611083,9745.0,0.16479649,1.7823731,2.3245535,0.13201611
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 87000,2.132854,0.23257268,0.34698343,0.56267584,0.21444201,0.20506408,0.25351672,0.15848703,0.15911222,3199.0,0.33435196,1.582845,2.682863,0.25787465
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,87000 to 114000,2.2193411,0.27486272,0.2699817,0.71537523,0.28676022,0.15161684,0.21568029,0.14795607,0.15710799,3278.0,0.3383754,1.6627135,2.7759686,0.25080757
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 114000,1.8093635,0.0624235,0.14534884,0.57649939,0.17350061,0.10618115,0.23684211,0.17747858,0.33108935,3268.0,0.27227018,1.3614791,2.257248,0.24753702
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.9667761,0.27025607,0.60091924,0.8996717,0.42678923,0.17124097,0.22009192,0.20774787,0.17005909,7615.0,0.30706303,2.4616574,3.4718948,0.17025844
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 107000,3.0392078,0.40824576,0.62934519,0.8589329,0.45068715,0.1519806,0.26839127,0.17987065,0.09175424,2474.0,0.54498027,2.1427152,3.9357003,0.29497574
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,107000 to 142000,3.1279352,0.23603239,0.87773279,1.1198381,0.49959514,0.11093117,0.14736842,0.07935223,0.05708502,2470.0,0.65125535,2.0566202,4.1992503,0.34249911
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 142000,2.7506552,0.1740921,0.31860726,0.73380756,0.33732684,0.24485212,0.24260577,0.35230251,0.34706103,2671.0,0.45036131,2.0098108,3.4914995,0.26933378
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.2674234,0.02606897,0.05704391,0.31763744,0.14073397,0.18503198,0.24659709,0.17055457,0.12375547,20791.0,0.0831279,1.130678,1.4041688,0.10789244
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 37000,1.132924,0.01366078,0.0475825,0.12494244,0.10590944,0.1161934,0.27582502,0.26216424,0.1866462,6515.0,0.12351668,0.92973909,1.336109,0.17934559
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,37000 to 66000,1.2570185,0.02498596,0.06162268,0.23947221,0.17504211,0.22641774,0.26866929,0.14963504,0.1111735,7124.0,0.13672788,1.0321012,1.4819359,0.17892923
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 66000,1.4003076,0.03845078,0.06110179,0.57102908,0.138283,0.20651566,0.19798658,0.10794183,0.07899888,7152.0,0.17612657,1.1105794,1.6900358,0.20690326
