Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1236264,0.09290709,0.2224026,0.41552198,0.2170954,0.2967033,0.35708042,0.29345654,0.22845904,16016.0,0.1544539,1.8695497,2.377703,0.11964283
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,130000,2.123311,0.12063299,0.24114425,0.59513086,0.2456482,0.27169811,0.29044431,0.19123554,0.16737675,8215.0,0.20659067,1.7834694,2.4631527,0.1600527
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,130000,2.1239585,0.06370978,0.20266632,0.22638123,0.1870273,0.32303551,0.42725292,0.40110242,0.29278298,7801.0,0.21844595,1.7646149,2.483302,0.16918579
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6653889,0.19660035,0.49879869,0.57158797,0.39302972,0.34558936,0.30105553,0.23683287,0.12189438,111129.0,0.06974006,2.5506665,2.7801113,0.04304153
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,170000,2.722955,0.23041296,0.55141323,0.70140002,0.39684776,0.31393854,0.25936427,0.17624373,0.09333451,56785.0,0.09583877,2.5653002,2.8806098,0.05789842
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,170000,2.605237,0.16126895,0.44382084,0.43594509,0.38904019,0.37866186,0.34461946,0.30014353,0.15173708,54344.0,0.09422751,2.4502328,2.7602413,0.05949718
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4085382,0.25125207,0.9428089,0.54628776,0.61660259,0.48342153,0.30862761,0.18181689,0.07772087,70483.0,0.1118199,3.2245945,3.592482,0.05396558
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,275000,3.4352459,0.23641121,0.9562731,0.67705214,0.58371773,0.46988212,0.29456988,0.14369723,0.07364247,37071.0,0.13377405,3.2151876,3.6553042,0.06405897
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,275000,3.3789058,0.26771819,0.92787023,0.40120316,0.65308871,0.49844367,0.32422483,0.2241111,0.0822459,33412.0,0.17441766,3.0919887,3.6658228,0.08491419
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9989782,0.14782016,0.20367847,0.64237057,0.25953678,0.10013624,0.1873297,0.21151226,0.24659401,2936.0,0.3102737,1.488578,2.5093784,0.25533056
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,110000,2.1992386,0.2284264,0.29378173,0.84835025,0.32170051,0.08883249,0.08819797,0.14593909,0.18401015,1576.0,0.46838597,1.4287437,2.9697335,0.35034622
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,110000,1.7669118,0.05441176,0.09926471,0.40367647,0.1875,0.11323529,0.30220588,0.2875,0.31911765,1360.0,0.37430421,1.1511813,2.3826422,0.34847831
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.9555281,0.3295244,0.58029648,1.0265596,0.41012971,0.1287832,0.15565164,0.16151946,0.16306362,3238.0,0.44583801,2.2221246,3.6889316,0.24814636
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,130000,3.321599,0.45047733,0.81145585,1.1121718,0.47136038,0.0924821,0.18973747,0.05608592,0.13782816,1676.0,0.73968318,2.1048202,4.5383779,0.36632321
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,130000,2.5627401,0.19974392,0.33226633,0.9346991,0.34443022,0.16773367,0.1190781,0.27464789,0.19014085,1562.0,0.60507622,1.5673897,3.5580905,0.38839303
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.1529842,0.00511571,0.03848965,0.28867235,0.11961023,0.20170524,0.20584653,0.18294762,0.11059683,4105.0,0.15449006,0.89884802,1.4071203,0.22041599
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,62000,1.1358473,0.00954112,0.01771922,0.17219446,0.14311677,0.13266697,0.28532485,0.20445252,0.17083144,2201.0,0.21301465,0.78543824,1.4862564,0.30850017
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,62000,1.1727941,0.0,0.0625,0.42331933,0.09243697,0.28151261,0.11397059,0.15808824,0.04096639,1904.0,0.26283426,0.74043175,1.6051565,0.36866007
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.1418393,0.1728696,0.27908503,0.82947408,0.19105653,0.21018093,0.2302428,0.15927627,0.06965407,10667.0,0.2079175,1.799815,2.4838636,0.15968718
