Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0329617,0.10060463,0.19089757,0.39520537,0.20704902,0.26260489,0.37730087,0.29950814,0.1997912
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 79000,1.9695974,0.07589641,0.18549821,0.34450636,0.19454278,0.27589302,0.39220203,0.28813875,0.21291984
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,79000 to 130000,2.1133873,0.14134623,0.23748436,0.47144883,0.21252815,0.28569522,0.34753524,0.25928768,0.15806156
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 130000,2.0150006,0.08424939,0.14975637,0.36897773,0.21386639,0.22653872,0.39234338,0.35076749,0.22850111
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5418179,0.14770936,0.39903894,0.48559196,0.31275028,0.33131914,0.37583373,0.30401567,0.1855588
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 119000,2.5276778,0.13331171,0.41626362,0.49021372,0.30042075,0.32615214,0.36020998,0.29205989,0.20904605
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,119000 to 189000,2.5851227,0.17355904,0.42474248,0.55974494,0.3178539,0.33290256,0.34321272,0.26808775,0.16501931
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 189000,2.5138958,0.13643811,0.35926091,0.41166073,0.31911843,0.33451024,0.42066785,0.34863758,0.18360196
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.3071645,0.2135612,0.79136711,0.56269662,0.46624973,0.46141274,0.39812567,0.27122402,0.14252739
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 177000,3.4135664,0.22378026,0.83255377,0.69973775,0.44227645,0.40890855,0.3810302,0.25715795,0.16812142
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,177000 to 313000,3.3185008,0.2243911,0.79646543,0.56800884,0.48628128,0.45508465,0.38157162,0.26850821,0.13818965
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 313000,3.1947818,0.19301636,0.74715442,0.42725068,0.4689611,0.51760311,0.43093019,0.28729918,0.12256674
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8874139,0.11774405,0.1743542,0.52107555,0.17477698,0.17997717,0.25607745,0.25290661,0.21050184
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 101000,2.1036872,0.19874477,0.30896967,0.6436977,0.22214958,0.22136506,0.25065377,0.14997385,0.10813285
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,101000 to 151000,1.8462616,0.11527194,0.18367087,0.67048784,0.17921284,0.17411795,0.23398293,0.16252707,0.12699019
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 151000,1.7241844,0.04415011,0.0391219,0.2622026,0.12607309,0.14679912,0.28243807,0.4364729,0.38692666
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.5153603,0.18204424,0.44961923,0.59063358,0.30311351,0.22354038,0.26141014,0.30295809,0.20204113
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 132000,2.9604538,0.33149519,0.73247203,0.82936821,0.4094848,0.23160548,0.17646132,0.15692453,0.09264219
