Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.2160773,0.15486225,0.24321546,0.41760896,0.20646587,0.29075863,0.38055099,0.34035773,0.1822574,19456.0,0.14040003,1.9851193,2.4470353,0.10421931
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,125000,2.3235887,0.20806452,0.32288306,0.54899194,0.2141129,0.29627016,0.29989919,0.28074597,0.15262097,9920.0,0.20374186,1.9884333,2.6587441,0.1442404
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,125000,2.1042366,0.09951762,0.16033977,0.2809354,0.19851091,0.28502517,0.4644505,0.40236997,0.21308725,9536.0,0.16260226,1.8367559,2.3717173,0.12711532
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7233012,0.19272167,0.51032885,0.56297114,0.41163532,0.36013589,0.33771693,0.24655379,0.10123758,127749.0,0.06639001,2.6140896,2.8325127,0.04010264
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,185000,2.7823664,0.22126912,0.56169816,0.68413304,0.4078809,0.34663342,0.28419914,0.19326683,0.08328576,66566.0,0.08391033,2.6443339,2.9203989,0.04960975
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,185000,2.6590393,0.16166255,0.45443996,0.43114918,0.41572005,0.37482634,0.39594332,0.30452904,0.12076884,61183.0,0.09919206,2.4958683,2.8222102,0.06136462
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.6148173,0.28589838,1.0359559,0.58224411,0.61186027,0.56635447,0.30650543,0.16467231,0.0613264,86912.0,0.08207646,3.4798015,3.7498331,0.03735065
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,290000,3.7186412,0.31352161,1.1132969,0.68720536,0.60693043,0.52729436,0.27618187,0.1363396,0.05787108,45394.0,0.13017895,3.5044969,3.9327856,0.05758673
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,290000,3.5013006,0.25569632,0.95139458,0.46748398,0.61725035,0.60906113,0.33965991,0.19565008,0.06510429,41518.0,0.12202087,3.3005763,3.702025,0.0573285
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8056482,0.09083834,0.16244163,0.40716033,0.16121859,0.17100289,0.24694241,0.27740716,0.28863687,8994.0,0.16336156,1.5369185,2.074378,0.14882731
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,145000,1.9396606,0.15001048,0.26314687,0.58034779,0.1929604,0.19044626,0.24093861,0.1539912,0.16781898,4773.0,0.23533132,1.5525406,2.3267806,0.19958132
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,145000,1.6541104,0.02392798,0.04856669,0.21132433,0.12532575,0.14901682,0.25373134,0.41696281,0.42525468,4221.0,0.19466029,1.3338942,1.9743266,0.19358815
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.4837052,0.12467884,0.36781609,0.57336038,0.35415822,0.19810683,0.26233942,0.35131846,0.25192698,7395.0,0.24261548,2.0846027,2.8828077,0.16068834
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,169000,2.6200954,0.15800636,0.59172853,0.73462354,0.4461824,0.2033404,0.17497349,0.16648993,0.1447508,3772.0,0.33682559,2.0660173,3.1741735,0.21147249
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,169000,2.3417058,0.08998068,0.134695,0.40546508,0.25834943,0.19265802,0.35329837,0.54374827,0.3635109,3623.0,0.33852366,1.7848343,2.8985772,0.23780589
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.2865212,0.02567394,0.00821566,0.5381258,0.18973042,0.13170732,0.19460847,0.11810013,0.08035944,3895.0,0.16963413,1.007473,1.5655693,0.21690132
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,77000,1.2256656,0.04364906,0.00567438,0.52509821,0.18725447,0.09209952,0.18070711,0.14753383,0.04364906,2291.0,0.24591961,0.82112789,1.6302034,0.33005556
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,77000,1.3734414,0.0,0.01184539,0.55673317,0.19326683,0.1882793,0.21446384,0.07605985,0.13279302,1604.0,0.27581023,0.91973357,1.8271492,0.33034378
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.0411915,0.17489496,0.28353842,0.76335534,0.24294718,0.18014706,0.15291116,0.14623349,0.09716387,13328.0,0.19700583,1.7171169,2.3652661,0.15876737
"2-4 Units  (Own/Rent), 2 BR",    Below Median,91000,2.0705412,0.21976296,0.28230758,0.7603884,0.21276596,0.19234614,0.18534914,0.14179637,0.07582465,7003.0,0.29903433,1.5786297,2.5624527,0.23757628
"2-4 Units  (Own/Rent), 2 BR",    Above Median,91000,2.0086957,0.12521739,0.28490119,0.76664032,0.27636364,0.16664032,0.11699605,0.15114625,0.12079051,6325.0,0.25726137,1.5855007,2.4318906,0.21068147
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8553259,0.23801953,0.81171928,0.69588917,0.33250057,0.38133091,0.16034522,0.13990461,0.09561663,4403.0,0.42587666,2.1547588,3.555893,0.24535452
"2-4 Units (Own/Rent), 3 BR",    Below Median,118000,3.0182421,0.24668325,0.76575456,0.84038143,0.34162521,0.54104478,0.16791045,0.11484245,0.0,2412.0,0.65814632,1.9355914,4.1008928,0.3587024
"2-4 Units (Own/Rent), 3 BR",    Above Median,118000,2.6579608,0.22752386,0.86740331,0.5208438,0.32144651,0.1878453,0.15118031,0.1702662,0.21145153,1991.0,0.56960065,1.7209678,3.5949539,0.35252328
"5-49 Units (Own), 0-1 BR",All Values,,1.1626794,0.0,0.0,0.26794258,0.0,0.11483254,0.12440191,0.59330144,0.06220096,209.0,0.51268929,0.31930554,2.0060533,0.72537095
"5-49 Units (Own), 0-1 BR",    Below Median,200000,1.2123288,0.0,0.0,0.24657534,0.0,0.05479452,0.17808219,0.73287671,0.0,146.0,0.7130844,0.03930493,2.3853526,0.96757898
"5-49 Units (Own), 0-1 BR",    Above Median,200000,1.047619,0.0,0.0,0.31746032,0.0,0.25396825,0.0,0.26984127,0.20634921,63.0,0.5704411,0.10924343,1.9859947,0.89572218
"5-49 Units (Own), 2 BR",All Values,,1.5450387,0.02638987,0.12280084,0.32547502,0.16396904,0.15657987,0.22765658,0.25369458,0.26847291,2842.0,0.22394161,1.1766548,1.9134226,0.23843024
"5-49 Units (Own), 2 BR",    Below Median,140000,1.5346106,0.04635352,0.15636588,0.29913473,0.21817058,0.13226205,0.18850433,0.20457355,0.28924598,1618.0,0.32410885,1.0014516,2.0677697,0.34742302
"5-49 Units (Own), 2 BR",    Above Median,140000,1.5588235,0.0,0.07843137,0.36029412,0.09232026,0.18872549,0.27941176,0.31862745,0.24101307,1224.0,0.35537404,0.97423324,2.1434138,0.37502018
"5-49 Units (Own), 3 BR",All Values,,2.1958763,0.0532646,0.22508591,0.05841924,0.46735395,0.24742268,0.64948454,0.33848797,0.15635739,582.0,0.87869279,0.75042665,3.6413259,0.65825641
"5-49 Units (Own), 3 BR",    Below Median,190000,2.1532091,0.0,0.27122153,0.02277433,0.563147,0.24430642,0.69565217,0.31469979,0.04140787,483.0,1.0067045,0.49718022,3.809238,0.76909803
"5-49 Units (Own), 3 BR",    Above Median,190000,2.4040404,0.31313131,0.0,0.23232323,0.0,0.26262626,0.42424242,0.45454545,0.71717172,99.0,1.5640138,-0.16876235,4.9768432,1.0701995
"5-49 Units (Rent), 0-1 BR",All Values,,1.2827612,0.01291045,0.02522388,0.69686567,0.12462687,0.10783582,0.14708955,0.08880597,0.07940299,13400.0,0.10282375,1.1136161,1.4519063,0.13186013
"5-49 Units (Rent), 0-1 BR",    Below Median,85000,1.2557252,0.01088493,0.03378569,0.5648855,0.10644614,0.12807464,0.18956743,0.12765055,0.09443031,7074.0,0.15393073,1.0025091,1.5089412,0.20164926
"5-49 Units (Rent), 0-1 BR",    Above Median,85000,1.312994,0.01517547,0.0156497,0.84445147,0.14495732,0.08520392,0.099589,0.04536832,0.0625988,6326.0,0.14462804,1.0750809,1.5509071,0.18119894
"5-49 Units (Rent), 2 BR",All Values,,2.1550679,0.22571951,0.25618443,0.99812301,0.21094427,0.17547406,0.140437,0.10087593,0.04730965,20778.0,0.16722173,1.8799881,2.4301476,0.12764319
"5-49 Units (Rent), 2 BR",    Below Median,106000,2.1492607,0.24068875,0.2528542,0.97342317,0.20194647,0.1555306,0.14570466,0.11239004,0.06672281,10686.0,0.20854347,1.8062067,2.4923147,0.15961488
"5-49 Units (Rent), 2 BR",    Above Median,106000,2.1612168,0.2098692,0.25971066,1.0242767,0.22047166,0.19659136,0.13485929,0.08868411,0.02675386,10092.0,0.22015784,1.7990572,2.5233765,0.16757211
"5-49 Units (Rent), 3 BR",All Values,,2.7746776,0.24618992,0.67713951,1.2494725,0.28323564,0.13669402,0.13669402,0.03423212,0.01101993,4265.0,0.38169627,2.1467872,3.402568,0.22629309
"5-49 Units (Rent), 3 BR",    Below Median,117000,2.5356674,0.15798687,0.48577681,1.4490153,0.13741794,0.14179431,0.10328228,0.04945295,0.01094092,2285.0,0.4991615,1.7145467,3.3567881,0.32382822
"5-49 Units (Rent), 3 BR",    Above Median,117000,3.0505051,0.3479798,0.8979798,1.0191919,0.45151515,0.13080808,0.17525253,0.01666667,0.01111111,1980.0,0.57578142,2.1033446,3.9976655,0.31049299
"50+ Units (Own), 0-1 BR",All Values,,0.99516908,0.0,0.0,0.63285024,0.05797101,0.17874396,0.06280193,0.0,0.06280193,207.0,0.65717155,-0.08587812,2.0762163,1.086295
"50+ Units (Own), 0-1 BR",    Below Median,180000,0.99516908,0.0,0.0,0.63285024,0.05797101,0.17874396,0.06280193,0.0,0.06280193,207.0,0.65717155,-0.08587812,2.0762163,1.086295
"50+ Units (Own), 2 BR",All Values,,1.7285714,0.06785714,0.0,0.30714286,0.23571429,0.08214286,0.34642857,0.25,0.43928571,280.0,0.58985889,0.75825355,2.6988893,0.56134092
"50+ Units (Own), 2 BR",    Below Median,394000,1.7486631,0.10160428,0.0,0.36898396,0.24064171,0.09090909,0.47058824,0.1657754,0.31016043,187.0,0.75055213,0.51400485,2.9833214,0.70605839
"50+ Units (Own), 2 BR",    Above Median,394000,1.688172,0.0,0.0,0.1827957,0.22580645,0.06451613,0.09677419,0.41935484,0.69892473,93.0,1.112074,-0.14118974,3.5175338,1.0836347
"50+ Units (Rent), 0-1 BR",All Values,,1.0767116,0.0,0.0,0.47651174,0.08270865,0.0932034,0.04997501,0.04197901,0.33233383,4002.0,0.17372697,0.79093077,1.3624925,0.26542006
"50+ Units (Rent), 0-1 BR",    Below Median,120000,1.0711354,0.0,0.0,0.53032376,0.06019152,0.03830369,0.06566347,0.07660739,0.3000456,2193.0,0.23236642,0.68889268,1.4533782,0.35685754
"50+ Units (Rent), 0-1 BR",    Above Median,120000,1.0834715,0.0,0.0,0.41127695,0.11000553,0.15975677,0.03095633,0.0,0.37147595,1809.0,0.27706294,0.62770299,1.5392401,0.42065576
"50+ Units (Rent), 2 BR",All Values,,1.7154499,0.04244482,0.02920204,0.96842105,0.12631579,0.18404075,0.08013582,0.07674024,0.20814941,2945.0,0.27885479,1.2567338,2.174166,0.26740281
"50+ Units (Rent), 2 BR",    Below Median,138000,1.567339,0.06701366,0.03513338,0.70331815,0.13402733,0.17111256,0.08783344,0.10540013,0.26350033,1537.0,0.33099352,1.0228546,2.1118233,0.34739412
"50+ Units (Rent), 2 BR",    Above Median,138000,1.8771307,0.015625,0.02272727,1.2578125,0.11789773,0.19815341,0.07173295,0.04545455,0.14772727,1408.0,0.48486992,1.0795197,2.6747417,0.42490969
"50+ Units (Rent), 3 BR",All Values,,3.302439,0.20487805,0.52195122,1.8292683,0.30243902,0.3804878,0.06341463,0.0,0.0,205.0,1.8949514,0.18524397,6.4196341,0.94390692
"50+ Units (Rent), 3 BR",    Below Median,154000,3.302439,0.20487805,0.52195122,1.8292683,0.30243902,0.3804878,0.06341463,0.0,0.0,205.0,1.8949514,0.18524397,6.4196341,0.94390692
All Housing Types (Own) 0-1 BR,All Values,,1.5412748,0.02089864,0.12251829,0.31583072,0.09195402,0.28187043,0.36572623,0.26593521,0.07654127,3828.0,0.20393718,1.2057982,1.8767515,0.2176618
All Housing Types (Own) 0-1 BR,    Below Median,100000,1.2719341,0.00436258,0.01357247,0.24042656,0.04507998,0.25690742,0.38923897,0.27629666,0.04604944,2063.0,0.21212177,0.92299377,1.6208744,0.27433836
All Housing Types (Own) 0-1 BR,    Above Median,100000,1.8560907,0.04022663,0.24985836,0.40396601,0.14674221,0.31104816,0.33824363,0.25382436,0.1121813,1765.0,0.38319855,1.225729,2.4864523,0.3396179
All Housing Types (Own) 2 BR,All Values,,1.9303642,0.06182911,0.14832741,0.27046333,0.19001522,0.2507514,0.37292634,0.36949139,0.26655998,25619.0,0.09654855,1.7715418,2.0891866,0.08227586
All Housing Types (Own) 2 BR,    Below Median,150000,1.9295785,0.06355651,0.17738245,0.31387023,0.23215472,0.27939765,0.34221599,0.29962353,0.22137743,13547.0,0.13549926,1.7066822,2.1524748,0.11551553
All Housing Types (Own) 2 BR,    Above Median,150000,1.9312459,0.05989066,0.11572233,0.22175282,0.14272697,0.21860504,0.407389,0.44789596,0.31726309,12072.0,0.13428253,1.7103511,2.1521406,0.11437941
All Housing Types (Own) 3 BR,All Values,,2.6331998,0.17112369,0.45938407,0.50624361,0.39327474,0.35886188,0.35074518,0.27369735,0.11986929,123326.0,0.06606663,2.5245202,2.7418794,0.04127283
All Housing Types (Own) 3 BR,    Below Median,200000,2.6446715,0.18411597,0.4851595,0.60925735,0.38955541,0.35876527,0.29868466,0.22462274,0.09451058,64014.0,0.07580566,2.5199712,2.7693718,0.04715153
All Housing Types (Own) 3 BR,    Above Median,200000,2.6208187,0.15710143,0.43156528,0.39506339,0.39728891,0.35896615,0.40693283,0.3266624,0.14723833,59312.0,0.09368786,2.4667022,2.7749353,0.05880473
All Housing Types (Own) 4-5 BR,All Values,,3.5803373,0.27390006,1.0137575,0.55264379,0.6111845,0.57414879,0.31462506,0.17237317,0.06770443,84027.0,0.08339016,3.4431605,3.7175141,0.03831393
All Housing Types (Own) 4-5 BR,    Below Median,300000,3.6850353,0.29582197,1.0879574,0.64009831,0.61114744,0.54722554,0.29449167,0.14385245,0.06444049,44351.0,0.13103595,3.4694811,3.9005894,0.05849446
All Housing Types (Own) 4-5 BR,    Above Median,300000,3.4633028,0.2493951,0.9308146,0.45488456,0.61122593,0.60424438,0.33713076,0.20425446,0.07135296,39676.0,0.12780355,3.2530659,3.6735396,0.06070415
All Housing Types (Rent) 0-1 BR,All Values,,1.2544817,0.01532102,0.02048794,0.63328391,0.13002651,0.10935885,0.13766455,0.08496203,0.12337692,22257.0,0.07568782,1.1299753,1.3789882,0.09924932
All Housing Types (Rent) 0-1 BR,    Below Median,88000,1.2478361,0.02163929,0.02985338,0.53153153,0.12612613,0.11340753,0.18494966,0.13010069,0.11022787,11322.0,0.10539359,1.0744636,1.4212085,0.13893848
All Housing Types (Rent) 0-1 BR,    Above Median,88000,1.2613626,0.00877915,0.01079104,0.7386374,0.13406493,0.1051669,0.08870599,0.03822588,0.13699131,10935.0,0.10730338,1.0848485,1.4378767,0.13993919
All Housing Types (Rent) 2 BR,All Values,,2.1349642,0.22058413,0.27741605,0.9216352,0.21216631,0.18202958,0.13968468,0.10959446,0.07185378,43004.0,0.11473856,1.9462193,2.3237091,0.0884066
All Housing Types (Rent) 2 BR,    Below Median,99000,2.1001893,0.23648368,0.29045662,0.82986287,0.19963987,0.17359989,0.1536082,0.13320098,0.08333718,21659.0,0.15624525,1.8431659,2.3572127,0.12238108
All Housing Types (Rent) 2 BR,    Above Median,99000,2.1702506,0.20445069,0.26418365,1.0147576,0.22487702,0.19058327,0.12555634,0.08564067,0.06020145,21345.0,0.14813968,1.9265609,2.4139404,0.11228647
All Housing Types (Rent) 3 BR,All Values,,3.1911343,0.3106755,0.84426268,1.058995,0.45644714,0.26789827,0.16485686,0.06111033,0.02688854,21273.0,0.21503376,2.8374038,3.5448648,0.1108479
All Housing Types (Rent) 3 BR,    Below Median,118000,3.0387157,0.27743136,0.79181014,1.0705444,0.36751978,0.27947883,0.15653792,0.06254072,0.03285249,10745.0,0.28552598,2.5690254,3.5084059,0.15456867
All Housing Types (Rent) 3 BR,    Above Median,118000,3.3466945,0.34460486,0.89779635,1.0472074,0.54720745,0.25607903,0.17334726,0.05965046,0.02080167,10528.0,0.31039052,2.8361021,3.8572869,0.15256618
All Housing Types (Rent) 4-5 BR,All Values,,4.2416016,0.46464844,1.2671875,1.5046875,0.49296875,0.31660156,0.13535156,0.05664063,0.00351563,5120.0,0.52412325,3.3794188,5.1037843,0.20326821
All Housing Types (Rent) 4-5 BR,    Below Median,171000,3.8847471,0.45758844,1.0517307,1.5872955,0.33777102,0.22556105,0.16127805,0.05667554,0.00684671,2629.0,0.6408912,2.830481,4.9390131,0.27138602
All Housing Types (Rent) 4-5 BR,    Above Median,171000,4.6182256,0.47209956,1.4945805,1.417503,0.65676435,0.41268567,0.10798876,0.05660377,0.0,2491.0,0.83947814,3.2372841,5.9991672,0.29901994
