Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.2777935,0.13438511,0.31150332,0.50087963,0.23562794,0.26150616,0.31944839,0.30463651,0.20980648,17621.0,0.16397052,2.008062,2.547525,0.11841789
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,143000,2.1804429,0.17375576,0.27987283,0.57388731,0.21650954,0.23964043,0.25016444,0.22221004,0.22440254,9122.0,0.21726337,1.8230446,2.5378411,0.16391085
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,143000,2.3822803,0.09212849,0.34545241,0.4225203,0.25614778,0.2849747,0.39381104,0.39310507,0.19414049,8499.0,0.2381862,1.990464,2.7740966,0.16447111
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7358931,0.21333495,0.5197018,0.60633542,0.43850955,0.34933375,0.30330339,0.20690098,0.09847327,140038.0,0.0714422,2.6183707,2.8534155,0.04295578
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,214000,2.7662338,0.22763348,0.56177156,0.71489621,0.44307082,0.31567044,0.250333,0.17249417,0.08036408,72072.0,0.10504777,2.5934302,2.9390373,0.0624689
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,214000,2.7037195,0.19817262,0.47509049,0.4912162,0.43367272,0.38503075,0.35947385,0.2433864,0.11767649,67966.0,0.10320063,2.5339545,2.8734846,0.06278944
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.644194,0.26434406,1.0229031,0.66190953,0.64093292,0.51905546,0.29071282,0.1794582,0.0648779,92913.0,0.10224998,3.4759928,3.8123953,0.04615595
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,3.7546427,0.29002238,1.07306,0.78144172,0.66071132,0.47896286,0.23855911,0.17287763,0.05900763,48248.0,0.16020091,3.4911122,4.0181732,0.0701879
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,3.5248853,0.23660584,0.96872271,0.53278854,0.61956789,0.56236427,0.34705026,0.18656666,0.07121908,44665.0,0.16234849,3.257822,3.7919485,0.0757651
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9376225,0.13945134,0.18125408,0.72175049,0.25506205,0.18811234,0.10483344,0.20607446,0.14108426,3062.0,0.32343945,1.4055646,2.4696804,0.27459317
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,138000,1.9323181,0.15510434,0.21601805,0.80992668,0.2605753,0.17766497,0.07388607,0.09701072,0.14213198,1773.0,0.39789043,1.2777884,2.5868479,0.33872774
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,138000,1.9449185,0.11792087,0.13343677,0.60046548,0.24747867,0.20248254,0.14740109,0.35608999,0.13964313,1289.0,0.49016001,1.1386053,2.7512318,0.41457429
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6898945,0.27623542,0.62715158,0.63575791,0.39478068,0.1946141,0.20238756,0.21127152,0.14769572,3602.0,0.3344765,2.1396807,3.2401083,0.20454848
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,175000,3.0683297,0.44793926,0.76355748,0.86117137,0.3345987,0.22505423,0.14316703,0.1664859,0.12635575,1844.0,0.49058869,2.2613113,3.8753481,0.26301554
