Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9521171,0.06223638,0.12762046,0.30129811,0.1878549,0.25570679,0.40147061,0.38968561,0.22624429
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 138000,1.9130065,0.07083204,0.15457779,0.32481441,0.20472471,0.26534952,0.34708475,0.36660996,0.1790133
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,138000 to 228000,2.002845,0.07339972,0.13830522,0.34468604,0.19126194,0.27096119,0.41377769,0.36106482,0.20938834
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 228000,1.9439456,0.04507149,0.09446018,0.2434206,0.16989017,0.23413,0.43959384,0.43462043,0.28275886
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5102313,0.13203299,0.36414834,0.40838931,0.31576245,0.35966648,0.41961,0.34103307,0.16958861
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 170000,2.4669924,0.13116833,0.39996281,0.42998664,0.31832705,0.3328149,0.39034369,0.28796511,0.17642385
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,170000 to 281000,2.5600441,0.1216444,0.36981261,0.46038127,0.32768123,0.39069187,0.42413435,0.32795681,0.13774154
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 281000,2.502442,0.14249641,0.32683148,0.34057609,0.30235125,0.35474408,0.44156649,0.40069555,0.19318062
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.0526601,0.16468355,0.67621888,0.48605673,0.39927328,0.44807202,0.42537014,0.29648029,0.15650523
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 200000,3.0249064,0.173782,0.68618554,0.53678005,0.39906601,0.39870169,0.39379989,0.25499288,0.18159838
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,200000 to 350000,3.1351726,0.17913393,0.69358579,0.55329018,0.42538683,0.44902904,0.42884835,0.27816816,0.12773028
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 350000,3.0059795,0.14378039,0.65197959,0.3811494,0.37667985,0.4922538,0.45112192,0.35028539,0.1587292
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7952658,0.05758583,0.11738649,0.35049834,0.16625138,0.1744186,0.24723145,0.37596899,0.3059247
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 163000,2.1205986,0.09507042,0.23899648,0.49867958,0.31073944,0.24207746,0.34859155,0.28565141,0.10079225
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,163000 to 266000,1.6198243,0.0476788,0.06733584,0.52363028,0.07988289,0.1777499,0.1145964,0.34922627,0.25972396
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 266000,1.6704412,0.03358063,0.05622804,0.05739945,0.11870363,0.11128465,0.28114018,0.48106209,0.53104256
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.351686,0.08020575,0.39226519,0.4061726,0.22404267,0.33358735,0.27891027,0.40064774,0.23585445
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 191000,2.6413302,0.14133017,0.70190024,0.51187648,0.27137767,0.38954869,0.21912114,0.31472684,0.09144893
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,191000 to 314000,2.2560976,0.10162602,0.34620596,0.57317073,0.25271003,0.22899729,0.19850949,0.25338753,0.30149051
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 314000,2.1857348,0.01579703,0.17520345,0.20296793,0.16562949,0.36237434,0.38391575,0.57395883,0.30588798
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3038753,0.02783226,0.03854106,0.49456608,0.11896305,0.15320999,0.19800668,0.13799502,0.13476117
