Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9937333,0.07483973,0.1443492,0.29662177,0.19592307,0.24548008,0.43535259,0.39054959,0.2106173,13883.0,0.14676194,1.7523099,2.2351567,0.12109112
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,2.0062138,0.07608395,0.18061309,0.33706159,0.21471969,0.28293289,0.42667771,0.3369235,0.15120133,7242.0,0.22039739,1.64366,2.3687675,0.18071539
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,1.9801235,0.07348291,0.10480349,0.25252221,0.17542539,0.20463786,0.44481253,0.44902876,0.27541033,6641.0,0.1634158,1.7113045,2.2489425,0.1357587
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7689612,0.17943044,0.5199294,0.47343186,0.45161885,0.44584947,0.3614953,0.24961142,0.08759451,37959.0,0.12158195,2.5689589,2.9689636,0.07223009
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,275000,2.8172497,0.17229594,0.5864998,0.49803981,0.486731,0.48276035,0.3134801,0.20360877,0.07383394,19896.0,0.1574549,2.5582364,3.076263,0.09193836
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,275000,2.7157726,0.18728893,0.44660355,0.44632675,0.41294359,0.40519294,0.41438299,0.30028235,0.10275148,18063.0,0.19200477,2.3999247,3.0316204,0.11630129
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.5695577,0.22728317,1.0929925,0.54003446,0.60821367,0.51143021,0.33859851,0.14767375,0.10333142,17410.0,0.23002177,3.1911719,3.9479435,0.10600355
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,3.6758575,0.26502702,1.0948495,0.66890923,0.59005184,0.52619389,0.29546708,0.12639241,0.10896658,9067.0,0.29753363,3.1864147,4.1653003,0.13315065
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,3.4540333,0.18626393,1.0909745,0.39997603,0.62795158,0.49538535,0.38547285,0.17080187,0.09720724,8343.0,0.39593729,2.8027165,4.1053502,0.18856704
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.6928839,0.08293205,0.05831996,0.19315142,0.13697164,0.09951846,0.1717496,0.55109684,0.39914393,1869.0,0.33132485,1.1478545,2.2379133,0.32195319
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,250000,1.7427773,0.09972041,0.10158434,0.3000932,0.11369991,0.11835974,0.17614166,0.60018639,0.23299161,1073.0,0.55468994,0.83031231,2.6552422,0.52356946
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,250000,1.6256281,0.06030151,0.0,0.04899497,0.16834171,0.0741206,0.16582915,0.48492462,0.62311558,796.0,0.40314887,0.96244825,2.288808,0.40795301
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.3165997,0.04953146,0.39089692,0.35341365,0.1352075,0.35542169,0.3206158,0.49196787,0.21954485,1494.0,0.53512773,1.4363146,3.1968848,0.37999017
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,300000,2.4588796,0.0738975,0.52324195,0.42789035,0.21096544,0.3170441,0.18116806,0.42669845,0.29797378,839.0,0.70600173,1.2975068,3.6202525,0.4723179
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,300000,2.1343511,0.01832061,0.22137405,0.25801527,0.03816794,0.40458015,0.49923664,0.57557252,0.11908397,655.0,0.70536675,0.97402283,3.2946795,0.54364452
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.2795699,0.01971326,0.0,0.40412186,0.16218638,0.10573477,0.15143369,0.05645161,0.37992832,1116.0,0.49569993,0.46414351,2.0949963,0.637266
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,92000,1.322807,0.02573099,0.0,0.34736842,0.14502924,0.1380117,0.15555556,0.04444444,0.46666667,855.0,0.62072375,0.30171644,2.3438976,0.77191197
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,92000,1.137931,0.0,0.0,0.59003831,0.2183908,0.0,0.13793103,0.09578544,0.09578544,261.0,0.69229409,-0.00089275,2.2767548,1.0007845
