Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0021668,0.07340115,0.16970564,0.33589019,0.20098374,0.27447157,0.3953695,0.33012643,0.22221861
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 166000,1.9381477,0.09340352,0.17552229,0.38601744,0.20532982,0.25935187,0.36186873,0.27550584,0.18114822
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,166000 to 291000,2.0023354,0.08187807,0.15549514,0.36428596,0.20833769,0.27149779,0.3929032,0.32374778,0.20418976
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 291000,2.0606015,0.04777674,0.17665653,0.26549658,0.19065539,0.29087515,0.42815426,0.3856158,0.27537104
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5582259,0.13249897,0.35359555,0.45828788,0.29649614,0.35798266,0.43373432,0.32238032,0.20325005
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 245000,2.5316702,0.13167017,0.37062419,0.524737,0.31211969,0.32834385,0.38211936,0.29119327,0.19086264
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,245000 to 371000,2.5762009,0.13738205,0.35126208,0.48568618,0.2949587,0.3506871,0.44283734,0.31231034,0.20107713
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 371000,2.5656424,0.12841326,0.33965732,0.36743563,0.2831052,0.39358668,0.47395425,0.36223477,0.21725535
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2773181,0.18750456,0.66488772,0.56013236,0.42600115,0.50125456,0.48119993,0.2960435,0.16029432
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 366000,3.3372495,0.20308961,0.66780425,0.67736301,0.44641761,0.44758036,0.4428035,0.27880966,0.17338145
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,366000 to 550000,3.238428,0.18287425,0.63786197,0.54969271,0.41712786,0.51304513,0.48591653,0.30154539,0.15036421
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 550000,3.2561808,0.17715161,0.68611936,0.4606558,0.4149254,0.54059063,0.51263235,0.30715366,0.15695199
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0805897,0.14356226,0.24931929,0.56388922,0.31116366,0.25082716,0.25391884,0.18707354,0.12083573
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 147000,2.0940756,0.16079035,0.29674291,0.50773314,0.28393079,0.24100531,0.30054394,0.18585753,0.11747166
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,147000 to 231000,2.2229634,0.18409291,0.27050179,0.69018758,0.34448432,0.25025394,0.22844857,0.16624907,0.08874518
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 231000,1.9369145,0.08994429,0.18480595,0.50113597,0.30640192,0.26068283,0.23304597,0.20736983,0.15352775
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6927409,0.19863445,0.48360092,0.6224146,0.42333108,0.35121182,0.3224323,0.19161001,0.0995057
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 191000,2.7879793,0.17468614,0.55127784,0.65284788,0.36775086,0.32608544,0.36109037,0.21764583,0.13659488
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,191000 to 297000,2.7749375,0.22321304,0.51514546,0.70111966,0.45439368,0.35183445,0.29479156,0.16842947,0.0660102
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 297000,2.5226901,0.19812628,0.38845179,0.51792935,0.44699584,0.37474308,0.31174418,0.18877683,0.09592276
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4011435,0.03562487,0.07713648,0.45216185,0.22234251,0.19219839,0.23384532,0.13021855,0.05761554
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 92000,1.1941351,0.01246552,0.02207009,0.19893737,0.17410851,0.19045673,0.31552059,0.16685399,0.11372228
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,92000 to 129000,1.3952745,0.04859678,0.0680974,0.5718118,0.14754437,0.19366488,0.2052208,0.13444078,0.02589765
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 129000,1.6077984,0.04563945,0.13929953,0.58299434,0.34110527,0.19247941,0.18206171,0.09058438,0.03363429
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.3001236,0.20118428,0.40182242,0.62031102,0.34798356,0.24746328,0.24743453,0.15858461,0.07533991
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 116000,2.0888227,0.16284163,0.37885424,0.52198669,0.2788192,0.22494744,0.27706727,0.16608269,0.07822355
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,116000 to 169000,2.3343371,0.19452809,0.40600533,0.64415383,0.37761335,0.25423729,0.25002151,0.15701626,0.05076142
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 169000,2.4715745,0.24502128,0.42,0.69225532,0.38587234,0.2626383,0.21608511,0.15285106,0.09685106
"2-4 Units (Own/Rent), 3 BR",All Values,,3.1209751,0.25237909,0.7134663,0.79950463,0.42497719,0.33189936,0.27584409,0.22761048,0.09529396
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 128000,2.9512906,0.26311407,0.82930891,0.81140716,0.30557868,0.25187344,0.22855953,0.19608659,0.0653622
"2-4 Units (Own/Rent), 3 BR",Second Tercile,128000 to 209000,3.2772549,0.32823529,0.7172549,0.83019608,0.61803922,0.30352941,0.27843137,0.12196078,0.07960784
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 209000,3.1243104,0.17175432,0.60757631,0.76020596,0.34939316,0.42920191,0.31518941,0.35454211,0.13644722
"5-49 Units (Own), 0-1 BR",All Values,,1.3098714,0.01503107,0.02471455,0.19453678,0.15132245,0.22141928,0.2845787,0.20667727,0.21159127
"5-49 Units (Own), 0-1 BR",First Tercile,Below 120000,1.2217899,0.0,0.00194553,0.22568093,0.12597276,0.1692607,0.31955253,0.21449416,0.16488327
"5-49 Units (Own), 0-1 BR",Second Tercile,120000 to 201000,1.3025316,0.01097046,0.03248945,0.17637131,0.16075949,0.26160338,0.26371308,0.19535865,0.20126582
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 201000,1.3894906,0.03128761,0.03610108,0.18612114,0.16325712,0.22623345,0.2755716,0.21099077,0.2599278
"5-49 Units (Own), 2 BR",All Values,,1.5513484,0.04525667,0.05815195,0.22830938,0.19244353,0.16342231,0.2333744,0.3244627,0.30592745
"5-49 Units (Own), 2 BR",First Tercile,Below 177000,1.4886693,0.04165957,0.06457659,0.26887034,0.16834214,0.19424093,0.21204635,0.2681036,0.27082978
"5-49 Units (Own), 2 BR",Second Tercile,177000 to 260000,1.5178277,0.04448663,0.05439089,0.21797623,0.23506108,0.17778145,0.24009574,0.29168042,0.25635523
"5-49 Units (Own), 2 BR",Third Tercile ,Above 260000,1.6414648,0.04932523,0.0557967,0.20061558,0.17401941,0.12114277,0.24670507,0.40801831,0.38584169
"5-49 Units (Own), 3 BR",All Values,,2.1965071,0.13393642,0.19499937,0.47543661,0.29287599,0.20404573,0.31511496,0.33710265,0.24299535
"5-49 Units (Own), 3 BR",First Tercile,Below 199000,2.6132859,0.25108739,0.26809015,0.62317121,0.42309213,0.28904705,0.30802689,0.30723606,0.14353499
"5-49 Units (Own), 3 BR",Second Tercile,199000 to 318000,2.0927637,0.06928406,0.20323326,0.52463433,0.29946112,0.19168591,0.29561201,0.26212471,0.24672825
"5-49 Units (Own), 3 BR",Third Tercile ,Above 318000,1.9194915,0.08862994,0.12217514,0.29837571,0.17055085,0.1394774,0.33933616,0.4325565,0.32838983
"5-49 Units (Rent), 0-1 BR",All Values,,1.4473946,0.05625964,0.08707196,0.54676594,0.19936313,0.16259272,0.18899807,0.12118724,0.08515589
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 120000,1.2300716,0.02820769,0.05103456,0.29774782,0.15493427,0.14780607,0.22593887,0.17387807,0.15052421
"5-49 Units (Rent), 0-1 BR",Second Tercile,120000 to 155000,1.5205202,0.08125941,0.09223819,0.60892539,0.22436687,0.17418207,0.1845859,0.11334702,0.04161533
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 155000,1.586899,0.0589141,0.11707185,0.72795786,0.21796326,0.16555916,0.15737439,0.0776067,0.06445165
"5-49 Units (Rent), 2 BR",All Values,,2.5532551,0.24481354,0.46960793,0.82627015,0.38441651,0.26052839,0.20606793,0.10525948,0.05629118
