Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9360241,0.06523195,0.12753308,0.20658181,0.21587674,0.19259755,0.36392564,0.47889801,0.28537933
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,351000,1.9388265,0.07724719,0.17181648,0.28433208,0.2150437,0.22034956,0.36766542,0.33895131,0.26342072
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,351000,1.9327792,0.05131912,0.07625587,0.11655222,0.21684134,0.16046259,0.35959523,0.64094687,0.31080593
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.9284134,0.19402005,0.60181473,0.44602489,0.46859661,0.48857587,0.38784998,0.2393709,0.10216039
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,445000,2.9597112,0.20850255,0.61532263,0.51273126,0.48188616,0.50541481,0.35653968,0.18033262,0.0989815
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,445000,2.8922263,0.1772751,0.58619662,0.36889767,0.45323098,0.46910636,0.42405158,0.30763211,0.10583588
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.5909364,0.2416066,0.97965325,0.45722926,0.57728387,0.71527768,0.39935994,0.15205743,0.06846842
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,650000,3.5597428,0.22795687,0.94149703,0.53212041,0.60613575,0.63741999,0.40522461,0.14915518,0.06023297
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,650000,3.6232916,0.25576457,1.0192302,0.3795496,0.54735772,0.79603433,0.39327691,0.15506774,0.0770105
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9726286,0.10127937,0.13542994,0.34599113,0.21275294,0.19975534,0.30868036,0.36852031,0.30021918
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,350000,1.9632182,0.11490683,0.15634705,0.42876553,0.24126553,0.1865295,0.29105202,0.29939829,0.24495342
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,350000,1.9830381,0.08620505,0.112292,0.25442834,0.1812131,0.2143854,0.32818035,351000.0,0.36135266
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.8379885,0.19856697,0.5120414,0.55231208,0.48968354,0.43893054,0.26869236,,0.12273602
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,393000,3.036455,0.199021,0.64524024,0.71132294,0.55931985,0.44609043,0.2237537,,0.08476105
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,393000,2.627223,0.19808482,0.37058824,0.38344733,0.41573187,0.43132695,0.31641587,445000.0,0.1630643
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.45364,0.07588333,0.10362817,0.42613232,0.24662082,0.16196348,0.14702395,,0.15911786
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,152000,1.5205105,0.10164084,0.12944394,0.36189608,0.11987238,0.23564266,0.16818596,,0.24794895
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,152000,1.3811172,0.04794859,0.07563025,0.49579832,0.38408304,0.08205635,0.12407316,650000.0,0.06277805
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.132322,0.14082778,0.19072255,0.74912311,0.29086286,0.23860049,0.15529639,,0.13004209
"2-4 Units  (Own/Rent), 2 BR",    Below Median,226000,2.1862543,0.14604811,0.24158076,0.85412371,0.23453608,0.29329897,0.1652921,,0.06718213
"2-4 Units  (Own/Rent), 2 BR",    Above Median,226000,2.0761103,0.13538682,0.1377149,0.63968481,0.3495702,0.18159026,0.14487822,350000.0,0.19555874
"2-4 Units (Own/Rent), 3 BR",All Values,,3.2634921,0.32328042,0.6218254,0.98373016,0.61137566,0.2957672,0.22222222,,0.08320106
"2-4 Units (Own/Rent), 3 BR",    Below Median,259000,3.5933577,0.32871339,0.88702929,1.0781904,0.67547071,0.30125523,0.18906904,,0.03373431
"2-4 Units (Own/Rent), 3 BR",    Above Median,259000,2.9258565,0.31771949,0.35037473,0.88704497,0.54577088,0.29014989,0.25615632,393000.0,0.13383298
"5-49 Units (Own), 0-1 BR",All Values,,1.2384533,0.0,0.0,0.24382385,0.27443609,0.1047261,0.17293233,,0.26423201
"5-49 Units (Own), 0-1 BR",    Below Median,350000,1.2022245,0.0,0.0,0.20020222,0.21435794,0.0364004,0.20121335,,0.3437816
"5-49 Units (Own), 0-1 BR",    Above Median,350000,1.279496,0.0,0.0,0.2932417,0.34249714,0.18213058,0.14089347,152000.0,0.17411226
"5-49 Units (Own), 2 BR",All Values,,1.7280411,0.06419189,0.10062821,0.32255854,0.34186179,0.17635637,0.19326099,,0.24922901
"5-49 Units (Own), 2 BR",    Below Median,420000,1.7930423,0.07533791,0.14713051,0.30578329,0.32062929,0.18723687,0.19809439,,0.25925105
"5-49 Units (Own), 2 BR",    Above Median,420000,1.6588873,0.0523338,0.05115512,0.34040547,0.36445073,0.16478076,0.18811881,226000.0,0.23856671
"5-49 Units (Own), 3 BR",All Values,,2.3025404,0.10161663,0.1778291,0.42725173,0.3756736,0.3556582,0.456505,,0.15242494
"5-49 Units (Own), 3 BR",    Below Median,580000,2.1295265,0.08913649,0.1086351,0.38857939,0.38300836,0.3718663,0.31476323,,0.16295265
"5-49 Units (Own), 3 BR",    Above Median,580000,2.5163511,0.11703959,0.26333907,0.47504303,0.36660929,0.33562823,0.63166954,259000.0,0.1394148
"5-49 Units (Rent), 0-1 BR",All Values,,1.3691084,0.03061728,0.04477366,0.52894376,0.1502332,0.17091907,0.15890261,,0.16197531
"5-49 Units (Rent), 0-1 BR",    Below Median,166000,1.2821151,0.02789792,0.05568772,0.24480969,0.13505623,0.23918685,0.19928633,,0.21150519
"5-49 Units (Rent), 0-1 BR",    Above Median,166000,1.4587279,0.03341874,0.03353013,0.82165534,0.16586833,0.1005904,0.11729977,350000.0,0.11095021
"5-49 Units (Rent), 2 BR",All Values,,2.1834946,0.17112422,0.28417616,0.8197125,0.31315503,0.16797434,0.2227822,,0.09455358
"5-49 Units (Rent), 2 BR",    Below Median,212000,2.0636527,0.14439946,0.29419703,0.71603689,0.25168691,0.144287,0.26788124,,0.11920828
"5-49 Units (Rent), 2 BR",    Above Median,212000,2.3078539,0.19885634,0.27377757,0.92729607,0.37694013,0.19255456,0.1759832,420000.0,0.06896954
