Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.986732,0.08724168,0.17414387,0.36149447,0.2223642,0.23594812,0.39054831,0.31749407,0.19749728,212089.0,0.04050477,1.9201016,2.0533623,0.03353767
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 133000,1.9267674,0.09867706,0.21178619,0.41561735,0.21397418,0.22582702,0.33037254,0.25192355,0.17858954,69013.0,0.06508671,1.8196998,2.0338351,0.05556853
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,133000 to 221000,2.0399281,0.09526778,0.19062255,0.4170992,0.23410271,0.25927161,0.39248122,0.27192855,0.17915446,68974.0,0.07033101,1.9242336,2.1556226,0.05671499
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 221000,1.9930636,0.06912094,0.12374835,0.25933173,0.21925184,0.22366468,0.44479231,0.42097379,0.23217997,74102.0,0.06785935,1.881435,2.1046923,0.05600857
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5616172,0.15719864,0.40287647,0.47980159,0.32827279,0.32478813,0.4056416,0.29944498,0.16359301,601780.0,0.0285794,2.5146041,2.6086303,0.0183529
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 188000,2.5490704,0.15621161,0.45634364,0.53513767,0.31373848,0.29827638,0.35101985,0.26835137,0.16999138,196157.0,0.04538529,2.4744116,2.6237292,0.02928864
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,188000 to 291000,2.5837823,0.16940129,0.39019678,0.52530164,0.3479858,0.32123236,0.39661442,0.27534809,0.15770196,188387.0,0.05059694,2.5005504,2.6670143,0.03221323
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 291000,2.553725,0.14750778,0.36559318,0.39037729,0.32430168,0.35181093,0.46279162,0.34841831,0.16292419,217236.0,0.05174074,2.4686115,2.6388385,0.03332916
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2399202,0.22910172,0.76429217,0.57305903,0.48451542,0.45323502,0.41043875,0.22668025,0.09859779,613675.0,0.03080613,3.1892441,3.2905962,0.01564115
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 260000,3.1927432,0.21611182,0.74052232,0.69465004,0.43382086,0.37826694,0.37860604,0.22900264,0.12176255,203478.0,0.0550416,3.1021998,3.2832866,0.02835913
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,260000 to 397000,3.2480963,0.22915201,0.74823077,0.57931031,0.49232297,0.46214253,0.41832037,0.22613603,0.09248127,193304.0,0.06207216,3.1459876,3.350205,0.03143648
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 397000,3.2768923,0.24124338,0.80090644,0.45341712,0.52511607,0.51562752,0.43327816,0.22498651,0.08231709,216893.0,0.06325596,3.1728362,3.3809483,0.03175449
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8278259,0.09358412,0.16804927,0.43270446,0.23485075,0.18318129,0.24300848,0.25076407,0.22168348,87034.0,0.06622731,1.718882,1.9367698,0.05960301
