Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1403241,0.10869808,0.20398584,0.25755262,0.25747812,0.25870739,0.40026076,0.40569939,0.24794189,26845.0,0.11499134,1.9511633,2.3294848,0.08837949
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,227000,2.1979656,0.13472756,0.23801394,0.35374876,0.28723858,0.27443449,0.35965287,0.32572201,0.22442737,14058.0,0.14979884,1.9515465,2.4443847,0.11211236
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,227000,2.0769532,0.08008133,0.16657543,0.15179479,0.22475952,0.24141706,0.44490498,0.49362634,0.2737937,12787.0,0.15785969,1.817274,2.3366323,0.12502891
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7758353,0.18677826,0.54380119,0.46518334,0.40263768,0.38084924,0.39720339,0.28312164,0.11626059,78023.0,0.0894217,2.6287366,2.922934,0.05299259
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,285000,2.8099567,0.22003715,0.58424768,0.55482353,0.41186378,0.34746749,0.3549226,0.22204334,0.11455108,40375.0,0.13817058,2.5826661,3.0372473,0.08088758
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,285000,2.7392425,0.15111028,0.50042499,0.36905015,0.39274331,0.41664896,0.44254675,0.3486241,0.11809392,37648.0,0.11954643,2.5425886,2.9358963,0.07179133
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.6249932,0.30735556,1.0670499,0.56956304,0.68567259,0.56311814,0.28191374,0.11358293,0.03673729,148024.0,0.08642314,3.4828272,3.7671593,0.0392183
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,385000,3.6581089,0.30020476,1.0967213,0.64277839,0.66652229,0.5522392,0.25045939,0.10907229,0.0401113,76188.0,0.11919791,3.4620283,3.8541894,0.05360162
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,385000,3.5898714,0.31493958,1.035581,0.49191213,0.70598307,0.57465616,0.31527368,0.11836684,0.03315886,71836.0,0.1272373,3.380566,3.7991767,0.05830442
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7858757,0.09419581,0.13631918,0.47711713,0.21702472,0.17689117,0.18775083,0.25790024,0.2386766,29651.0,0.10740943,1.6091872,1.9625642,0.09893663
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,189000,1.8193347,0.13076727,0.17894469,0.57589855,0.24859801,0.16842977,0.15332654,0.17021412,0.19315575,15692.0,0.14766624,1.5764237,2.0622457,0.13351637
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,189000,1.7482628,0.05308403,0.08840175,0.36607207,0.18153163,0.18640304,0.22644889,0.35647253,0.28984884,13959.0,0.14721675,1.5060912,1.9904343,0.13852126
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.4479531,0.1472948,0.4532675,0.52094905,0.32188164,0.30607557,0.31427004,0.24079408,0.14342042,29166.0,0.16124071,2.1827121,2.7131941,0.10835215
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,221000,2.7119629,0.20602063,0.64653258,0.67337077,0.40244221,0.32120935,0.23103043,0.12824866,0.10310827,15314.0,0.23787327,2.3206614,3.1032644,0.1442872
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,221000,2.1560785,0.08237078,0.23960439,0.35244008,0.23281837,0.2893445,0.40629512,0.36521802,0.18798729,13852.0,0.1916227,1.8408592,2.4712979,0.14620031
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3115207,0.0,0.0,0.56129032,0.22396313,0.01382488,0.06912442,0.1235023,0.31981567,1085.0,0.38406405,0.67973538,1.9433061,0.48171968
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,107000,1.4544025,0.0,0.0,0.77358491,0.15408805,0.00943396,0.06289308,0.0927673,0.36163522,636.0,0.50354461,0.62607164,2.2827334,0.56953345
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,107000,1.1091314,0.0,0.0,0.26057906,0.32293987,0.02004454,0.077951,0.16703786,0.26057906,449.0,0.6438442,0.0500077,2.1682551,0.95491274
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.9685782,0.13642315,0.22492799,0.75962294,0.25739722,0.17255826,0.0775072,0.16548835,0.17465305,3819.0,0.30776693,1.4623016,2.4748548,0.25717882
"2-4 Units  (Own/Rent), 2 BR",    Below Median,132000,2.0961727,0.22178606,0.29342493,0.81943081,0.36211973,0.15260059,0.06476938,0.07752699,0.10451423,2038.0,0.42928419,1.3900002,2.8023452,0.3368866
"2-4 Units  (Own/Rent), 2 BR",    Above Median,132000,1.8225716,0.03874228,0.14654688,0.69118473,0.13756317,0.19539585,0.0920831,0.26614262,0.25491297,1781.0,0.39589054,1.1713317,2.4738115,0.35731926
"2-4 Units (Own/Rent), 3 BR",All Values,,3.5596212,0.56177357,0.95738269,1.0697374,0.19931124,0.30650022,0.16659492,0.14507103,0.15325011,2323.0,0.91128682,2.0605544,5.058688,0.421131
"2-4 Units (Own/Rent), 3 BR",    Below Median,166000,3.8795031,0.65341615,1.2819876,1.1559006,0.25279503,0.30807453,0.01552795,0.06149068,0.15031056,1610.0,1.2634538,1.8011216,5.9578847,0.53573396
"2-4 Units (Own/Rent), 3 BR",    Above Median,166000,2.8373072,0.35483871,0.22440393,0.87517532,0.07854137,0.3029453,0.50771388,0.33380084,0.1598878,713.0,1.0748708,1.0691447,4.6054696,0.62318329
"5-49 Units (Own), 0-1 BR",All Values,,1.2724665,0.0,0.0,0.1500956,0.2418738,0.19024857,0.10707457,0.27437859,0.30879541,1046.0,0.37047814,0.66303,1.8819031,0.47894111
"5-49 Units (Own), 0-1 BR",    Below Median,190000,1.2164948,0.0,0.0,0.13573883,0.19072165,0.12371134,0.11683849,0.40721649,0.24226804,582.0,0.43309529,0.50405309,1.9289366,0.58565127
"5-49 Units (Own), 0-1 BR",    Above Median,190000,1.3426724,0.0,0.0,0.16810345,0.30603448,0.2737069,0.09482759,0.10775862,0.39224138,464.0,0.53716972,0.45902823,2.2263166,0.65812344
"5-49 Units (Own), 2 BR",All Values,,1.4765412,0.0,0.02264048,0.20621931,0.06219313,0.09656301,0.33387889,0.42362248,0.3314239,3666.0,0.23433565,1.091059,1.8620233,0.26107104
"5-49 Units (Own), 2 BR",    Below Median,225000,1.29451,0.0,0.02565418,0.18471011,0.06310929,0.08825038,0.25346331,0.35813238,0.32119035,1949.0,0.28430849,0.82682254,1.7621975,0.36128533
"5-49 Units (Own), 2 BR",    Above Median,225000,1.6831683,0.0,0.01921957,0.23063483,0.06115317,0.10599884,0.42516016,0.49796156,0.34304019,1717.0,0.44935613,0.94397748,2.4223592,0.43916632
"5-49 Units (Own), 3 BR",All Values,,2.3163842,0.0,0.25423729,0.32485876,0.16101695,0.44915254,0.18644068,0.40677966,0.53389831,354.0,0.91610465,0.80939204,3.8233763,0.65057954
"5-49 Units (Own), 3 BR",    Below Median,400000,2.2258065,0.0,0.36290323,0.13306452,0.22983871,0.57258065,0.16129032,0.16532258,0.60080645,248.0,1.1446252,0.34289802,4.1087149,0.84594437
"5-49 Units (Own), 3 BR",    Above Median,400000,2.5283019,0.0,0.0,0.77358491,0.0,0.16037736,0.24528302,0.97169811,0.37735849,106.0,1.502477,0.05672725,4.9998765,0.9775631
"5-49 Units (Rent), 0-1 BR",All Values,,1.2018391,0.00748768,0.00860427,0.4591133,0.12827586,0.05536946,0.1543514,0.10857143,0.28006568,15225.0,0.09591524,1.0440585,1.3596196,0.13128261
"5-49 Units (Rent), 0-1 BR",    Below Median,94000,1.1423677,0.01408451,0.00520239,0.45413019,0.11140718,0.05874889,0.1850019,0.09897221,0.21482045,7881.0,0.1336782,0.92246708,1.3622684,0.19249549
"5-49 Units (Rent), 0-1 BR",    Above Median,94000,1.265659,0.0004085,0.0122549,0.46446078,0.146378,0.05174292,0.12145969,0.11887255,0.3500817,7344.0,0.15780288,1.0060733,1.5252448,0.20509926
"5-49 Units (Rent), 2 BR",All Values,,2.071118,0.20347852,0.23295748,0.85319478,0.2465178,0.09698578,0.16935662,0.07119169,0.19743533,13569.0,0.19326556,1.7531961,2.3890398,0.15350253
"5-49 Units (Rent), 2 BR",    Below Median,117000,1.9735594,0.21770369,0.23365426,0.74292283,0.31470039,0.0840638,0.19356229,0.05043828,0.13651387,6959.0,0.2493995,1.5632972,2.3838216,0.20787931
"5-49 Units (Rent), 2 BR",    Above Median,117000,2.1738275,0.18850227,0.2322239,0.96928896,0.17473525,0.11059002,0.14387292,0.09304085,0.26157337,6610.0,0.28696309,1.7017733,2.6458818,0.21715351
"5-49 Units (Rent), 3 BR",All Values,,3.4955864,0.44640605,1.0264817,1.0305801,0.36128625,0.25882724,0.19104666,0.09394704,0.08701135,3172.0,0.62524558,2.4670574,4.5241154,0.29423646
"5-49 Units (Rent), 3 BR",    Below Median,124000,2.921545,0.31804466,0.88050694,0.90525045,0.31623416,0.16354858,0.09656005,0.10199155,0.13940857,1657.0,0.80584626,1.5959279,4.2471621,0.45373839
"5-49 Units (Rent), 3 BR",    Above Median,124000,4.1234323,0.58679868,1.1861386,1.1676568,0.41056106,0.3630363,0.29438944,0.08514851,0.02970297,1515.0,1.1161829,2.2873115,5.9595532,0.44528944
"50+ Units (Own), 0-1 BR",All Values,,1.2940235,0.0,0.0,0.30042689,0.13607257,0.14194237,0.10192102,0.2529349,0.36072572,1874.0,0.23558079,0.90649308,1.6815539,0.2994771
"50+ Units (Own), 0-1 BR",    Below Median,215000,1.3665414,0.0,0.0,0.40601504,0.07142857,0.09680451,0.11842105,0.22650376,0.44736842,1064.0,0.37139228,0.75560105,1.9774817,0.44707048
"50+ Units (Own), 0-1 BR",    Above Median,215000,1.1987654,0.0,0.0,0.1617284,0.22098765,0.20123457,0.08024691,0.28765432,0.24691358,810.0,0.34982907,0.62329662,1.7742342,0.48005123
"50+ Units (Own), 2 BR",All Values,,1.4892086,0.00610421,0.00436015,0.1382167,0.09875736,0.13865271,0.19838675,0.37867888,0.52605189,4587.0,0.20488995,1.1521647,1.8262526,0.22632421
"50+ Units (Own), 2 BR",    Below Median,280000,1.380774,0.0,0.0,0.03703704,0.01414898,0.10778194,0.18268831,0.29837703,0.74074074,2403.0,0.25180002,0.96656299,1.7949851,0.29998467
"50+ Units (Own), 2 BR",    Above Median,280000,1.6085165,0.01282051,0.00915751,0.24954212,0.19184982,0.17261905,0.21565934,0.46703297,0.28983516,2184.0,0.35765795,1.0201691,2.1968638,0.36577016
"50+ Units (Own), 3 BR",All Values,,1.8122867,0.0,0.0,0.25255973,0.07849829,0.0,0.35836177,0.44368601,0.67918089,293.0,0.90805307,0.31853939,3.306034,0.82423344
"50+ Units (Own), 3 BR",    Below Median,260000,1.7702703,0.0,0.0,0.33333333,0.1036036,0.0,0.1036036,0.33333333,0.8963964,222.0,1.0085437,0.11121591,3.4293246,0.93717575
"50+ Units (Own), 3 BR",    Above Median,260000,1.943662,0.0,0.0,0.0,0.0,0.0,1.1549296,0.78873239,0.0,71.0,1.9635573,-1.2863898,5.1737138,1.6618383
"50+ Units (Rent), 0-1 BR",All Values,,1.2743858,0.0162863,0.0125118,0.61695733,0.09810226,0.0883864,0.09768287,0.08139657,0.26306224,28613.0,0.08248459,1.1386986,1.4100729,0.10647259
"50+ Units (Rent), 0-1 BR",    Below Median,154000,1.2466242,0.02590993,0.02138598,0.52628693,0.0987045,0.07718144,0.13674686,0.11803414,0.24237439,14589.0,0.1061383,1.0720267,1.4212217,0.14005625
"50+ Units (Rent), 0-1 BR",    Above Median,154000,1.3032658,0.00627496,0.00328009,0.71128066,0.09747576,0.10004278,0.05704507,0.04328294,0.28458357,14024.0,0.13388479,1.0830254,1.5235063,0.16899122
"50+ Units (Rent), 2 BR",All Values,,1.9861472,0.13162954,0.10974782,0.87673866,0.17183083,0.10737306,0.12597535,0.15532059,0.30753138,17686.0,0.17792369,1.6934628,2.2788317,0.14736293
"50+ Units (Rent), 2 BR",    Below Median,181000,2.0432886,0.22214765,0.11879195,0.88914989,0.18568233,0.06353468,0.09530201,0.18322148,0.28545861,8940.0,0.25862959,1.6178429,2.4687343,0.20821614
"50+ Units (Rent), 2 BR",    Above Median,181000,1.9277384,0.03910359,0.10050309,0.86405214,0.15767208,0.15218386,0.15732906,0.12680082,0.33009376,8746.0,0.2266457,1.5549062,2.3005706,0.19340393
"50+ Units (Rent), 3 BR",All Values,,2.9022337,0.15862739,0.66655876,0.99611525,0.53382972,0.18290709,0.19876983,0.05147297,0.11395274,3089.0,0.66284632,1.8118515,3.9926159,0.37570448
