Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1020491,0.13406579,0.18428148,0.47175789,0.1976948,0.20612025,0.41244271,0.31450526,0.18118091,14836.0,0.14623537,1.8614919,2.3426063,0.11443938
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,120000,2.1918775,0.16950732,0.21770972,0.59014647,0.236751,0.20532623,0.29147803,0.26817577,0.21278296,7510.0,0.21133547,1.8442306,2.5395243,0.15860688
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,120000,2.0099645,0.0977341,0.15001365,0.35039585,0.15765766,0.20693421,0.53644554,0.36199836,0.14878515,7326.0,0.22281789,1.6434291,2.3764999,0.18235916
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7577144,0.20881114,0.53465418,0.56476988,0.42105317,0.37038296,0.31510731,0.21389052,0.12904522,97059.0,0.07223197,2.6388928,2.876536,0.04308698
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,175000,2.829243,0.22830677,0.61396414,0.64876494,0.43812749,0.35119522,0.27231076,0.16193227,0.11464143,50200.0,0.10943876,2.6492163,3.0092698,0.06363071
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,175000,2.6810858,0.18792548,0.44968949,0.47478606,0.40276148,0.39093877,0.36095521,0.26955334,0.14447598,46859.0,0.11183422,2.4971185,2.8650531,0.06861671
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4018911,0.2224704,0.93497133,0.5955625,0.55751619,0.54637778,0.28961358,0.18790857,0.06747078,67155.0,0.10603792,3.2274588,3.5763235,0.05127512
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,260000,3.5064239,0.24011653,0.99437728,0.72268026,0.55012382,0.50758922,0.2625783,0.16716679,0.0617917,34325.0,0.15956908,3.2439327,3.768915,0.07486007
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,260000,3.2925982,0.20402071,0.87286019,0.46265611,0.5652452,0.58693268,0.31787999,0.20959488,0.07340847,32830.0,0.16654934,3.0186246,3.5665719,0.08320896
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8387925,0.0687219,0.16377649,0.83236994,0.06165703,0.08477842,0.20937701,0.23057161,0.18754014,1557.0,0.46950608,1.0664551,2.61113,0.42002427
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,106000,1.8213018,0.10769231,0.16804734,1.0473373,0.07455621,0.0035503,0.16094675,0.1704142,0.0887574,845.0,0.68279816,0.69809881,2.9445047,0.61670338
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,106000,1.8595506,0.02247191,0.15870787,0.57724719,0.04634831,0.18117978,0.26685393,0.30196629,0.30477528,712.0,0.5445563,0.96375545,2.7553457,0.48172668
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.9991209,0.41054945,0.67032967,0.87164835,0.42593407,0.17538462,0.1389011,0.16659341,0.13978022,2275.0,0.50963607,2.1607695,3.8374722,0.27953236
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,132000,3.1352494,0.43279797,0.92561285,0.95266272,0.37700761,0.2079459,0.05240913,0.14285714,0.04395604,1183.0,0.82952857,1.7706749,4.4998239,0.43523635
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,132000,2.8516484,0.38644689,0.39377289,0.78388278,0.47893773,0.14010989,0.23260073,0.19230769,0.24358974,1092.0,0.65610368,1.7723578,3.9309389,0.37847954
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.6635071,0.12931618,0.18551117,0.5873392,0.20209885,0.11137441,0.17704807,0.18686527,0.08395396,2954.0,0.29745028,1.1742014,2.1528128,0.29414104
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,74000,1.4170886,0.10949367,0.11518987,0.35696203,0.11139241,0.09050633,0.27278481,0.22974684,0.13101266,1580.0,0.33300933,0.86928826,1.964889,0.38656746
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,74000,1.9468705,0.15211063,0.26637555,0.85225619,0.30640466,0.13537118,0.06695779,0.13755459,0.02983988,1374.0,0.48280365,1.1526584,2.7410825,0.40794291
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.1565354,0.20605023,0.35744863,0.71461187,0.26954909,0.23901256,0.12771119,0.17936644,0.06278539,7008.0,0.23680238,1.7669955,2.5460753,0.18063229
"2-4 Units  (Own/Rent), 2 BR",    Below Median,88000,2.2620671,0.27297518,0.45704936,0.76520316,0.2852468,0.17043905,0.11644396,0.13989637,0.0548132,3667.0,0.32230528,1.7318749,2.7922593,0.23438394
"2-4 Units  (Own/Rent), 2 BR",    Above Median,88000,2.0407064,0.13259503,0.2481293,0.65908411,0.25231966,0.31427716,0.14007782,0.22268782,0.07153547,3341.0,0.33411147,1.491093,2.5903197,0.26932506
"2-4 Units (Own/Rent), 3 BR",All Values,,3.0162665,0.39775368,0.83191325,0.81719597,0.44694036,0.21572424,0.1742835,0.07397366,0.0584818,2582.0,0.50895342,2.1790381,3.8534948,0.27757109
"2-4 Units (Own/Rent), 3 BR",    Below Median,97000,3.2124138,0.54827586,1.0910345,0.73241379,0.45103448,0.1262069,0.15034483,0.01517241,0.09793103,1450.0,0.70161823,2.0582518,4.3665758,0.35928186
"2-4 Units (Own/Rent), 3 BR",    Above Median,97000,2.7650177,0.204947,0.5,0.92579505,0.44169611,0.33038869,0.204947,0.14929329,0.00795053,1132.0,0.69898814,1.6151822,3.9148532,0.41585105
"5-49 Units (Own), 0-1 BR",All Values,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,1.3254093,-1.1802983,3.1802983,2.1802983
"5-49 Units (Own), 0-1 BR",    Below Median,130000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,1.3254093,-1.1802983,3.1802983,2.1802983
