Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0427739,0.11253232,0.2047805,0.42893555,0.21361649,0.25901258,0.36245569,0.27468214,0.18675867
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 83000,2.0040651,0.11763331,0.21014441,0.39564426,0.20264434,0.27733005,0.35629427,0.25814287,0.18623157
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,83000 to 133000,2.1230095,0.14355579,0.24520387,0.5260631,0.23299736,0.25439852,0.33863144,0.23390191,0.14825749
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 133000,2.0006229,0.07670935,0.15935136,0.36471054,0.2050131,0.24578039,0.39214911,0.3313393,0.22556978
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5764549,0.16012522,0.43045306,0.49412915,0.32655134,0.31677378,0.37464825,0.2896163,0.18415779
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 127000,2.6217298,0.17126515,0.49430824,0.5448091,0.33055077,0.29882261,0.35149143,0.24737719,0.18310527
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,127000 to 200000,2.5797267,0.16301833,0.43888133,0.5335201,0.34656347,0.31034929,0.3497841,0.26376776,0.17384236
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 200000,2.530107,0.14668563,0.36136648,0.40741651,0.30322915,0.34014892,0.4209624,0.35508029,0.19521757
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2406693,0.20043948,0.77296835,0.5535075,0.46297182,0.44183923,0.40552812,0.26390493,0.13950993
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 199000,3.39812,0.22568311,0.85308915,0.73242491,0.45802037,0.37200319,0.3636222,0.24152974,0.15174728
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,199000 to 330000,3.1934683,0.19450313,0.73757445,0.55094951,0.46731384,0.43646017,0.4061424,0.26095955,0.13956525
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 330000,3.1436557,0.18333694,0.73440031,0.39477701,0.46330981,0.50985013,0.44269149,0.28685539,0.12843468
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8456422,0.10681028,0.18401064,0.4828992,0.19628374,0.17564262,0.22936961,0.22709522,0.24353088
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 106000,1.758384,0.09622802,0.18859907,0.49094594,0.21043342,0.18964503,0.22468458,0.18957966,0.16826829
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,106000 to 154000,2.0733933,0.19008478,0.24496796,0.67180118,0.23461265,0.20205812,0.202317,0.16231959,0.16523202
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 154000,1.7079077,0.03588094,0.1201917,0.29108336,0.14528944,0.13639803,0.26024719,0.32639677,0.39242023
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.554238,0.20487865,0.46458051,0.64540471,0.28772946,0.2568991,0.25917827,0.2571763,0.17839103
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 127000,2.8087892,0.28125292,0.61019168,0.82814399,0.3141655,0.28274895,0.23618513,0.16456288,0.0915381
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,127000 to 188000,2.8914736,0.25766814,0.65772442,0.81286934,0.36169215,0.30053466,0.2243692,0.18122127,0.09539443
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 188000,1.9856911,0.08072354,0.13912887,0.30885529,0.19132469,0.19015479,0.31470482,0.41918647,0.34161267
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.2796355,0.02831553,0.04215093,0.41666521,0.14736274,0.14325045,0.21315932,0.17062503,0.11810626
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 56000,1.1655593,0.01328796,0.01890563,0.17814509,0.07384,0.14303462,0.27423972,0.24733971,0.2167666
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,56000 to 85000,1.2260328,0.02309021,0.04759411,0.41106864,0.17534949,0.1353474,0.22173936,0.12262422,0.08921933
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 85000,1.4381858,0.04742883,0.05865399,0.6453456,0.18915912,0.15108459,0.14769682,0.14516863,0.05364818
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.9568519,0.15973215,0.25583974,0.67299697,0.22958726,0.18982051,0.19465416,0.14008714,0.11413399
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 83000,1.8502811,0.15624895,0.19876132,0.56154701,0.19980477,0.21387458,0.24147565,0.15298394,0.12558484
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,83000 to 108000,2.0667816,0.20720512,0.33970769,0.70795082,0.22400822,0.20007954,0.16829616,0.12835979,0.09117423
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 108000,1.9518784,0.11590092,0.22830568,0.74741911,0.2643227,0.15604077,0.17500577,0.13912068,0.12576272
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8925027,0.26347766,0.71748552,0.92312366,0.34399935,0.25120499,0.18611527,0.11490947,0.0921868
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 97000,2.8192195,0.27276347,0.79758428,0.79041678,0.2884258,0.26586143,0.2241837,0.11866207,0.06132201
"2-4 Units (Own/Rent), 3 BR",Second Tercile,97000 to 126000,2.9920148,0.28133318,0.75523666,1.053466,0.41777572,0.1925703,0.12290244,0.08841569,0.08031478
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 126000,2.8563542,0.23713883,0.60829222,0.90826873,0.31829927,0.29774489,0.21658445,0.1384778,0.13154804
"5-49 Units (Own), 0-1 BR",All Values,,1.2599693,0.0,0.0,0.31978528,0.14532209,0.1756135,0.33665644,0.16986196,0.11273006
"5-49 Units (Own), 0-1 BR",First Tercile,Below 108000,1.2220745,0.0,0.0,0.27925532,0.21542553,0.15558511,0.38962766,0.09707447,0.08510638
"5-49 Units (Own), 0-1 BR",Second Tercile,108000 to 212000,1.1745335,0.0,0.0,0.34906696,0.09769484,0.10976948,0.33589462,0.08671789,0.19538968
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 212000,1.3724868,0.0,0.0,0.32380952,0.13544974,0.25502646,0.2952381,0.30793651,0.05502646
"5-49 Units (Own), 2 BR",All Values,,1.506993,0.02980769,0.07482517,0.30620629,0.14213287,0.16101399,0.24396853,0.33006993,0.21896853
"5-49 Units (Own), 2 BR",First Tercile,Below 105000,1.4721157,0.02862201,0.06845677,0.27441723,0.12127471,0.18648569,0.30805547,0.26674535,0.21805842
"5-49 Units (Own), 2 BR",Second Tercile,105000 to 166000,1.5694444,0.04015152,0.09974747,0.3040404,0.21919192,0.14646465,0.25555556,0.31313131,0.19116162
"5-49 Units (Own), 2 BR",Third Tercile ,Above 166000,1.4754339,0.02077732,0.05597653,0.33463701,0.08482034,0.15399658,0.17966267,0.39892447,0.24663896
"5-49 Units (Own), 3 BR",All Values,,1.726499,0.06924565,0.13926499,0.144294,0.20580271,0.13617021,0.27891683,0.4205029,0.33230174
"5-49 Units (Own), 3 BR",First Tercile,Below 146000,1.7793427,0.25352113,0.07824726,0.27230047,0.2629108,0.05477308,0.31455399,0.32707355,0.21596244
"5-49 Units (Own), 3 BR",Second Tercile,146000 to 275000,1.7107623,0.0190583,0.25896861,0.11434978,0.22982063,0.16928251,0.20067265,0.36098655,0.35762332
"5-49 Units (Own), 3 BR",Third Tercile ,Above 275000,1.7077799,0.0,0.07495256,0.09203036,0.15085389,0.15749526,0.32352941,0.52751423,0.38140417
"5-49 Units (Rent), 0-1 BR",All Values,,1.2469538,0.02585656,0.02217693,0.57931034,0.15378429,0.13062686,0.15022585,0.1031398,0.0818332
