Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9869341,0.09303666,0.17569749,0.33379448,0.20033049,0.22377219,0.37598955,0.36457613,0.21973715
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,160000,2.0473471,0.13760709,0.21403878,0.45490756,0.25642567,0.23605892,0.3087329,0.24470164,0.19487449
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,160000,1.9237182,0.04639824,0.13557723,0.20706197,0.14163259,0.21091538,0.44636678,0.49001258,0.24575338
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6997788,0.19877102,0.481818,0.52170088,0.38990028,0.35271565,0.34319628,0.27643595,0.13524071
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,200000,2.7174909,0.22171199,0.5243291,0.61336949,0.40547213,0.31836322,0.28901993,0.22427026,0.12095474
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,200000,2.6811027,0.17458155,0.43699338,0.4250435,0.37348098,0.38893759,0.400321,0.33144059,0.15030414
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4249146,0.22854151,0.9518433,0.50879431,0.58923001,0.54465003,0.33796709,0.18335681,0.08053157
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,305000,3.4635827,0.24700926,0.97491863,0.58687596,0.59912074,0.50213473,0.3045696,0.16387437,0.0850794
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,305000,3.382454,0.20826242,0.92650472,0.42305431,0.57836918,0.59133529,0.37464026,0.20475012,0.07553768
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.6830568,0.0512613,0.0984082,0.44138675,0.14083367,0.13813571,0.24949413,0.28854715,0.27498988
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,146000,1.8078287,0.08367267,0.1539472,0.61657691,0.16970971,0.20097202,0.21069224,0.20570077,0.1665572
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,146000,1.5513656,0.01705254,0.03978927,0.25648135,0.1103563,0.07181478,0.2904478,0.3759878,0.38943574
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.3721921,0.16283406,0.41924887,0.52765693,0.28802273,0.18210068,0.24460623,0.29983131,0.24789133
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,173000,2.6983714,0.23908524,0.63167013,0.77356202,0.39067914,0.19178794,0.17792793,0.16389466,0.12976438
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,173000,2.0293207,0.08268075,0.19595702,0.26916773,0.18011291,0.17191768,0.31469678,0.44272446,0.37206338
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3416459,0.01226101,0.00976725,0.57273483,0.06317539,0.12822111,0.16625104,0.22090607,0.16832918
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,64000,1.2393533,0.01222397,0.01735016,0.43178233,0.01695584,0.13288644,0.20189274,0.23777603,0.1884858
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,64000,1.4556239,0.01230228,0.0013181,0.7297891,0.11467487,0.12302285,0.12653779,0.20210896,0.14586995
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.9255566,0.16410526,0.20736187,0.74120999,0.17684984,0.1374166,0.16388035,0.15263513,0.18209761
"2-4 Units  (Own/Rent), 2 BR",    Below Median,91000,1.9145588,0.22058824,0.17117647,0.75014706,0.15323529,0.13132353,0.17088235,0.16558824,0.15161765
"2-4 Units  (Own/Rent), 2 BR",    Above Median,91000,1.9369934,0.10536779,0.24499159,0.7319162,0.20140694,0.14375287,0.15659887,0.13916501,0.21379416
"2-4 Units (Own/Rent), 3 BR",All Values,,2.6005435,0.24438406,0.54818841,0.88351449,0.36177536,0.21503623,0.15235507,0.09528986,0.1
"2-4 Units (Own/Rent), 3 BR",    Below Median,105000,2.8606615,0.39444053,0.64109782,0.92962702,0.34060521,0.23117523,0.19598874,0.05735398,0.07037298
"2-4 Units (Own/Rent), 3 BR",    Above Median,105000,2.3244959,0.08513816,0.44958925,0.83457804,0.38424197,0.19790889,0.10604929,0.13554892,0.13144137
"5-49 Units (Own), 0-1 BR",All Values,,1.4868735,0.0,0.0,0.05250597,0.14081146,0.38663484,0.34844869,0.46778043,0.09069212
"5-49 Units (Own), 0-1 BR",    Below Median,232000,1.5454545,0.0,0.0,0.0625,0.05965909,0.46022727,0.36647727,0.48863636,0.10795455
"5-49 Units (Own), 0-1 BR",    Above Median,232000,1.1791045,0.0,0.0,0.0,0.56716418,0.0,0.25373134,0.35820896,0.0
"5-49 Units (Own), 2 BR",All Values,,1.5387488,0.03174603,0.11437908,0.42717087,0.14519141,0.14472456,0.26704015,0.27310924,0.13538749
"5-49 Units (Own), 2 BR",    Below Median,150000,1.5473684,0.04210526,0.10263158,0.43421053,0.17982456,0.14473684,0.30701754,0.21929825,0.11754386
"5-49 Units (Own), 2 BR",    Above Median,150000,1.5289421,0.01996008,0.12774451,0.41916168,0.10578842,0.14471058,0.22155689,0.33433134,0.15568862
"5-49 Units (Own), 3 BR",All Values,,1.7039187,0.0,0.0754717,0.00435414,0.15674891,0.10595065,0.34687954,0.63570392,0.37880987
"5-49 Units (Own), 3 BR",    Below Median,260000,1.6394231,0.0,0.125,0.00721154,0.21875,0.11298077,0.29326923,0.62259615,0.25961538
"5-49 Units (Own), 3 BR",    Above Median,260000,1.8021978,0.0,0.0,0.0,0.06227106,0.0952381,0.42857143,0.65567766,0.56043956
"5-49 Units (Rent), 0-1 BR",All Values,,1.2404844,0.01851852,0.02748943,0.65071126,0.153787,0.09560425,0.11047033,0.0873382,0.09656542
"5-49 Units (Rent), 0-1 BR",    Below Median,90000,1.2051282,0.03107238,0.03056713,0.486169,0.15030946,0.10698497,0.1471517,0.11873184,0.13414172
"5-49 Units (Rent), 0-1 BR",    Above Median,90000,1.2768891,0.0055924,0.02432046,0.82013266,0.15736767,0.08388607,0.07270126,0.05501366,0.05787489
"5-49 Units (Rent), 2 BR",All Values,,1.8986063,0.11519035,0.18515574,0.92994107,0.14021139,0.14502853,0.15358713,0.09882144,0.13067066
"5-49 Units (Rent), 2 BR",    Below Median,101000,1.7994684,0.12601961,0.17211988,0.83402071,0.08184401,0.16148841,0.17743562,0.09724132,0.14929887
"5-49 Units (Rent), 2 BR",    Above Median,101000,2.00191,0.10390603,0.19873938,1.0298921,0.20103142,0.12787699,0.12873651,0.10046796,0.11125967
"5-49 Units (Rent), 3 BR",All Values,,3.2075966,0.32383759,0.67714473,1.2442698,0.34446627,0.35101506,0.09233792,0.12802881,0.0464964
"5-49 Units (Rent), 3 BR",    Below Median,107000,3.1613465,0.35229251,0.69704005,1.1596053,0.39698201,0.28148578,0.05455601,0.15438189,0.0650029
"5-49 Units (Rent), 3 BR",    Above Median,107000,3.2674681,0.28700225,0.65138993,1.3538693,0.27648385,0.44102179,0.14124718,0.09391435,0.02253944
"50+ Units (Own), 0-1 BR",All Values,,1.1490385,0.0,0.0,0.59615385,0.0,0.02403846,0.19230769,0.03365385,0.30288462
"50+ Units (Own), 0-1 BR",    Below Median,160000,1.1597938,0.0,0.0,0.63917526,0.0,0.0257732,0.20618557,0.03608247,0.25257732
"50+ Units (Own), 0-1 BR",    Above Median,160000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"50+ Units (Own), 2 BR",All Values,,1.6488414,0.01247772,0.01782531,0.114082,0.04634581,0.09982175,0.17647059,0.29768271,0.88413547
"50+ Units (Own), 2 BR",    Below Median,260000,1.7098446,0.01813472,0.02590674,0.07772021,0.02849741,0.07512953,0.23834197,0.12435233,1.1217617
"50+ Units (Own), 2 BR",    Above Median,260000,1.5142857,0.0,0.0,0.19428571,0.08571429,0.15428571,0.04,0.68,0.36
"50+ Units (Own), 3 BR",All Values,,1.335277,0.0,0.0,0.0728863,0.0,0.0,0.70845481,0.23323615,0.32069971
"50+ Units (Own), 3 BR",    Below Median,350000,1.2548387,0.0,0.0,0.08064516,0.0,0.0,0.78387097,0.25806452,0.13225806
"50+ Units (Own), 3 BR",    Above Median,350000,2.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0909091
"50+ Units (Rent), 0-1 BR",All Values,,1.15213,0.0147699,0.0,0.49556903,0.08729789,0.04329913,0.09507152,0.12018035,0.29594216
"50+ Units (Rent), 0-1 BR",    Below Median,119000,1.1715487,0.02628812,0.0,0.42331381,0.04521556,0.03319814,0.09568875,0.22277302,0.32507135
"50+ Units (Rent), 0-1 BR",    Above Median,119000,1.1313034,0.00241663,0.0,0.57306267,0.13243113,0.05413243,0.09440954,0.01014983,0.26470114
"50+ Units (Rent), 2 BR",All Values,,1.5498599,0.01087852,0.03840448,0.59634086,0.1382891,0.13169606,0.15905719,0.13284984,0.34234383
"50+ Units (Rent), 2 BR",    Below Median,149000,1.4292961,0.0,0.00887762,0.42295498,0.08116677,0.13950539,0.2121116,0.20069753,0.36398224
"50+ Units (Rent), 2 BR",    Above Median,149000,1.6803982,0.02265705,0.07037418,0.7840714,0.20013732,0.12324065,0.10161346,0.05938895,0.31891521
"50+ Units (Rent), 3 BR",All Values,,2.7232779,0.29334917,0.3064133,1.3954869,0.23515439,0.27672209,0.17458432,0.02850356,0.01306413
"50+ Units (Rent), 3 BR",    Below Median,166000,2.7555556,0.0969697,0.49494949,1.7454545,0.15757576,0.13131313,0.12929293,0.0,0.0
"50+ Units (Rent), 3 BR",    Above Median,166000,2.6772334,0.57348703,0.03746398,0.8962536,0.34582133,0.48414986,0.23919308,0.06916427,0.03170029
All Housing Types (Own) 0-1 BR,All Values,,1.6956279,0.08688372,0.05153488,0.29488372,0.12948837,0.25134884,0.44074419,0.30809302,0.13265116
All Housing Types (Own) 0-1 BR,    Below Median,120000,1.6322603,0.06018195,0.04408677,0.35759272,0.15395381,0.2326802,0.38103569,0.27151854,0.13121064
All Housing Types (Own) 0-1 BR,    Above Median,120000,1.7675805,0.11720302,0.05999205,0.22367898,0.10170838,0.27254668,0.50854191,0.34962257,0.13428685
All Housing Types (Own) 2 BR,All Values,,1.7933408,0.05335618,0.10996218,0.22787166,0.149935,0.18225597,0.36956393,0.39958048,0.30081541
All Housing Types (Own) 2 BR,    Below Median,180000,1.7988575,0.06809483,0.14190231,0.30499857,0.18748929,0.19223079,0.31699514,0.30996858,0.27717795
All Housing Types (Own) 2 BR,    Above Median,180000,1.7874319,0.0375696,0.07575109,0.14526097,0.10971058,0.17157193,0.4258704,0.49556385,0.32613351
All Housing Types (Own) 3 BR,All Values,,2.6219591,0.17680936,0.43371254,0.48124565,0.36971995,0.34815025,0.35655912,0.29961673,0.15614544
All Housing Types (Own) 3 BR,    Below Median,200000,2.6279875,0.19953137,0.45492059,0.55659984,0.38905233,0.31594637,0.31075241,0.25393127,0.14725332
All Housing Types (Own) 3 BR,    Above Median,200000,2.6154473,0.15226592,0.41080443,0.39985095,0.34883786,0.38293564,0.40603777,0.34896441,0.16575036
All Housing Types (Own) 4-5 BR,All Values,,3.396947,0.21736043,0.93383336,0.49616672,0.58468348,0.54840513,0.34454239,0.19033484,0.08162063
All Housing Types (Own) 4-5 BR,    Below Median,320000,3.441564,0.23175669,0.95911908,0.57172931,0.59784481,0.51090109,0.31182558,0.17228282,0.08610461
All Housing Types (Own) 4-5 BR,    Above Median,320000,3.3499317,0.20219037,0.90718851,0.41654257,0.57081472,0.58792504,0.37901775,0.20935716,0.07689563
All Housing Types (Rent) 0-1 BR,All Values,,1.228049,0.01587302,0.0141221,0.58067109,0.11785643,0.08390023,0.11995178,0.11667958,0.1789948
All Housing Types (Rent) 0-1 BR,    Below Median,90000,1.2189359,0.02804691,0.01728143,0.4669953,0.09524619,0.09003343,0.16199218,0.18420307,0.1751374
