Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1221619,0.11549852,0.15955084,0.35476308,0.20718164,0.24938302,0.41201876,0.42287759,0.20088845,8104.0,0.18928082,1.8107949,2.4335288,0.14672158
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,295000,2.0330124,0.11875287,0.15405777,0.42342962,0.22352132,0.24575883,0.30994956,0.37322329,0.18431912,4362.0,0.25278915,1.6171742,2.4488505,0.20454285
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,295000,2.2260823,0.11170497,0.16595404,0.2747194,0.18813469,0.2536077,0.53099947,0.48075895,0.2202031,3742.0,0.32795994,1.6865882,2.7655764,0.24235137
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5434704,0.14689544,0.42937909,0.46205174,0.36327778,0.30772771,0.3535483,0.33957861,0.14101173,30423.0,0.11601428,2.3526269,2.7343139,0.07503272
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,325000,2.517015,0.16009155,0.43666807,0.51364211,0.36324761,0.27862434,0.31500331,0.31747275,0.13226525,16603.0,0.15996695,2.2538694,2.7801606,0.10454671
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,325000,2.5752533,0.13104197,0.42062229,0.40007236,0.36331404,0.34269175,0.39985528,0.36613603,0.15151954,13820.0,0.17759318,2.2831125,2.867394,0.11344158
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4585372,0.25062698,0.96945278,0.49632036,0.58796201,0.47851827,0.34572216,0.23726514,0.09266949,24323.0,0.20830806,3.1158704,3.801204,0.09907853
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,400000,3.6741999,0.33172659,1.0590281,0.61319637,0.65942315,0.46527064,0.25586725,0.18451205,0.10517582,12655.0,0.30252875,3.1765401,4.1718597,0.13544712
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,400000,3.2246315,0.16266712,0.87230031,0.36955776,0.51045595,0.49288653,0.44317792,0.29448063,0.07910525,11668.0,0.24579497,2.8202987,3.6289642,0.12538882
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8084384,0.09020369,0.09844811,0.53491756,0.18671193,0.08341416,0.22987391,0.25460718,0.33026188,2062.0,0.3417202,1.2463087,2.3705681,0.31083709
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,189000,1.9982254,0.15794144,0.15261757,0.65217391,0.17746229,0.08873114,0.29015084,0.15794144,0.32120674,1127.0,0.47585554,1.215443,2.7810077,0.39173878
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,189000,1.5796791,0.00855615,0.03315508,0.39358289,0.19786096,0.07700535,0.15721925,0.37112299,0.34117647,935.0,0.49407019,0.76693369,2.3924246,0.51450034
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.2481401,0.18478522,0.25677946,0.74778018,0.35277178,0.21790257,0.1725462,0.14902808,0.16654668,4167.0,0.32940742,1.7062649,2.7900154,0.24103266
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,220000,2.5006797,0.2655188,0.23244223,0.95061169,0.37426371,0.24014499,0.18713185,0.11418215,0.13638423,2207.0,0.5291551,1.6302195,3.3711398,0.34808942
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,220000,1.9637755,0.09387755,0.28418367,0.51938776,0.32857143,0.19285714,0.15612245,0.18826531,0.2005102,1960.0,0.42836881,1.2591088,2.6684422,0.35883261
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4090909,0.0,0.0,0.70764463,0.14876033,0.10743802,0.26446281,0.12293388,0.05785124,968.0,0.43421973,0.69479945,2.1233824,0.50691652
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,97000,1.451448,0.0,0.0,0.70528109,0.24531516,0.0,0.29301533,0.1669506,0.04088586,587.0,0.55790045,0.5337018,2.3691943,0.632297
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,97000,1.343832,0.0,0.0,0.71128609,0.0,0.27296588,0.22047244,0.05511811,0.0839895,381.0,0.78531713,0.05198534,2.6356787,0.9613156
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.7394366,0.11352113,0.1284507,0.86197183,0.2715493,0.11183099,0.12140845,0.06056338,0.07014085,3550.0,0.26551586,1.302663,2.1762102,0.25110061
"2-4 Units  (Own/Rent), 2 BR",    Below Median,102000,1.6407047,0.10292072,0.11961057,0.8307835,0.24942049,0.06212332,0.16318962,0.05238758,0.06026889,2157.0,0.37971722,1.0160699,2.2653395,0.38071131
"2-4 Units  (Own/Rent), 2 BR",    Above Median,102000,1.8923187,0.12993539,0.14213927,0.91026561,0.30581479,0.18880115,0.05671213,0.07322326,0.08542714,1393.0,0.4512218,1.1500589,2.6345786,0.39224886
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8410295,0.15518547,0.71839516,0.90386071,0.47388342,0.1990916,0.15669947,0.1990916,0.0348221,1321.0,0.75507482,1.5989314,4.0831276,0.43719999
"2-4 Units (Own/Rent), 3 BR",    Below Median,150000,2.9195545,0.05321782,0.92574257,1.0037129,0.54455446,0.21039604,0.13118812,0.01732673,0.03341584,808.0,0.99386443,1.2846475,4.5544614,0.5599851
"2-4 Units (Own/Rent), 3 BR",    Above Median,150000,2.7173489,0.31578947,0.39181287,0.74658869,0.3625731,0.18128655,0.19688109,0.48538012,0.03703704,513.0,1.075319,0.94844923,4.4862486,0.65096524
"5-49 Units (Own), 0-1 BR",All Values,,1.0,0.0,0.0,0.0,0.25925926,0.0,0.74074074,0.0,0.0,81.0,1.1188074,-0.84043811,2.8404381,1.8404381
"5-49 Units (Own), 0-1 BR",    Below Median,500000,1.0,0.0,0.0,0.0,0.25925926,0.0,0.74074074,0.0,0.0,81.0,1.1188074,-0.84043811,2.8404381,1.8404381
"5-49 Units (Own), 2 BR",All Values,,1.8,0.0,0.37560976,0.8195122,0.14146341,0.1,0.08536585,0.16829268,0.1097561,410.0,0.88607147,0.34241244,3.2575876,0.80977087
"5-49 Units (Own), 2 BR",    Below Median,233000,2.015528,0.0,0.47826087,0.98136646,0.18012422,0.12732919,0.10869565,0.0,0.13975155,322.0,1.1513037,0.12163344,3.9094225,0.93965182
"5-49 Units (Own), 2 BR",    Above Median,233000,1.0113636,0.0,0.0,0.22727273,0.0,0.0,0.0,0.78409091,0.0,88.0,0.89437421,-0.45988193,2.4826092,1.4547147
"5-49 Units (Own), 3 BR",All Values,,2.0984848,0.0,0.48484848,0.13383838,0.84343434,0.0,0.15909091,0.09848485,0.37878788,396.0,1.0908713,0.3040016,3.8929681,0.85513281
"5-49 Units (Own), 3 BR",    Below Median,220000,2.1008646,0.0,0.55331412,0.15273775,0.96253602,0.0,0.0,0.0,0.43227666,347.0,1.2270682,0.08233732,4.1193918,0.96080789
"5-49 Units (Own), 3 BR",    Above Median,220000,2.0816327,0.0,0.0,0.0,0.0,0.0,1.2857143,0.79591837,0.0,49.0,1.7748589,-0.83801022,5.0012755,1.4025735
"5-49 Units (Rent), 0-1 BR",All Values,,1.2447995,0.01115466,0.02803738,0.68465481,0.07295749,0.08501658,0.0331625,0.17093759,0.1588785,3317.0,0.24344384,0.84433441,1.6452646,0.32171053
"5-49 Units (Rent), 0-1 BR",    Below Median,91000,1.1561338,0.01699416,0.0,0.64684015,0.05416888,0.06585236,0.01911843,0.20817844,0.14498141,1883.0,0.31270083,0.64174097,1.6705267,0.44492501
"5-49 Units (Rent), 0-1 BR",    Above Median,91000,1.3612273,0.00348675,0.06485356,0.73430962,0.09762901,0.11018131,0.05160391,0.12203626,0.17712692,1434.0,0.34464838,0.79428075,1.9281739,0.41649662
"5-49 Units (Rent), 2 BR",All Values,,1.9587869,0.19362364,0.1557802,1.0930534,0.18921721,0.0787973,0.12778642,0.07205806,0.04847071,3858.0,0.32830337,1.4187279,2.498846,0.27571097
"5-49 Units (Rent), 2 BR",    Below Median,119000,2.105615,0.3016934,0.24509804,0.96925134,0.21078431,0.10115865,0.08734403,0.11586453,0.07442068,2244.0,0.43585138,1.3886395,2.8225905,0.34050647
"5-49 Units (Rent), 2 BR",    Above Median,119000,1.7546468,0.04337051,0.03159851,1.2651797,0.15923172,0.04770756,0.18401487,0.01115242,0.01239157,1614.0,0.52075104,0.89801138,2.6112823,0.48820962
"5-49 Units (Rent), 3 BR",All Values,,2.5924896,0.2906815,0.36995828,1.0528512,0.20166898,0.20723227,0.21140473,0.25869263,0.0,719.0,0.86510461,1.1693925,4.0155867,0.54893069
"5-49 Units (Rent), 3 BR",    Below Median,127000,2.6361974,0.27605119,0.43510055,0.9250457,0.19926874,0.27239488,0.23400366,0.29433272,0.0,547.0,1.0831651,0.85439086,4.418004,0.67590028
"5-49 Units (Rent), 3 BR",    Above Median,127000,2.4534884,0.3372093,0.1627907,1.4593023,0.20930233,0.0,0.13953488,0.14534884,0.0,172.0,1.7475066,-0.42116003,5.3281368,1.1716576
"50+ Units (Rent), 0-1 BR",All Values,,1.0772676,0.0,0.0,0.41489362,0.01567749,0.01903695,0.02071669,0.10582307,0.50111982,1786.0,0.29485152,0.59223689,1.5622984,0.45024164
"50+ Units (Rent), 0-1 BR",    Below Median,128000,1.086798,0.0,0.0,0.45149526,0.0,0.0131291,0.0131291,0.11597374,0.49307075,1371.0,0.36549492,0.48555881,1.6880371,0.55322072
"50+ Units (Rent), 0-1 BR",    Above Median,128000,1.0457831,0.0,0.0,0.2939759,0.06746988,0.03855422,0.04578313,0.07228916,0.52771084,415.0,0.58830794,0.07801657,2.0135497,0.92539891
"50+ Units (Rent), 2 BR",All Values,,1.9678616,0.0,0.35105068,0.84796044,0.13226205,0.07911001,0.18788628,0.04326329,0.3263288,809.0,0.609495,0.96524228,2.9704808,0.50949686
"50+ Units (Rent), 2 BR",    Below Median,126000,1.8033473,0.0,0.28661088,0.81171548,0.0,0.08158996,0.18200837,0.0,0.44142259,478.0,0.80920457,0.47220577,3.1344888,0.7381504
"50+ Units (Rent), 2 BR",    Above Median,126000,2.2054381,0.0,0.44410876,0.90030211,0.32326284,0.0755287,0.19637462,0.10574018,0.16012085,331.0,1.02804,0.51431227,3.8965639,0.76679814
"50+ Units (Rent), 3 BR",All Values,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,1.3536656,-1.2267799,3.2267799,2.2267799
"50+ Units (Rent), 3 BR",    Below Median,275000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,1.3536656,-1.2267799,3.2267799,2.2267799
All Housing Types (Own) 0-1 BR,All Values,,1.7299235,0.03680688,0.03250478,0.20267686,0.06644359,0.30449331,0.5334608,0.35946463,0.19407266,2092.0,0.29430181,1.245797,2.21405,0.27985427
All Housing Types (Own) 0-1 BR,    Below Median,250000,1.5854922,0.00949914,0.00431779,0.20120898,0.09153713,0.24265976,0.52072539,0.3134715,0.20207254,1158.0,0.39312101,0.93880817,2.2321763,0.40787589
All Housing Types (Own) 0-1 BR,    Above Median,250000,1.9089936,0.07066381,0.06745182,0.20449679,0.03533191,0.38115632,0.54925054,0.41648822,0.18415418,934.0,0.51956629,1.054307,2.7636801,0.44771578
All Housing Types (Own) 2 BR,All Values,,2.0446486,0.08737449,0.15958129,0.35782952,0.20337535,0.21512497,0.35964537,0.42651143,0.23520615,9362.0,0.17812216,1.7516376,2.3376595,0.14330627
All Housing Types (Own) 2 BR,    Below Median,280000,1.9471908,0.0778241,0.17331745,0.408378,0.21342069,0.18145722,0.24200913,0.39388525,0.25689895,5037.0,0.24396838,1.5458628,2.3485188,0.20610614
