Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0631863,0.14090218,0.16151377,0.28332489,0.20104747,0.26524751,0.38976178,0.39128231,0.23010644,5919.0,0.1921473,1.747104,2.3792687,0.15320105
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,225000,2.1096672,0.22884311,0.22060222,0.3933439,0.24690967,0.2748019,0.2481775,0.3429477,0.1540412,3155.0,0.28608679,1.6390544,2.58028,0.22307441
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,225000,2.0101302,0.04052098,0.09406657,0.1577424,0.14869754,0.25434153,0.55137482,0.44645441,0.31693198,2764.0,0.27245021,1.5619497,2.4583108,0.22296097
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.693165,0.20986851,0.51698998,0.56659289,0.40406197,0.30277308,0.34880875,0.23473506,0.10933472,38405.0,0.12041233,2.4950867,2.8912432,0.07354852
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,225000,2.6980438,0.21134889,0.52295827,0.7365034,0.37575974,0.30042392,0.28596966,0.17273609,0.09234384,19579.0,0.16325933,2.4294822,2.9666054,0.09953937
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,225000,2.6880909,0.20832891,0.51078296,0.38988633,0.43349623,0.30521619,0.41416127,0.29921385,0.12700521,18826.0,0.17677835,2.3972906,2.9788913,0.10818101
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.5404949,0.30008068,1.0570347,0.49016444,0.66999001,0.51588674,0.31541033,0.14618872,0.0457392,52056.0,0.13631682,3.3162537,3.764736,0.06333611
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,310000,3.5910874,0.33977065,1.0519592,0.59034029,0.66848455,0.45328901,0.29505809,0.14508237,0.04710321,26771.0,0.1979287,3.2654947,3.9166801,0.09066689
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,310000,3.486929,0.25805814,1.0624085,0.38410125,0.67158394,0.58216334,0.33695867,0.14736009,0.04429504,25285.0,0.17674316,3.1961865,3.7776715,0.08338068
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7882872,0.05089472,0.09016965,0.42389031,0.1687195,0.09481757,0.21705787,0.39251685,0.35022078,4303.0,0.2800079,1.3276743,2.2489002,0.25757215
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,150000,1.7150215,0.05579399,0.09570815,0.32575107,0.18369099,0.07381974,0.20600858,0.42188841,0.35236052,2330.0,0.32373796,1.1824725,2.2475704,0.31052028
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,150000,1.8748099,0.04510897,0.08362899,0.53978713,0.15103903,0.1196148,0.23010644,0.35783071,0.34769387,1973.0,0.40415316,1.209978,2.5396419,0.35461298
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.3557549,0.18049327,0.28363229,0.66554559,0.25149477,0.20665172,0.34435725,0.22963378,0.19394619,5352.0,0.31037556,1.8451871,2.8663227,0.21673214
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,190000,2.5968515,0.28850103,0.34804928,0.88021903,0.37816564,0.270705,0.27241615,0.09445585,0.06433949,2922.0,0.44175872,1.8701584,3.3235446,0.27983622
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,190000,2.0658436,0.05061728,0.20617284,0.40740741,0.09917695,0.12962963,0.4308642,0.39218107,0.34979424,2430.0,0.34802491,1.4933426,2.6383446,0.27712697
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.119281,0.00816993,0.0,0.28839869,0.04166667,0.37663399,0.24101307,0.09722222,0.06617647,1224.0,0.32326227,0.5875146,1.6510475,0.47509644
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,56000,1.0705446,0.01237624,0.0,0.08292079,0.06311881,0.57054455,0.31064356,0.02475248,0.00618812,808.0,0.35107018,0.4930341,1.648055,0.53945485
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,56000,1.2139423,0.0,0.0,0.6875,0.0,0.0,0.10576923,0.23798077,0.18269231,416.0,0.58335568,0.25432222,2.1735624,0.79049892
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.6346477,0.14010067,0.13129195,0.49496644,0.09689597,0.10947987,0.22189597,0.17323826,0.26677852,2384.0,0.27373242,1.1843578,2.0849375,0.27546599
