Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0206501,0.06778672,0.16565918,0.33604313,0.19068662,0.21489418,0.32380039,0.42011645,0.3016634,71961.0,0.04971923,1.9388619,2.1024382,0.04047615
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 185000,2.1498225,0.10989522,0.27066081,0.49138077,0.2332263,0.25730945,0.30894034,0.28439243,0.19401724,23668.0,0.10860679,1.9711644,2.3284807,0.08310369
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,185000 to 313000,2.0100625,0.06613768,0.1648566,0.33432333,0.22478833,0.23657964,0.35107939,0.37413006,0.25816747,22559.0,0.09250004,1.8578999,2.1622251,0.07570041
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 313000,1.9111292,0.03050439,0.06979094,0.19468408,0.12166783,0.15687417,0.31355405,0.58525686,0.43879692,25734.0,0.08954764,1.7638234,2.0584351,0.07707792
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7075573,0.155937,0.4289345,0.56754795,0.35853915,0.36407268,0.36591904,0.29261233,0.17399465,359626.0,0.02882282,2.6601438,2.7549708,0.01751156
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 216000,2.9879392,0.19826621,0.57730085,0.74857552,0.40640492,0.40171695,0.31333586,0.20746539,0.13487354,118815.0,0.05644386,2.8950891,3.0807894,0.03107498
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,216000 to 339000,2.6780232,0.15210283,0.40888556,0.56701194,0.36296019,0.35663713,0.38458339,0.27452057,0.1713216,120195.0,0.06358046,2.5734333,2.7826131,0.03905488
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 339000,2.4607929,0.11806062,0.30276249,0.38975758,0.30698249,0.33440008,0.39911786,0.39451648,0.21519533,120616.0,0.06294482,2.3572487,2.5643372,0.04207758
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4533446,0.21660053,0.74473148,0.68042731,0.50070171,0.48578227,0.40491313,0.28122624,0.13896192,264353.0,0.04418758,3.380656,3.5260332,0.02104875
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 291000,3.8255214,0.24272573,0.89661938,0.95521751,0.55895015,0.47804157,0.35080389,0.22266594,0.12049722,86641.0,0.09710787,3.665779,3.9852638,0.04175704
