Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9104065,0.04469366,0.10559083,0.27455265,0.14838789,0.16083945,0.28650944,0.52791292,0.36191968
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,295000,1.9510433,0.07412519,0.16391979,0.38548348,0.20167249,0.20768044,0.25753024,0.39749939,0.26313226
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,295000,1.8684762,0.01432521,0.04540504,0.16009047,0.09340705,0.11250733,0.31641116,0.66247801,0.46385189
"Single-Family Detached  (Own/Rent), 3 BR","Single-Family Detached  (Own/Rent), 3 BR",,2.656385,0.17075264,0.41474526,0.56905627,0.3894642,0.3522542,0.32285379,0.28454959,0.15270904
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,295000,2.8073571,0.20605473,0.50237617,0.70094908,0.42574299,0.35199169,0.28270177,0.2090336,0.1285071
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,295000,2.4953217,0.13309092,0.321257,0.4283476,0.3507605,0.35253426,0.36568962,0.36511315,0.17852867
"Single-Family Detached  (Own/Rent), 4-5 BR","Single-Family Detached  (Own/Rent), 4-5 BR",,3.5084274,0.2308629,0.81605585,0.67294163,0.54885398,0.49709521,0.37681598,0.25243359,0.11336824
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,375000,3.7254424,0.26814794,0.90702917,0.83738154,0.58231361,0.4859846,0.33716687,0.21035361,0.09706505
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,375000,3.2862928,0.19269828,0.72293638,0.50462244,0.51460501,0.50846793,0.41740045,0.29550627,0.13005603
"Single-Family Attached  (Own/Rent), 2 BR","Single-Family Attached  (Own/Rent), 2 BR",,1.8742277,0.0773757,0.13209768,0.4292439,0.23374522,0.22844954,0.23639306,0.32627243,0.21065019
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,193000,1.8960929,0.12372593,0.17100793,0.51047565,0.26925255,0.25764439,0.12344281,0.24178935,0.19875425
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,193000,1.8505818,0.02725046,0.09001837,0.3413962,0.19534599,0.19687691,0.35854256,0.41763625,0.223515
"Single-Family Attached  (Own/Rent), 3 BR","Single-Family Attached  (Own/Rent), 3 BR",,2.5626947,0.16783943,0.43545968,0.69638943,0.3209136,0.36082593,0.26415965,0.22470873,0.0923982
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,225000,2.8958795,0.17966327,0.64554719,0.83407178,0.37771378,0.38303057,0.26229508,0.16260523,0.05095259
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,225000,2.200722,0.15499398,0.20722022,0.54681107,0.25920578,0.33670277,0.26618532,0.2921781,0.13742479
"2-4 Units  (Own/Rent), 0-1 BR","2-4 Units  (Own/Rent), 0-1 BR",,1.5161635,0.05663906,0.07507347,0.62864013,0.18541277,0.17579482,0.14800962,0.17606198,0.07053166
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,120000,1.3156603,0.0436917,0.02061856,0.40697104,0.19734904,0.21551301,0.14923908,0.22189494,0.06038292
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,120000,1.7555686,0.07209848,0.14009379,0.8933177,0.17116061,0.12837046,0.14654162,0.12133646,0.08264947
"2-4 Units  (Own/Rent), 2 BR","2-4 Units  (Own/Rent), 2 BR",,2.2282499,0.12313604,0.30719971,0.62583478,0.30216815,0.36519989,0.24005123,0.17143903,0.09322111
"2-4 Units  (Own/Rent), 2 BR",    Below Median,131000,2.3573718,0.13514957,0.38514957,0.65206553,0.29522792,0.42574786,0.25,0.14102564,0.0730057
"2-4 Units  (Own/Rent), 2 BR",    Above Median,131000,2.0918156,0.11044214,0.22483537,0.59811853,0.30950141,0.30122295,0.22953904,0.20357479,0.11458137
"2-4 Units (Own/Rent), 3 BR","2-4 Units (Own/Rent), 3 BR",,2.7615628,0.23700086,0.6374605,0.66187877,0.3855214,0.34271761,0.2869865,0.10945131,0.10054582
