Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0775918,0.06659437,0.14747348,0.30231809,0.19656353,0.29914935,0.47188803,0.37233538,0.22126953,59014.0,0.06666442,1.9679288,2.1872547,0.0527837
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 190000,2.1067656,0.08986448,0.19235327,0.29963415,0.24166538,0.31983305,0.43267893,0.32503736,0.20569897,19407.0,0.12071856,1.9081836,2.3053476,0.0942592
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,190000 to 288000,2.0914005,0.06767202,0.1528566,0.37381763,0.20598887,0.29155181,0.48586563,0.34171126,0.17193665,18501.0,0.12285879,1.8892977,2.2935032,0.09663511
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 288000,2.038662,0.04425282,0.10148773,0.24211125,0.14683029,0.28679049,0.49568843,0.44267033,0.27883066,21106.0,0.12088539,1.8398055,2.2375185,0.09754264
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6928852,0.13051118,0.4083969,0.46570956,0.33170217,0.4124928,0.4636706,0.32599309,0.15440894,166752.0,0.04416632,2.6202316,2.7655388,0.02697983
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 254000,2.7193615,0.12639768,0.43322422,0.54062454,0.31798955,0.41613947,0.42413933,0.30252317,0.15832353,54376.0,0.08636693,2.5772879,2.8614351,0.05224521
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,254000 to 361000,2.6680914,0.13089355,0.41779084,0.42317159,0.33795722,0.40918545,0.47167471,0.32004045,0.15737755,52409.0,0.08167866,2.53373,2.8024527,0.05035862
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 361000,2.6905465,0.13390698,0.37767439,0.43495589,0.3386696,0.41207664,0.49252089,0.3524772,0.14826488,59967.0,0.07011191,2.5752124,2.8058806,0.04286642
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2835829,0.17724697,0.67451607,0.55133368,0.42429832,0.51965938,0.48500313,0.29773433,0.15379098,97587.0,0.08137598,3.1497194,3.4174463,0.04076751
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 312000,3.2557199,0.16161042,0.67169132,0.63193654,0.4455505,0.47598281,0.41385413,0.28378208,0.1713121,31644.0,0.13058142,3.0409134,3.4705263,0.06597817
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,312000 to 469000,3.3350233,0.19455148,0.6471642,0.5732441,0.42956128,0.500507,0.50327858,0.33688231,0.14983438,29586.0,0.15496723,3.0801022,3.5899444,0.07643758
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 469000,3.2659735,0.17677476,0.69923261,0.46334956,0.40151828,0.57325962,0.5320571,0.27802074,0.14176087,36357.0,0.1368398,3.0408721,3.491075,0.06892324
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9955056,0.08667737,0.1776565,0.50452648,0.21900482,0.22914928,0.28603531,0.29277689,0.19967897,15575.0,0.13818137,1.7681973,2.222814,0.11391015
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 188000,2.0899032,0.16992689,0.20509781,0.63564513,0.21142067,0.25212409,0.2817625,0.20509781,0.12882829,5061.0,0.27066862,1.6446533,2.5351531,0.21304809
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,188000 to 250000,1.9333724,0.04845643,0.17096522,0.57209848,0.2710043,0.25420086,0.23544353,0.21668621,0.16451739,5118.0,0.23771722,1.5423276,2.3244172,0.20226048
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 250000,1.9659007,0.04484804,0.15826538,0.31745738,0.17679763,0.18383988,0.33802817,0.4471831,0.2994811,5396.0,0.20809489,1.6235846,2.3082168,0.17412685
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.8409233,0.16531503,0.5797879,0.65165315,0.37791641,0.33412352,0.33038054,0.29569557,0.10605115,8015.0,0.25710323,2.4179885,3.2638581,0.14887231
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 201000,2.6871874,0.17699115,0.57329742,0.69796075,0.39669104,0.30550212,0.29472874,0.17583686,0.0661793,2599.0,0.44644321,1.9527883,3.4215865,0.27329657
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,201000 to 291000,3.1079437,0.18624097,0.68795135,0.76358799,0.50703155,0.31508932,0.29152414,0.21626758,0.14025086,2631.0,0.56964282,2.1708813,4.0450062,0.3015056
