Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1026512,0.12751972,0.21822962,0.35604733,0.25525855,0.23389571,0.37828659,0.33435583,0.19905784,9128.0,0.20129406,1.7715225,2.4337799,0.15748153
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,2.1682243,0.17403946,0.25607477,0.50986501,0.22616822,0.29075805,0.37362409,0.21806854,0.11962617,4815.0,0.32830659,1.62816,2.7082886,0.2490814
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,2.0294459,0.07558544,0.1759796,0.18432645,0.28773476,0.17041502,0.38349177,0.46417807,0.28773476,4313.0,0.26106949,1.5999865,2.4589052,0.21161408
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6492841,0.17562147,0.48344216,0.56498697,0.34531374,0.31557989,0.34775862,0.27394372,0.14263754,68306.0,0.09311328,2.4961128,2.8024554,0.05781612
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,213000,2.8332638,0.23430939,0.6027363,0.73935653,0.39473318,0.29949112,0.28847919,0.18595145,0.08820667,35961.0,0.14231368,2.5991578,3.0673698,0.08262767
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,213000,2.4447364,0.11037255,0.35081156,0.37112382,0.29036945,0.33346731,0.41366517,0.37177307,0.2031535,32345.0,0.12182531,2.2443338,2.6451391,0.08197311
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.6447868,0.21383582,1.0173859,0.71839051,0.53844152,0.49086461,0.35716517,0.21146739,0.09723596,38422.0,0.15875642,3.3836325,3.9059412,0.07165147
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,270000,3.8379894,0.25137661,1.1418035,0.89997474,0.53367012,0.45157868,0.29825714,0.17630715,0.08502147,19795.0,0.23475159,3.451823,4.2241558,0.10061684
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,270000,3.4394696,0.17394105,0.88516669,0.52542009,0.54351211,0.53261395,0.419767,0.24883234,0.11021635,18627.0,0.19596957,3.1170996,3.7618395,0.09372664
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.861414,0.17094618,0.16285614,0.73197327,0.13366163,0.16144917,0.18079493,0.18079493,0.13893774,2843.0,0.31335193,1.3459501,2.3768779,0.27692062
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,149000,1.956631,0.28472659,0.18164676,0.83155248,0.11062225,0.22438718,0.11125079,0.13136392,0.08108108,1591.0,0.42825536,1.252151,2.6611111,0.36004747
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,149000,1.7404153,0.02635783,0.13897764,0.60543131,0.1629393,0.08146965,0.26916933,0.24361022,0.21246006,1252.0,0.49286511,0.92965222,2.5511784,0.46584461
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.3997754,0.24424481,0.32201011,0.77512633,0.3635598,0.12408759,0.23975295,0.17237507,0.15861875,3562.0,0.39517565,1.7497115,3.0498394,0.27088533
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,161000,2.5830588,0.30870588,0.36894118,0.98588235,0.46635294,0.06776471,0.08705882,0.08611765,0.21223529,2125.0,0.59171608,1.6096859,3.5564318,0.37682957
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,161000,2.1287404,0.14892136,0.2526096,0.46346555,0.21155184,0.20737648,0.46555324,0.29993041,0.07933194,1437.0,0.45377246,1.3822847,2.8751961,0.35065604
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3680451,0.01090226,0.05488722,0.47067669,0.10488722,0.07744361,0.29285714,0.22556391,0.13082707,2660.0,0.27256568,0.91967457,1.8164157,0.32774544
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,85000,1.3647541,0.0,0.06352459,0.3613388,0.07445355,0.10314208,0.4057377,0.19193989,0.16461749,1464.0,0.3528627,0.78429495,1.9452132,0.42532142
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,85000,1.3720736,0.02424749,0.04431438,0.60451505,0.14214047,0.04598662,0.15468227,0.26672241,0.08946488,1196.0,0.40193827,0.71088512,2.033262,0.48188995
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.103959,0.21361435,0.28766733,0.96468243,0.22529194,0.15807462,0.09171176,0.06949587,0.09342068,3511.0,0.30195299,1.6072463,2.6006717,0.23608477
"2-4 Units  (Own/Rent), 2 BR",    Below Median,97000,2.1736434,0.27080103,0.35348837,0.89922481,0.21550388,0.17726098,0.09819121,0.03824289,0.12093023,1935.0,0.47268031,1.3960843,2.9512025,0.35772156
"2-4 Units  (Own/Rent), 2 BR",    Above Median,97000,2.018401,0.14340102,0.20685279,1.0450508,0.23730964,0.13451777,0.08375635,0.10786802,0.05964467,1576.0,0.42607667,1.3175049,2.7192971,0.34725315
"2-4 Units (Own/Rent), 3 BR",All Values,,2.9252057,0.44652206,0.64547494,0.80553478,0.38369484,0.20568437,0.13612565,0.20493642,0.09723261,1337.0,0.64745166,1.8601477,3.9902637,0.36409678
"2-4 Units (Own/Rent), 3 BR",    Below Median,118000,3.2338129,0.52877698,0.88489209,0.99160671,0.39448441,0.117506,0.0971223,0.18465228,0.03477218,834.0,0.98729904,1.609706,4.8579199,0.50222661
"2-4 Units (Own/Rent), 3 BR",    Above Median,118000,2.4135189,0.31013917,0.24850895,0.49701789,0.36580517,0.35188867,0.20079523,0.23856859,0.20079523,503.0,0.85934442,0.99989732,3.8271405,0.58570976
"5-49 Units (Own), 0-1 BR",All Values,,0.9893617,0.0,0.0,0.04255319,0.0,0.53723404,0.23404255,0.17021277,0.00531915,188.0,0.81246241,-0.34713896,2.3258624,1.3508716
"5-49 Units (Own), 0-1 BR",    Below Median,220000,0.98802395,0.0,0.0,0.04790419,0.0,0.60479042,0.26347305,0.06586826,0.00598802,167.0,0.89380718,-0.48228886,2.4583368,1.4881348
"5-49 Units (Own), 0-1 BR",    Above Median,220000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,1.3234326,-1.1770467,3.1770467,2.1770467
"5-49 Units (Own), 2 BR",All Values,,1.1923077,0.02307692,0.04615385,0.01538462,0.0,0.0,0.23846154,0.20769231,0.66153846,130.0,0.95221072,-0.37407894,2.7586943,1.3137436
"5-49 Units (Own), 2 BR",    Below Median,106000,1.1130435,0.0,0.0,0.0,0.0,0.0,0.23478261,0.13043478,0.74782609,115.0,1.0063778,-0.54244802,2.768535,1.4873556
"5-49 Units (Own), 2 BR",    Above Median,106000,1.8,0.2,0.4,0.13333333,0.0,0.0,0.26666667,0.8,0.0,15.0,1.9150608,-1.350275,4.950275,1.7501528
"5-49 Units (Own), 3 BR",All Values,,1.44,0.0,0.0,0.52,0.0,0.0,0.0,0.92,0.0,25.0,1.4199238,-0.8957747,3.7757747,1.6220658
"5-49 Units (Own), 3 BR",    Below Median,160000,0.92857143,0.0,0.0,0.92857143,0.0,0.0,0.0,0.0,0.0,14.0,1.5401873,-1.6050367,3.4621796,2.7285011
"5-49 Units (Own), 3 BR",    Above Median,160000,2.0909091,0.0,0.0,0.0,0.0,0.0,0.0,2.0909091,0.0,11.0,3.0448927,-2.9179394,7.0997576,2.3955362
"5-49 Units (Rent), 0-1 BR",All Values,,1.1729981,0.02705657,0.03689533,0.37441924,0.11615195,0.18147035,0.19513528,0.08909538,0.15277398,3659.0,0.20083597,0.84262291,1.5033733,0.28165022
"5-49 Units (Rent), 0-1 BR",    Below Median,91000,1.1369396,0.01754386,0.04239766,0.19590643,0.16325536,0.26754386,0.20175439,0.06676413,0.18177388,2052.0,0.25152715,0.72317741,1.5507017,0.36392625
"5-49 Units (Rent), 0-1 BR",    Above Median,91000,1.2190417,0.03920348,0.02986932,0.60236465,0.05600498,0.07156192,0.18668326,0.11761045,0.11574362,1607.0,0.2858273,0.74885579,1.6892276,0.38570125
"5-49 Units (Rent), 2 BR",All Values,,2.3209341,0.18371564,0.31762761,1.0305848,0.21678033,0.21967349,0.15974375,0.14465799,0.04815044,4839.0,0.36345315,1.7230536,2.9188145,0.25760337
"5-49 Units (Rent), 2 BR",    Below Median,107000,2.309434,0.13660377,0.35698113,1.0392453,0.18603774,0.26415094,0.20566038,0.08528302,0.0354717,2650.0,0.50621593,1.4767088,3.1421592,0.36057546
"5-49 Units (Rent), 2 BR",    Above Median,107000,2.3348561,0.2407492,0.2699863,1.0201005,0.25399726,0.16582915,0.10415715,0.21653723,0.06349931,2189.0,0.5189692,1.4811518,3.1885604,0.36563467
"5-49 Units (Rent), 3 BR",All Values,,3.2073171,0.38163558,0.96915352,1.3220947,0.31492109,0.1276901,0.07460545,0.01721664,0.0,1394.0,0.78198481,1.9209521,4.4936821,0.40107198
"5-49 Units (Rent), 3 BR",    Below Median,145000,3.8558442,0.64805195,1.4220779,1.287013,0.37402597,0.12207792,0.0025974,0.0,0.0,770.0,1.1992271,1.8831156,5.8285727,0.5116204
