Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1043523,0.08585543,0.19890094,0.356106,0.23326716,0.28843782,0.39353456,0.3227273,0.22552305
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 125000,1.8951879,0.0793972,0.15309649,0.33803749,0.19814273,0.2575116,0.37435003,0.2942834,0.20036896
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,125000 to 251000,2.1082471,0.08238729,0.21132219,0.39423653,0.24961893,0.29559019,0.36868009,0.30147499,0.20493687
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 251000,2.3062545,0.09571412,0.23142978,0.33537094,0.25131564,0.31164732,0.43751963,0.37218584,0.27107128
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6933323,0.1387142,0.41131723,0.49372023,0.3179627,0.37621264,0.43709577,0.31652208,0.2017875
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 165000,2.4524053,0.12676143,0.37990372,0.46751786,0.28695535,0.32217014,0.39372451,0.28565509,0.18971718
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,165000 to 374000,2.6659187,0.1410787,0.4076025,0.48694969,0.325352,0.36959389,0.43137194,0.31708817,0.18688181
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 374000,2.9500493,0.14760137,0.44493458,0.52555556,0.33972005,0.43428226,0.48412473,0.34519753,0.22863322
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.3697658,0.19166244,0.6864178,0.62547098,0.41400636,0.48756554,0.48005325,0.30172017,0.18286928
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 262000,3.1436122,0.18700373,0.66647866,0.61461572,0.39593571,0.41113691,0.41158538,0.27875573,0.17810036
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,262000 to 523000,3.4558597,0.20037162,0.67722976,0.65615136,0.43775862,0.5152795,0.49380412,0.29880548,0.17645924
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 523000,3.5025001,0.18784474,0.71397097,0.60676282,0.4086728,0.53372814,0.53187129,0.3262106,0.19343875
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.1906974,0.11906486,0.23335313,0.43228552,0.25947384,0.26649633,0.33162721,0.30167384,0.24672271
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 193000,2.0560715,0.14121901,0.26683508,0.51625926,0.24994428,0.25209897,0.2433316,0.21824306,0.16814028
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,193000 to 387000,2.1314916,0.11361922,0.20192549,0.43796189,0.26295812,0.24317531,0.30259917,0.30179478,0.26745764
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 387000,2.3730226,0.10320135,0.23097445,0.34765515,0.26523448,0.30181129,0.44208088,0.38039408,0.30167088
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,3.0474386,0.17762348,0.49353592,0.61734756,0.37489655,0.41115798,0.42639222,0.33754516,0.20893971
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 332000,3.0572996,0.23448457,0.57832848,0.73660363,0.39590365,0.36064235,0.32308475,0.26691017,0.16134203
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,332000 to 630000,3.0194465,0.13997013,0.44512408,0.57443361,0.35836167,0.4579613,0.46800229,0.35305519,0.22253821
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 630000,3.0633894,0.15886442,0.45863839,0.54574016,0.37031403,0.41587649,0.48445474,0.38882334,0.24067782
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.6544893,0.07792913,0.11254921,0.4941621,0.24289873,0.21611908,0.24218974,0.16062135,0.10801994
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 103000,1.3181011,0.03937994,0.04700553,0.37894653,0.14592201,0.1787576,0.24725137,0.17001662,0.11082152
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,103000 to 178000,1.7159437,0.1019552,0.13998746,0.52936214,0.25390184,0.23444109,0.2264493,0.14406886,0.0857778
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 178000,1.9242301,0.09221204,0.14996595,0.5726947,0.32723498,0.23482202,0.2526371,0.1676136,0.12704968
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.4888813,0.18471781,0.36167333,0.66193454,0.36677077,0.31562743,0.28741202,0.18697724,0.12376814
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 129000,2.0539532,0.1445664,0.27040393,0.65522302,0.24671687,0.24372408,0.24999043,0.15315551,0.09017293
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,129000 to 225000,2.7308857,0.21925622,0.45457196,0.71753872,0.43933632,0.35831622,0.28226481,0.16499354,0.09460795
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 225000,2.6772991,0.19001339,0.35943875,0.61339134,0.41306193,0.34411874,0.32938336,0.24210268,0.18578891
"2-4 Units (Own/Rent), 3 BR",All Values,,3.397721,0.24189351,0.66353916,0.92621597,0.45805255,0.41015868,0.35408883,0.21595332,0.12781892
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 170000,3.0705173,0.24255683,0.70063032,0.89261886,0.38598873,0.33798531,0.27390532,0.15131932,0.08551264
"2-4 Units (Own/Rent), 3 BR",Second Tercile,170000 to 325000,3.7861072,0.29959183,0.77437961,1.1079606,0.57529444,0.45556455,0.3199419,0.16301762,0.09035667
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 325000,3.3355914,0.18392272,0.51674475,0.77891464,0.41287675,0.43644957,0.46732723,0.33247378,0.20688197
"5-49 Units (Own), 0-1 BR",All Values,,1.4850903,0.04740473,0.05823125,0.2577951,0.23986946,0.22551658,0.26443022,0.23826095,0.15358203
"5-49 Units (Own), 0-1 BR",First Tercile,Below 230000,1.4467853,0.03373745,0.06166153,0.22746696,0.19944351,0.21196462,0.28420948,0.26065786,0.16764384
"5-49 Units (Own), 0-1 BR",Second Tercile,230000 to 530000,1.4289922,0.02872938,0.05020845,0.25847381,0.23445713,0.21914084,0.2562534,0.22711619,0.15461301
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 530000,1.5745259,0.0779984,0.06303980000000001,0.28430238,0.2814086,0.24392307,0.25474134,0.22914255,0.13996973
"5-49 Units (Own), 2 BR",All Values,,2.1841257,0.16023144,0.22500227,0.33850654,0.3436064,0.3233364,0.30987483,0.26243577,0.22113207
"5-49 Units (Own), 2 BR",First Tercile,Below 318000,1.9719043,0.09956296,0.16961498,0.36091571,0.23504683,0.27363163,0.32591051,0.2603538,0.24686785
"5-49 Units (Own), 2 BR",Second Tercile,318000 to 722000,2.2689034,0.13935015,0.26742823,0.32549079,0.36123615,0.34826191,0.3212543,0.29874797,0.20713394
