Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0139948,0.08842763,0.19288061,0.3794968,0.20626384,0.26435245,0.34775625,0.30818296,0.22663421
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 90000,1.9956563,0.09284653,0.23212074,0.38472699,0.20641212,0.26642839,0.35107399,0.26679111,0.19525638
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,90000 to 157000,2.1041504,0.11161667,0.22838069,0.4808819,0.23711186,0.28129474,0.32763846,0.2452633,0.19196276
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 157000,1.9427017,0.06110192,0.11909653,0.27388807,0.17555053,0.2455218,0.36442684,0.41125424,0.29186178
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5396475,0.13849041,0.38734846,0.47945371,0.31256231,0.34357328,0.37761702,0.30984307,0.19075921
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 142000,2.6149749,0.14467033,0.46069202,0.53232838,0.31705883,0.33360667,0.35540556,0.27530766,0.19590541
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,142000 to 231000,2.5782452,0.15575765,0.39543993,0.54537421,0.3294323,0.34690443,0.35281638,0.28321165,0.16930862
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 231000,2.4303546,0.11558075,0.31009431,0.36434369,0.29163499,0.34969009,0.42311336,0.36878635,0.20711104
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2583273,0.20120386,0.74098471,0.53919841,0.46667664,0.49484831,0.40144458,0.27290008,0.14107073
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 243000,3.423195,0.22010104,0.78509772,0.725416,0.47974524,0.42866288,0.37276912,0.24722019,0.16418282
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,243000 to 407000,3.1938791,0.2005943,0.69099252,0.5356135,0.45983829,0.49053164,0.41140893,0.27100869,0.13389125
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 407000,3.1626482,0.1836883,0.7470272,0.36425536,0.46076379,0.56242871,0.41928919,0.29933044,0.12586527
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8139242,0.0975469,0.1749376,0.57964519,0.26353364,0.17296492,0.19795217,0.18411659,0.14322714
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 116000,1.9511129,0.16238513,0.25288952,0.6270778,0.25603431,0.19616091,0.20020421,0.17018583,0.08617521
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,116000 to 167000,1.8623901,0.08967019,0.18808967,0.67998549,0.29154907,0.19280703,0.17361503,0.14648012,0.10019353
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 167000,1.6331497,0.04236851,0.08636201,0.43498078,0.24327217,0.13095002,0.21969006,0.234632,0.24089414
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.2650213,0.15209313,0.34902619,0.57243116,0.33819118,0.2462167,0.24171704,0.22610253,0.13924334
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 166000,2.5293914,0.25082988,0.49726833,0.77648686,0.33509682,0.22458506,0.19664592,0.14436376,0.1041148
