Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1108296,0.10097083,0.23066503,0.35566816,0.21686777,0.25457191,0.33855957,0.37884755,0.23467877
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,180000,2.2072359,0.15015177,0.32213845,0.49838441,0.24953491,0.25736806,0.30936062,0.23935181,0.18094585
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,180000,2.0095179,0.04928744,0.13453722,0.20569018,0.18253846,0.25163348,0.36924422,0.52544117,0.29114575
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6608057,0.17977076,0.46103488,0.53525068,0.40303942,0.37918136,0.32668318,0.2567091,0.11913631
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,215000,2.7593313,0.21380732,0.53223065,0.67019696,0.4347295,0.38406535,0.26857855,0.17411064,0.0816123
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,215000,2.5570632,0.14393196,0.38606927,0.39315896,0.36967134,0.37403877,0.38786447,0.34368117,0.15864722
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4348394,0.24174019,0.87849842,0.5656791,0.56886215,0.56816887,0.33164937,0.20684718,0.07339408
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,340000,3.5366701,0.26699934,0.90796629,0.71462977,0.59052172,0.523367,0.30325704,0.16276818,0.0671607
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,340000,3.3312108,0.21603508,0.84851028,0.41409866,0.54682017,0.61376173,0.36054298,0.2517044,0.07973751
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7368497,0.08760838,0.12637283,0.56448699,0.30538295,0.15827312,0.18031069,0.17294075,0.14147399
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,158000,1.8179747,0.13322289,0.15054877,0.68205978,0.3259474,0.16538966,0.13619107,0.14716643,0.07744875
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,158000,1.6477678,0.0375199,0.09982567,0.4353824,0.28280149,0.15045858,0.22875767,0.20124308,0.21177897
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.1963233,0.14364348,0.30208885,0.57291556,0.34956424,0.25369606,0.24796232,0.21112522,0.11532762
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,201000,2.3244372,0.18067256,0.37898771,0.70470239,0.38309626,0.22710952,0.20263085,0.14745891,0.09977904
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,201000,2.0624504,0.10494985,0.22173317,0.43520456,0.31452486,0.28147774,0.29533155,0.27765351,0.13157515
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3479589,0.02679811,0.04707026,0.3686476,0.26367676,0.15579006,0.22396557,0.15051375,0.11149681
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,74000,1.1764402,0.01524154,0.02454146,0.19168174,0.2634978,0.16843193,0.23327306,0.1482821,0.13149057
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,74000,1.5472831,0.04022816,0.07325128,0.57430201,0.26388472,0.14109877,0.2131492,0.15310718,0.08826178
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.030483,0.17589376,0.29799395,0.74352796,0.16255744,0.20811386,0.20066121,0.14473832,0.09699653
"2-4 Units  (Own/Rent), 2 BR",    Below Median,95000,2.0676591,0.23630708,0.29941118,0.76913676,0.13009666,0.21797578,0.21253194,0.13142984,0.07076991
"2-4 Units  (Own/Rent), 2 BR",    Above Median,95000,1.9926512,0.11441492,0.29655172,0.7174675,0.19559073,0.19807801,0.18858112,0.15828151,0.1236857
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8246269,0.25028703,0.71153846,0.84385763,0.33754305,0.22345006,0.18771527,0.16202641,0.10820896
"2-4 Units (Own/Rent), 3 BR",    Below Median,125000,2.8433378,0.27886945,0.81803499,1.0218035,0.31493943,0.17604307,0.1243607,0.06325707,0.04602961
"2-4 Units (Own/Rent), 3 BR",    Above Median,125000,2.8032585,0.21764525,0.589917,0.64063941,0.3633569,0.27758992,0.26006763,0.27482324,0.17921918
"5-49 Units (Own), 0-1 BR",All Values,,1.3656126,0.0,0.26416337,0.39789196,0.24176548,0.20158103,0.08827404,0.04677207,0.12516469
"5-49 Units (Own), 0-1 BR",    Below Median,170000,1.5170388,0.0,0.45123384,0.21151586,0.37837838,0.21621622,0.07168038,0.05170388,0.13631022
"5-49 Units (Own), 0-1 BR",    Above Median,170000,1.1724138,0.0,0.02548726,0.63568216,0.06746627,0.18290855,0.10944528,0.04047976,0.11094453
"5-49 Units (Own), 2 BR",All Values,,1.5194521,0.00785388,0.04584475,0.43707763,0.15378995,0.16511416,0.21296804,0.24767123,0.24913242
"5-49 Units (Own), 2 BR",    Below Median,180000,1.4833276,0.01168787,0.05190787,0.44276384,0.14953592,0.21519422,0.15022344,0.29460296,0.16741148
"5-49 Units (Own), 2 BR",    Above Median,180000,1.5604053,0.0035074,0.03897116,0.43063133,0.15861263,0.10833983,0.28409977,0.1944661,0.34177708
"5-49 Units (Own), 3 BR",All Values,,1.9485834,0.05351522,0.18677859,0.33823015,0.08289612,0.29625743,0.40013991,0.30710038,0.28366562
"5-49 Units (Own), 3 BR",    Below Median,249000,2.2056878,0.10119048,0.28968254,0.57671958,0.07539683,0.25198413,0.39087302,0.37698413,0.14285714
"5-49 Units (Own), 3 BR",    Above Median,249000,1.6599852,0.0,0.07126949,0.0705271,0.09131403,0.34595397,0.41054195,0.22865627,0.44172235
"5-49 Units (Rent), 0-1 BR",All Values,,1.327342,0.04325324,0.03731176,0.75496058,0.15175068,0.10164045,0.09822129,0.08333022,0.05687381
"5-49 Units (Rent), 0-1 BR",    Below Median,111000,1.2819038,0.05081889,0.04015682,0.64584326,0.1273953,0.11321584,0.13039974,0.10314,0.07093394
"5-49 Units (Rent), 0-1 BR",    Above Median,111000,1.3746235,0.03538069,0.03435129,0.86850433,0.17709406,0.08959549,0.0647375,0.06271684,0.04224332
"5-49 Units (Rent), 2 BR",All Values,,2.0446942,0.14454933,0.2659989,0.85327012,0.3070073,0.20186261,0.14038518,0.08046931,0.05115147
"5-49 Units (Rent), 2 BR",    Below Median,131000,2.0147873,0.15588541,0.31584718,0.81125074,0.26892693,0.17924714,0.15625088,0.07239043,0.05498861
