Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0633396,0.13448405,0.19756098,0.39080675,0.22142589,0.25110694,0.38675422,0.2539212,0.22727955,26650.0,0.10327402,1.8934538,2.2332253,0.08233534
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 85000,2.0152152,0.13614171,0.24775747,0.38185534,0.21982514,0.26104235,0.2710344,0.24355626,0.2540025,8807.0,0.14940422,1.7694452,2.2609851,0.12195718
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,85000 to 166000,2.1107296,0.15965665,0.17253219,0.53010423,0.24463519,0.22636419,0.42158185,0.1741263,0.181729,8155.0,0.23727287,1.7204157,2.5010435,0.18491894
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 166000,2.0671965,0.11178778,0.17299752,0.28168869,0.20334434,0.26290256,0.46263419,0.33051197,0.24132948,9688.0,0.19413408,1.747846,2.3865471,0.15448486
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.4845566,0.17617678,0.38488558,0.45094261,0.29526322,0.280546,0.40600545,0.31439708,0.17633982,67472.0,0.07666763,2.3584383,2.6106748,0.05076087
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 133000,2.4126502,0.16572206,0.396146,0.47195647,0.24992065,0.265382,0.39551122,0.28574019,0.18227159,22055.0,0.11667073,2.2207268,2.6045736,0.07954877
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,133000 to 236000,2.4830995,0.1956138,0.3598535,0.47436237,0.34551231,0.26167152,0.38902127,0.26789339,0.1891713,22662.0,0.13426353,2.262236,2.703963,0.0889467
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 236000,2.555702,0.16695232,0.39890134,0.40725115,0.28916722,0.31404087,0.43309163,0.38848605,0.15781147,22755.0,0.15289428,2.304191,2.8072131,0.09841174
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.0984623,0.22930426,0.76065037,0.55080665,0.43757247,0.37756491,0.3822662,0.24769347,0.11260398,79340.0,0.06838129,2.9859751,3.2109495,0.03630421
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 209000,2.8195983,0.17760195,0.60604585,0.56964902,0.31625076,0.31547981,0.40292149,0.267113,0.16453642,24645.0,0.13375909,2.5995646,3.039632,0.07803725
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,209000 to 319000,3.0864259,0.22125176,0.76421679,0.59826843,0.42526412,0.36572714,0.33319349,0.27098669,0.10751745,26219.0,0.15168802,2.8368991,3.3359527,0.08084652
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 319000,3.350892,0.28146509,0.89117151,0.49079927,0.55390504,0.44219694,0.40957297,0.20943953,0.07234162,28476.0,0.14539253,3.1117213,3.5900627,0.07137524
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.6219742,0.10494275,0.03913611,0.3884621,0.12016234,0.17959125,0.23061313,0.24510799,0.31395854,6899.0,0.19366909,1.3033885,1.9405599,0.19641845
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 129000,1.8169078,0.22423146,0.09764919,0.6017179,0.13969259,0.26898734,0.15235081,0.16998192,0.16229656,2212.0,0.37494447,1.2001241,2.4336914,0.33946888
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,129000 to 198000,1.5378304,0.10118505,0.01367366,0.46718323,0.11668186,0.17228806,0.23245214,0.20282589,0.23154057,2194.0,0.31331932,1.0224202,2.0532407,0.33515416
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 198000,1.5230646,0.00240674,0.00962696,0.1299639,0.10589651,0.10669876,0.29843562,0.34897714,0.52105897,2493.0,0.26853813,1.0813194,1.9648098,0.2900371
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.3931808,0.16095283,0.46987389,0.85137786,0.33843998,0.15151798,0.19504904,0.12255955,0.10340962,10705.0,0.29156522,1.913556,2.8728055,0.20041311
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 160000,2.5234879,0.21123733,0.47835431,1.0810562,0.37150752,0.10561867,0.13939208,0.07737181,0.05894995,3257.0,0.51208837,1.6811025,3.3658732,0.33381788
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,160000 to 211000,2.4772595,0.16209913,0.58483965,0.94752187,0.3728863,0.18950437,0.1058309,0.0845481,0.03002915,3430.0,0.5285159,1.6078508,3.3466681,0.35095583
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 211000,2.215779,0.11921354,0.36485814,0.58312593,0.28222997,0.15629667,0.31632653,0.19163763,0.20209059,4018.0,0.40306195,1.5527421,2.8788159,0.29923422
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.6679049,0.12803368,0.16493314,0.48687469,0.31822684,0.17632491,0.21619614,0.07602774,0.10128777,4038.0,0.32658645,1.1306702,2.2051396,0.32210152
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 50000,1.452078,0.0322307,0.26293469,0.19592875,0.16709075,0.2985581,0.32145886,0.08821035,0.08566582,1179.0,0.46657284,0.68456571,2.2195904,0.52856135
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,50000 to 79000,1.3024162,0.04598597,0.0,0.49025721,0.35853468,0.06313328,0.19407638,0.08339829,0.0670304,1283.0,0.42546463,0.60252689,2.0023055,0.53737761
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 79000,2.1269036,0.26649746,0.22588832,0.70177665,0.39847716,0.17703046,0.15545685,0.06091371,0.14086294,1576.0,0.67219174,1.0211481,3.232659,0.51988978
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.6716363,0.11255041,0.14884517,0.6445069,0.22534523,0.13479164,0.13466944,0.14212392,0.12880362,8183.0,0.18066156,1.3744481,1.9688246,0.17778284
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 70000,1.39,0.10416667,0.05333333,0.55541667,0.13875,0.09125,0.16291667,0.12416667,0.16,2400.0,0.25642089,0.96818764,1.8118124,0.30346213
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,70000 to 94000,1.7210759,0.09579956,0.20928519,0.77118644,0.14369934,0.20633751,0.11864407,0.0843773,0.0917465,2714.0,0.31481205,1.2032101,2.2389417,0.30089656
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 94000,1.848159,0.13391984,0.17008798,0.60215054,0.36526556,0.10557185,0.12675138,0.20723363,0.13717823,3069.0,0.41961283,1.1578959,2.5384221,0.37348686
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8193431,0.24574209,0.68826034,0.80474453,0.31478102,0.30717762,0.19221411,0.10918491,0.15723844,3288.0,0.7225271,1.630786,4.0079001,0.42157235
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 129000,3.0284939,0.41791045,1.1004071,0.54816825,0.54274084,0.15603799,0.09769335,0.04748982,0.11804613,737.0,1.290709,0.90527751,5.1517103,0.70107996
"2-4 Units (Own/Rent), 3 BR",Second Tercile,129000 to 166000,2.5960145,0.24637681,0.2807971,1.2074275,0.03623188,0.35597826,0.41032609,0.05434783,0.00452899,1104.0,0.97314624,0.99518892,4.1968401,0.61664739
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 166000,2.8832066,0.15756738,0.78921907,0.62819627,0.41119558,0.34692467,0.0739461,0.18244644,0.29371113,1447.0,1.2304483,0.85911923,4.907294,0.70202648
"5-49 Units (Own), 0-1 BR",All Values,,2.6793651,0.38412698,0.7968254,0.13015873,1.1269841,0.0,0.06031746,0.0,0.18095238,315.0,1.8132599,-0.30344739,5.6621775,1.1132535
"5-49 Units (Own), 0-1 BR",First Tercile,Below 120000,1.0,0.0,0.0,0.4375,0.0,0.0,0.5625,0.0,0.0,16.0,1.219551,-1.0061614,3.0061614,2.0061614
"5-49 Units (Own), 0-1 BR",Second Tercile,120000 to 189000,1.0178571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0178571,56.0,1.4385553,-1.3485663,3.3842806,2.3249072
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 189000,3.1728395,0.49794239,1.0329218,0.1399177,1.4609053,0.0,0.04115226,0.0,0.0,243.0,2.3819676,-0.74549716,7.0911762,1.2349621
"5-49 Units (Own), 2 BR",All Values,,1.3064516,0.0,0.08979948,0.14821273,0.11421099,0.03138622,0.29773322,0.18744551,0.43766347,2294.0,0.28357299,0.83997405,1.7729292,0.3570569
"5-49 Units (Own), 2 BR",First Tercile,Below 97000,1.295499,0.0,0.18003914,0.07240705,0.43052838,0.0,0.08610568,0.09001957,0.43639922,511.0,0.60475783,0.3006724,2.2903256,0.76790998
"5-49 Units (Own), 2 BR",Second Tercile,97000 to 160000,1.3016043,0.0,0.12192513,0.28235294,0.03101604,0.02673797,0.57540107,0.0802139,0.18395722,935.0,0.4450469,0.56950213,2.0337064,0.56246138
"5-49 Units (Own), 2 BR",Third Tercile ,Above 160000,1.3183962,0.0,0.0,0.04599057,0.01533019,0.05542453,0.11910377,0.36438679,0.71816038,848.0,0.42650418,0.61679685,2.0199956,0.53216125
"5-49 Units (Own), 3 BR",All Values,,1.9509804,0.2745098,0.0,0.0,0.6372549,0.32352941,0.2745098,0.15686275,0.28431373,102.0,1.6845561,-0.82011432,4.7220751,1.4203601
"5-49 Units (Own), 3 BR",First Tercile,Below 53000,2.6666667,0.0,0.0,0.0,0.0,0.0,0.0,2.6666667,0.0,6.0,4.1208593,-4.1121469,9.4454802,2.5420551
"5-49 Units (Own), 3 BR",Second Tercile,53000 to 191000,1.8484848,0.0,0.0,0.0,0.0,1.0,0.84848485,0.0,0.0,33.0,2.7100633,-2.6095693,6.306539,2.4117342
"5-49 Units (Own), 3 BR",Third Tercile ,Above 191000,1.9365079,0.44444444,0.0,0.0,1.031746,0.0,0.0,0.0,0.46031746,63.0,2.1817535,-1.6524766,5.5254925,1.8533281
"5-49 Units (Rent), 0-1 BR",All Values,,1.1255329,0.00159227,0.02095639,0.55138939,0.10904515,0.12368381,0.12866608,0.1122297,0.07797011,19469.0,0.0960791,0.96748278,1.283583,0.14042247
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 66000,1.1091234,0.00422833,0.03529029,0.4304765,0.13709546,0.08700602,0.15319564,0.16360384,0.09822735,6149.0,0.16245963,0.84187734,1.3763695,0.24095253
"5-49 Units (Rent), 0-1 BR",Second Tercile,66000 to 88000,1.060112,0.00082345,0.0,0.63043478,0.0890975,0.13438735,0.07888669,0.10424901,0.0222332,6072.0,0.16830428,0.78325145,1.3369725,0.26116159
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 88000,1.1942605,0.0,0.0263521,0.58774834,0.10195916,0.14583333,0.1495585,0.07533113,0.10747792,7248.0,0.14817127,0.95051875,1.4380022,0.20409428
"5-49 Units (Rent), 2 BR",All Values,,1.8723397,0.15887882,0.19634105,0.92792884,0.15797247,0.13719369,0.15172877,0.0632427,0.07905337,29790.0,0.10790836,1.6948305,2.049849,0.09480611
"5-49 Units (Rent), 2 BR",First Tercile,Below 81000,1.6858286,0.10970731,0.19383028,0.81048642,0.15361129,0.1435039,0.10918088,0.07927985,0.08622868,9498.0,0.15860022,1.4249312,1.946726,0.15475913
"5-49 Units (Rent), 2 BR",Second Tercile,81000 to 102000,1.871325,0.12220698,0.27322619,0.82007056,0.17355939,0.1752254,0.19355155,0.04086633,0.07261858,10204.0,0.18595228,1.5654335,2.1772165,0.16346252
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 102000,2.0489691,0.24226804,0.12093577,1.1476011,0.14631245,0.09278351,0.14948454,0.07077716,0.0788065,10088.0,0.24092416,1.6526488,2.4452893,0.19342422
"5-49 Units (Rent), 3 BR",All Values,,3.0039858,0.42759079,0.73228521,1.1341895,0.26262179,0.15921169,0.13551816,0.08901683,0.06355182,4516.0,0.54801147,2.102507,3.9054647,0.30009425
