Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0624044,0.15356378,0.2018966,0.26827776,0.38880392,0.20434384,0.32884674,0.32854084,0.18813093
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,250000,2.0182119,0.18156733,0.24006623,0.299117,0.51655629,0.1307947,0.32339956,0.20640177,0.12030905
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,250000,2.1173644,0.11873713,0.1544269,0.2299245,0.2299245,0.29581332,0.33562114,0.48043926,0.27247769
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7026525,0.25038704,0.49809062,0.5252348,0.45763237,0.30901022,0.35173909,0.25399938,0.05655898
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,260000,2.473477,0.21780694,0.40506092,0.54507966,0.47066542,0.22661668,0.37113402,0.17956888,0.05754452
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,260000,2.9834635,0.29030776,0.61208085,0.5009187,0.44166284,0.40996785,0.32797428,0.34519982,0.0553514
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.586372,0.32197663,1.0522315,0.57008776,0.67389366,0.51072317,0.29189544,0.13243231,0.03313154
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,350000,3.7565317,0.37155883,1.1560582,0.70664563,0.6815711,0.4657198,0.23373663,0.09749255,0.0437489
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,350000,3.3903868,0.26486923,0.93264667,0.4128042,0.66505099,0.5625568,0.35888115,0.17267495,0.02090276
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.5258558,0.03459578,0.00764749,0.36890022,0.12672979,0.10524399,0.18281136,0.26402039,0.43590677
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,200000,1.5286704,0.05986137,0.01323251,0.5847511,0.20163831,0.08758664,0.14807813,0.19659735,0.23692502
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,200000,1.5220017,0.0,0.0,0.07333909,0.02415876,0.12942192,0.23037101,0.35634167,0.70836928
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.2733449,0.15609756,0.37770035,0.89372822,0.278223,0.16202091,0.18745645,0.09425087,0.1238676
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,200000,2.3574539,0.18860972,0.4201005,1.1410385,0.22613065,0.13031826,0.15443886,0.04891122,0.0479062
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,200000,2.1822142,0.12087114,0.33176044,0.62577132,0.33466425,0.19637024,0.22323049,0.14337568,0.2061706
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,2.8642267,0.46871311,0.42030697,0.85596222,0.67768595,0.08854782,0.01770956,0.0472255,0.28807556
