Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.8032678,0.03458471,0.06652402,0.15946314,0.06329508,0.11565843,0.24734487,0.55957985,0.55681774,25705.0,0.09965755,1.6393312,1.9672045,0.09091088
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,310000,1.8653629,0.06235427,0.11380218,0.25626175,0.09575028,0.16321926,0.22767958,0.44956751,0.49672809,13295.0,0.15459981,1.6110462,2.1196796,0.1363363
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,310000,1.7367446,0.00483481,0.01587429,0.05576148,0.02852538,0.06470588,0.26841257,0.67743755,0.62119259,12410.0,0.13435519,1.5157303,1.9577588,0.12725779
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6871587,0.13700132,0.42769262,0.43544818,0.3141407,0.40781647,0.3724901,0.37860116,0.21396813,49255.0,0.10892188,2.5079822,2.8663352,0.06667879
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,351000,2.7660075,0.16529782,0.46662946,0.54533131,0.37126226,0.41543737,0.34207798,0.29056694,0.16940435,25082.0,0.15571984,2.5098484,3.0221666,0.0926097
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,351000,2.6053448,0.10764076,0.38729161,0.321433,0.25487114,0.39990899,0.40404584,0.46994581,0.26020767,24173.0,0.13593003,2.3817399,2.8289497,0.08582545
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.6003152,0.21878913,0.94512104,0.52784661,0.51540516,0.70932014,0.42769339,0.17285821,0.08328153,114215.0,0.08975687,3.4526651,3.7479652,0.04101031
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,553000,3.5683223,0.22256466,0.95235744,0.54828109,0.52498766,0.66214306,0.39752082,0.16823035,0.09223723,58729.0,0.12753723,3.3585235,3.778121,0.05879479
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,553000,3.634178,0.21479292,0.9374617,0.50621778,0.50526259,0.75925459,0.45962946,0.17775655,0.0738024,55486.0,0.11249987,3.4491157,3.8192403,0.05092274
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.1825669,0.17489237,0.28932427,0.46172085,0.37318275,0.2252449,0.23603918,0.23997005,0.18219255,16027.0,0.15631225,1.9254333,2.4397006,0.11781249
