Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9665201,0.0885827,0.17916618,0.38316003,0.20393172,0.26075687,0.35955554,0.29004451,0.20132257
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 84000,1.8518089,0.07336797,0.16086226,0.32323115,0.19029959,0.261839,0.38069576,0.28012465,0.18138855
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,84000 to 129000,2.0515567,0.11514333,0.23265129,0.48740478,0.23424064,0.27050478,0.32025895,0.23889883,0.15245411
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 129000,1.9962163,0.07742911,0.1444833,0.339597,0.18750798,0.25005743,0.37741507,0.35038667,0.26933973
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5136888,0.14029495,0.40778062,0.46893033,0.31141586,0.32684247,0.38532668,0.29508371,0.17801417
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 115000,2.4515772,0.13712688,0.41347692,0.49470898,0.28980895,0.30747278,0.36534026,0.26687529,0.17676718
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,115000 to 183000,2.5513452,0.14826902,0.42847707,0.51804502,0.32301041,0.3251856,0.36161014,0.27356363,0.17318429
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 183000,2.5351621,0.13549888,0.38230774,0.3970075,0.32035061,0.34658047,0.42711101,0.34242421,0.18388166
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2066512,0.21116419,0.75141214,0.55291767,0.43984233,0.45220411,0.40679285,0.25761177,0.13470617
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 173000,3.1900949,0.20888838,0.75962975,0.67435092,0.40395869,0.36906937,0.37182249,0.24395672,0.15841862
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,173000 to 300000,3.1792459,0.21198143,0.69617247,0.56144729,0.42790639,0.45422991,0.41518229,0.27085573,0.14147037
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 300000,3.2499317,0.21256821,0.79818558,0.42631059,0.48659005,0.53108268,0.4324998,0.25776654,0.10492824
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7998904,0.10161714,0.17188944,0.44803808,0.19375394,0.17178311,0.22795351,0.25268092,0.23217426
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 105000,1.8221166,0.13324279,0.21487853,0.5281676,0.19028218,0.18648458,0.22529048,0.18155525,0.16221518
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,105000 to 159000,1.8803191,0.12002561,0.22704886,0.51768125,0.23443656,0.18370764,0.19710402,0.21633668,0.18397853
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 159000,1.7008094,0.05374496,0.07759712,0.30444333,0.15760571,0.14626459,0.26039204,0.35544254,0.3453191
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.3949788,0.16381515,0.45426232,0.52301164,0.27329725,0.23707975,0.27411326,0.28333424,0.18606517
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 121000,2.6075007,0.23037913,0.64197783,0.63118073,0.30542718,0.2527913,0.2483334,0.18216024,0.11525091
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,121000 to 189000,2.4739841,0.17603687,0.51533305,0.60175953,0.30381232,0.23376623,0.23732719,0.25261835,0.15333054
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 189000,2.1140159,0.08767406,0.21434522,0.34351569,0.21323442,0.22497719,0.33395485,0.41056056,0.28575396
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3078014,0.03508192,0.04478838,0.4562996,0.16459382,0.1673991,0.2296911,0.13644509,0.07350243
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 64000,1.2306829,0.02429283,0.02185035,0.29639898,0.15282041,0.17239331,0.28827937,0.17523187,0.09941578
