Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0864859,0.11786223,0.22753009,0.46738906,0.23787211,0.24223057,0.34355476,0.2539565,0.19609059,174144.0,0.03911633,2.0221395,2.1508323,0.03083959
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 75000,2.0317863,0.09005825,0.22691251,0.36366181,0.22621276,0.28081101,0.39392614,0.26134038,0.18886343,57163.0,0.07383434,1.9103288,2.1532438,0.05977867
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,75000 to 115000,2.1460463,0.16196737,0.27558934,0.57374215,0.25812747,0.24032322,0.31516957,0.1840515,0.13707565,58413.0,0.07029014,2.030419,2.2616735,0.05387921
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 115000,2.0804706,0.10101079,0.18020079,0.46255634,0.22904999,0.20647794,0.32270182,0.31646974,0.26200314,58568.0,0.07741049,1.9531303,2.2078108,0.06120743
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6229709,0.16237057,0.46813525,0.5392832,0.33766483,0.30964148,0.34778005,0.27903936,0.1790562,635577.0,0.02188644,2.5869677,2.6589741,0.01372611
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 111000,2.6780766,0.16446475,0.52819521,0.57048559,0.32724024,0.31213444,0.3358233,0.25480173,0.18493131,204822.0,0.04312246,2.6071401,2.749013,0.02648783
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,111000 to 178000,2.6450799,0.18469394,0.49337966,0.62407681,0.34577433,0.28574777,0.31072628,0.2400603,0.16062081,217587.0,0.05068137,2.5617091,2.7284507,0.03151922
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 178000,2.5474555,0.13757224,0.38465905,0.42275107,0.33940366,0.33163514,0.39709056,0.34211514,0.19222866,213168.0,0.0439943,2.4750849,2.6198262,0.02840899
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.3909451,0.23398779,0.85461296,0.58881848,0.48157148,0.429785,0.39474359,0.26067805,0.14674779,257210.0,0.05596936,3.2988755,3.4830147,0.0271516
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 177000,3.5887206,0.27744234,0.92805988,0.77426799,0.45636605,0.39676467,0.3500281,0.24111957,0.16467198,83639.0,0.10434548,3.4170723,3.7603689,0.04782995
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,177000 to 300000,3.3142577,0.23294728,0.8054191,0.59618488,0.48249609,0.43075526,0.37585906,0.25118625,0.1394098,83667.0,0.10702653,3.1381991,3.4903163,0.05312159
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 300000,3.2783191,0.19452972,0.83206531,0.40943673,0.50415999,0.45960135,0.45391751,0.28770689,0.13690158,89904.0,0.1004783,3.1130323,3.4436059,0.05041816
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8797062,0.1441814,0.17762407,0.58021962,0.20543354,0.16001141,0.20792926,0.1948089,0.209498,14024.0,0.15431988,1.62585,2.1335624,0.135051
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 98000,1.7750502,0.11381388,0.15286766,0.52376702,0.17674626,0.17786208,0.26333408,0.18522651,0.18143272,4481.0,0.20606301,1.4360766,2.1140239,0.19096567
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,98000 to 129000,2.0613099,0.22724419,0.18999791,0.78531073,0.28311362,0.19711237,0.13559322,0.16258632,0.08035154,4779.0,0.31183048,1.5483488,2.574271,0.24885202
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 129000,1.7959698,0.08942065,0.18849706,0.42758186,0.15449202,0.10600336,0.22837951,0.2361461,0.3654492,4764.0,0.27870304,1.3375033,2.2544363,0.25527517
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.7470861,0.23207728,0.55388791,0.8266805,0.3784129,0.19511416,0.18713077,0.20804726,0.16573527,12526.0,0.28071626,2.2853078,3.2088643,0.16809748
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 116000,2.6493917,0.12773723,0.60827251,0.70559611,0.43041363,0.22822384,0.23892944,0.18053528,0.1296837,4110.0,0.46778936,1.8798782,3.4189052,0.29044912
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,116000 to 153000,3.2899379,0.40372671,0.6668323,1.338882,0.4578882,0.17440994,0.14708075,0.05639752,0.0447205,4025.0,0.48046151,2.4995787,4.0802971,0.24023529
