Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.080203,0.07945854,0.21340102,0.34544839,0.20967851,0.2119797,0.34172589,0.45502538,0.22348562
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,2.2070898,0.12967549,0.30261958,0.43594422,0.27303532,0.26352144,0.26847387,0.32125635,0.21256353
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,1.9431146,0.02520417,0.11700929,0.24767671,0.14122782,0.156294,0.42086736,0.59954942,0.23528583
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.6281536,0.15946154,0.43194374,0.46903793,0.3861502,0.34358456,0.34192627,0.34418757,0.1518618
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,350000,2.6690672,0.19427264,0.45498602,0.57236296,0.39725494,0.32285012,0.29095993,0.28607981,0.15030077
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,350000,2.5832341,0.121242,0.40664533,0.35559607,0.37395818,0.36634916,0.39788287,0.40798482,0.15357568
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.515926,0.25017486,0.89088561,0.59754654,0.61247713,0.55993759,0.33323469,0.1925912,0.07907834
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,485000,3.691071,0.2884135,0.93119851,0.76213128,0.65429179,0.5088759,0.29516343,0.17066171,0.08033484
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,485000,3.3364112,0.21098219,0.84956692,0.42885548,0.56961922,0.61227325,0.37225582,0.21506782,0.07779049
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.073923,0.15443329,0.20995399,0.76432455,0.31022585,0.21999164,0.16154329,0.14742785,0.10602258
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,250000,2.3311217,0.25793075,0.30230147,1.0435414,0.23719677,0.17831225,0.10926809,0.09247356,0.11009745
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,250000,1.8122759,0.04914575,0.11600928,0.48027842,0.38451803,0.2623919,0.21472263,0.20333263,0.10187724
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.7428622,0.19188675,0.54699025,0.85206995,0.44759695,0.24833452,0.25850583,0.13995955,0.05751844
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,281000,2.9235213,0.21603512,0.65780961,1.0596118,0.48428835,0.2275878,0.16439464,0.06180684,0.05198706
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,281000,2.551128,0.16625797,0.42937715,0.63180481,0.4086562,0.27035311,0.35838646,0.22290338,0.06338892
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.6050955,0.08482918,0.08888246,0.55935148,0.22814129,0.18442386,0.20034742,0.15489288,0.10422698
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,108000,1.8425578,0.15744224,0.16496507,0.63245567,0.19183235,0.12358947,0.2514777,0.22138635,0.09940892
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,108000,1.3276836,0.0,0.0,0.47394852,0.27055869,0.25549278,0.14061519,0.07721281,0.10985562
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.391406,0.22576245,0.4804638,0.94221962,0.3509695,0.14654584,0.11137094,0.08438079,0.04969307
"2-4 Units  (Own/Rent), 2 BR",    Below Median,135000,2.5971047,0.31096071,0.56457981,0.95882685,0.36755029,0.16469261,0.13442376,0.05640158,0.03966911
"2-4 Units  (Own/Rent), 2 BR",    Above Median,135000,2.1701052,0.13410194,0.38996764,0.92435275,0.33313107,0.12702265,0.08656958,0.1144822,0.06047735
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8714912,0.24144737,0.74473684,0.94583333,0.3375,0.30657895,0.14934211,0.08311404,0.0629386
"2-4 Units (Own/Rent), 3 BR",    Below Median,177000,3.2071925,0.35472007,0.98365345,1.0392317,0.39517777,0.24111157,0.09971394,0.07887209,0.01471189
"2-4 Units (Own/Rent), 3 BR",    Above Median,177000,2.482726,0.11026976,0.4680549,0.83767156,0.27070516,0.3823947,0.20681496,0.0880265,0.11878845
"5-49 Units (Own), 0-1 BR",All Values,,1.3412626,0.0,0.01829826,0.27172919,0.36596523,0.29917658,0.12259835,0.18115279,0.08234218
"5-49 Units (Own), 0-1 BR",    Below Median,210000,1.3957655,0.0,0.0,0.38436482,0.4267101,0.36644951,0.07980456,0.12052117,0.01791531
"5-49 Units (Own), 0-1 BR",    Above Median,210000,1.2713987,0.0,0.04175365,0.12734864,0.28810021,0.21294363,0.17745303,0.25887265,0.16492693
"5-49 Units (Own), 2 BR",All Values,,1.4120495,0.03281334,0.02635826,0.23776224,0.19419042,0.12587413,0.33889188,0.26250672,0.1936525
"5-49 Units (Own), 2 BR",    Below Median,320000,1.2714157,0.0,0.02254283,0.28043282,0.11181244,0.18034265,0.30568079,0.1974752,0.17312894
"5-49 Units (Own), 2 BR",    Above Median,320000,1.62,0.08133333,0.032,0.17466667,0.316,0.04533333,0.388,0.35866667,0.224
