Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9446912,0.07497494,0.15259689,0.32432251,0.1926779,0.26190103,0.38360687,0.32647695,0.22813407,401961.0,0.0267145,1.9007458,1.9886365,0.0225976
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 96000,1.8786648,0.08127396,0.15160078,0.32561099,0.19885907,0.27314808,0.37731632,0.27726178,0.19359384,131998.0,0.03936006,1.8139175,1.9434121,0.03446453
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,96000 to 162000,1.9678936,0.0888087,0.17633676,0.38658039,0.20395341,0.26717943,0.35543821,0.28911606,0.20048062,132746.0,0.04771488,1.8894026,2.0463846,0.03988579
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 162000,1.9857598,0.05553248,0.13058878,0.26285373,0.1758237,0.24597535,0.41690898,0.40996378,0.28811299,137217.0,0.04901231,1.9051345,2.066385,0.04060171
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.4936786,0.1243136,0.35741142,0.43260754,0.29145402,0.33846427,0.41748651,0.32674723,0.20519407,1449769.0,0.01691326,2.4658563,2.521501,0.01115713
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 145000,2.4250064,0.11694525,0.36581102,0.45381204,0.2809334,0.31682799,0.38967039,0.29173631,0.20927,469040.0,0.02768625,2.3794625,2.4705503,0.01878093
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,145000 to 236000,2.5061967,0.12547965,0.36157215,0.46033456,0.30183566,0.33308939,0.39835045,0.32230737,0.20322744,460489.0,0.0307739,2.4555736,2.5568197,0.02019916
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 236000,2.5445121,0.12992465,0.34615562,0.38894741,0.29174996,0.36272874,0.45950331,0.36224243,0.20326003,520240.0,0.03065725,2.494081,2.5949433,0.01981959
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.182035,0.1841751,0.68928511,0.52469626,0.41447004,0.47469927,0.45510792,0.28396964,0.1556317,982679.0,0.02408912,3.1424084,3.2216616,0.01245323
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 236000,3.1474853,0.1789475,0.65482264,0.62970835,0.38467651,0.41347116,0.41135207,0.28364907,0.19085801,320893.0,0.04800873,3.0685109,3.2264597,0.02509126
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,236000 to 400000,3.1674828,0.1890754,0.67173008,0.51289334,0.43451462,0.46712272,0.45831547,0.28653864,0.14729254,310199.0,0.04675837,3.0905653,3.2444003,0.02428348
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 400000,3.2264077,0.18462287,0.73622745,0.43926539,0.42397756,0.53726674,0.49221388,0.28199564,0.13083817,351587.0,0.04571708,3.1512031,3.3016123,0.02330908
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0023441,0.11862132,0.23820618,0.49849716,0.24840248,0.21362383,0.27069342,0.22856116,0.1857386,208605.0,0.04567847,1.9272031,2.0774852,0.03752656
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 109000,2.0301341,0.13988478,0.28885167,0.46484832,0.22953636,0.24589572,0.31046681,0.20503343,0.14561705,69257.0,0.08505056,1.890226,2.1700423,0.06891572
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,109000 to 178000,2.1318457,0.14982863,0.29405673,0.63192591,0.27572377,0.22024356,0.25230074,0.17648946,0.13127689,68565.0,0.08044774,1.9995092,2.2641822,0.06207604
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 178000,1.8497097,0.06758685,0.13455208,0.40217284,0.24039671,0.17563539,0.24959383,0.30202167,0.27775031,70783.0,0.07742602,1.7223439,1.9770755,0.06885719
