Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9904599,0.05541201,0.12636642,0.20721867,0.20749692,0.22963787,0.34081965,0.47998569,0.34352268,25157.0,0.11133104,1.8073204,2.1735995,0.09200866
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,236000,2.036514,0.07997191,0.15604276,0.25029258,0.29406257,0.26191777,0.30209878,0.38300694,0.3091207,12817.0,0.14545075,1.7972475,2.2757805,0.11748826
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,236000,1.9426256,0.02990276,0.09554295,0.16247974,0.11758509,0.19611021,0.38103728,0.58071313,0.37925446,12340.0,0.15326377,1.6905067,2.1947445,0.12978255
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.692259,0.15232662,0.4678642,0.43287223,0.38940437,0.4131878,0.38687241,0.28637374,0.16335762,129544.0,0.05936874,2.5945974,2.7899206,0.03627495
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,265000,2.7573069,0.15836395,0.52397892,0.51004022,0.4109593,0.42083255,0.34554905,0.2419671,0.14561584,68873.0,0.07944777,2.6266154,2.8879985,0.04739827
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,265000,2.6184174,0.14547313,0.40416344,0.34527204,0.36493547,0.40450957,0.4337822,0.33678364,0.18349788,60671.0,0.08578852,2.4772953,2.7595395,0.05389596
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.5792279,0.24456121,1.0048345,0.51086681,0.59711223,0.65104523,0.35273407,0.15085411,0.06721974,185749.0,0.06655961,3.4697373,3.6887184,0.03059055
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,400000,3.5840205,0.26317115,0.98407503,0.57944651,0.60426764,0.60582027,0.32820335,0.14876943,0.07026709,95322.0,0.08835135,3.4386825,3.7293585,0.04055166
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,400000,3.5741759,0.22494388,1.0267177,0.43857476,0.58956949,0.6987183,0.37859268,0.15305163,0.06400743,90427.0,0.09675762,3.4150096,3.7333421,0.0445323
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7833363,0.07217313,0.12577096,0.31740307,0.13251578,0.12623986,0.22770063,0.37579802,0.4057349,27725.0,0.09897244,1.6205267,1.946146,0.09129498
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,199000,1.7894213,0.11246979,0.16337267,0.48635006,0.12988767,0.14382198,0.21683492,0.23560358,0.30108062,14066.0,0.17086867,1.5083423,2.0705003,0.15707814
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,199000,1.7770701,0.03067574,0.08704883,0.14342192,0.1352222,0.10813383,0.23889011,0.52016985,0.51350758,13659.0,0.14206427,1.5433743,2.0107658,0.1315062
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.5082993,0.1814896,0.40956375,0.57135661,0.44201803,0.2640799,0.27973402,0.23518966,0.12486776,79404.0,0.07352249,2.3873548,2.6292438,0.04821773
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,252000,2.6034036,0.19355768,0.5294513,0.66201815,0.46728434,0.25582065,0.21986462,0.17301138,0.10239547,41662.0,0.12125394,2.4039409,2.8028663,0.07661614
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,252000,2.4033173,0.16816809,0.27722431,0.47127868,0.4141275,0.27319697,0.34582163,0.30382598,0.1496741,37742.0,0.09511938,2.2468459,2.5597886,0.06510642
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3686374,0.06844768,0.09215934,0.57666772,0.15633892,0.15333544,0.15380967,0.07571925,0.09215934,6326.0,0.18019917,1.0722097,1.665065,0.21658595
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,93000,1.3024784,0.06270529,0.09734249,0.48372649,0.157659,0.18512989,0.15736041,0.07076739,0.0877874,3349.0,0.26012073,0.87457976,1.7303769,0.32852646
