Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.2460429,0.07889154,0.21309068,0.3822962,0.25552644,0.28527275,0.38159549,0.3539513,0.29541855,104181.0,0.04986596,2.1640134,2.3280724,0.03652179
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 55000,2.1714098,0.10405107,0.26472168,0.41909791,0.24270628,0.25323668,0.35502058,0.29726747,0.23530816,33522.0,0.09767811,2.0107293,2.3320903,0.07399823
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,55000 to 97000,2.3113135,0.08871015,0.20861671,0.4006742,0.25072447,0.28795316,0.41090543,0.33624106,0.32748832,33818.0,0.09785559,2.1503411,2.4722859,0.06964544
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 97000,2.2540376,0.0469857,0.17021796,0.33193996,0.27159958,0.31196222,0.37887137,0.42178551,0.32067533,36841.0,0.08409139,2.1157073,2.392368,0.06137002
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.8751066,0.0875245,0.40984361,0.61582066,0.36300653,0.39138839,0.39556389,0.33385648,0.27810256,484253.0,0.02423467,2.8352406,2.9149726,0.01386593
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 85000,2.8985881,0.12055896,0.44716277,0.64466869,0.35090321,0.36302187,0.38545898,0.31446445,0.27234917,144983.0,0.05285557,2.8116407,2.9855355,0.02999647
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,85000 to 130000,2.8636302,0.07734675,0.40569317,0.62299251,0.37425063,0.38572371,0.38794584,0.3408355,0.26884206,168307.0,0.05628959,2.7710338,2.9562265,0.03233531
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 130000,2.8664916,0.06952966,0.38228155,0.58429602,0.36220118,0.42102092,0.41163293,0.34343103,0.29209829,170963.0,0.04764264,2.7881194,2.9448637,0.02734079
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.438138,0.09421653,0.46881283,0.78855108,0.41243726,0.46964293,0.46669866,0.37716442,0.36061428,154198.0,0.06923691,3.3242433,3.5520327,0.03312686
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 105000,3.4699937,0.10593156,0.46663907,0.81403707,0.40976322,0.41205045,0.45126016,0.41433768,0.39597447,45907.0,0.12271293,3.2681309,3.6718564,0.05817381
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,105000 to 177000,3.4135465,0.08468393,0.41686782,0.77139331,0.39198534,0.47367466,0.47710485,0.38087806,0.41695857,55099.0,0.09879148,3.2510345,3.5760585,0.04760796
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 177000,3.4361182,0.0939803,0.52449616,0.78432847,0.43593022,0.51517145,0.4692435,0.34123552,0.27173259,53192.0,0.10723452,3.2597174,3.612519,0.05133723
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.1803121,0.10232015,0.24745452,0.49653647,0.22045568,0.25867969,0.32169087,0.30207812,0.23109664,23964.0,0.10064831,2.0147457,2.3458786,0.07593705
