Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.3360775,0.12227603,0.33575464,0.37134786,0.37958031,0.24051655,0.40532688,0.28297014,0.19830508,12390.0,0.16991346,2.0565698,2.6155851,0.11964827
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,80000,2.3619414,0.11232666,0.41140216,0.36779661,0.36409861,0.19399076,0.45531587,0.26086287,0.19614792,6490.0,0.22344429,1.9943756,2.7295073,0.15562022
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,80000,2.3076271,0.13322034,0.25254237,0.37525424,0.39661017,0.29169492,0.35033898,0.30728814,0.20067797,5900.0,0.27073855,1.8622622,2.752992,0.19299692
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,3.1520485,0.1388645,0.70469681,0.69179646,0.53519567,0.49057802,0.29855867,0.17909198,0.11326642,74029.0,0.09300427,2.9990565,3.3050406,0.04853733
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,102000,3.1180706,0.14879477,0.7002479,0.74785063,0.49509468,0.46745609,0.27403872,0.17962445,0.10496334,37918.0,0.13756757,2.8917719,3.3443692,0.0725765
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,102000,3.1877267,0.12843732,0.70936834,0.63293733,0.57730331,0.51485697,0.32430561,0.17853286,0.12198499,36111.0,0.1233104,2.9848811,3.3905723,0.06363331
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.65126,0.13017524,0.8145653,0.88858568,0.57289046,0.6330107,0.33168465,0.16019273,0.1201552,23453.0,0.19880304,3.324229,3.978291,0.08956662
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,180000,3.7182998,0.15822384,0.77402248,1.0187589,0.56474592,0.56712047,0.31961374,0.16637644,0.14943802,12634.0,0.28438701,3.2504832,4.1861165,0.12581466
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,180000,3.5729735,0.0974212,0.8619096,0.73657454,0.58240133,0.70995471,0.34578057,0.15297162,0.08595989,10819.0,0.29553769,3.086814,4.059133,0.1360658
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.1008754,0.11379742,0.25468945,0.54397666,0.25385577,0.34514381,0.25135473,0.22342643,0.1146311,2399.0,0.3765669,1.4814228,2.7203279,0.2948545
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,55000,2.2799043,0.20095694,0.27192982,0.67623604,0.26634769,0.40031898,0.26555024,0.1539075,0.0446571,1254.0,0.5792658,1.3270121,3.2327965,0.41795273
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,55000,1.9048035,0.01834061,0.23580786,0.39912664,0.24017467,0.28471616,0.23580786,0.29956332,0.19126638,1145.0,0.43294444,1.1926099,2.6169971,0.37389348
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,3.0480866,0.15227409,0.53336005,0.89180525,0.42917251,0.39130435,0.30114206,0.22941294,0.11961531,4991.0,0.33835978,2.4914847,3.6046884,0.18260697
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,90000,3.0131907,0.15008913,0.6057041,0.90053476,0.29910873,0.44099822,0.33475936,0.17896613,0.1030303,2805.0,0.51376875,2.1680411,3.8583403,0.28048327
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,90000,3.0928637,0.15507777,0.44053065,0.88060384,0.59606587,0.32753888,0.25800549,0.29414456,0.14089661,2186.0,0.58645327,2.128148,4.0575793,0.31191664
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.369863,0.0,0.04483188,0.25404732,0.28268991,0.35990037,0.0996264,0.21419676,0.11457036,803.0,0.45982829,0.61344548,2.1262805,0.5521848
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,39000,1.3210332,0.0,0.06642066,0.099631,0.20295203,0.51845018,0.12546125,0.19557196,0.11254613,542.0,0.57077832,0.38210287,2.2599636,0.71075453
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,39000,1.4712644,0.0,0.0,0.57471264,0.44827586,0.03065134,0.04597701,0.25287356,0.11877395,261.0,0.68735969,0.34055768,2.6019711,0.7685272
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.883924,0.1874679,0.1633282,0.62609142,0.17205958,0.26553672,0.20082178,0.15202876,0.11658963,1947.0,0.32272864,1.3530354,2.4148126,0.28179938
"2-4 Units  (Own/Rent), 2 BR",    Below Median,51000,1.8393379,0.18695229,0.16260954,0.78383642,0.11684518,0.26095424,0.09055501,0.20058423,0.03700097,1027.0,0.47820306,1.0526938,2.6259819,0.42767783
"2-4 Units  (Own/Rent), 2 BR",    Above Median,51000,1.9336957,0.18804348,0.16413043,0.45,0.23369565,0.27065217,0.32391304,0.09782609,0.20543478,920.0,0.46244599,1.172972,2.6944193,0.39340403
"2-4 Units (Own/Rent), 3 BR",All Values,,3.0936956,0.18669453,0.72587948,0.71055381,0.6189481,0.26262626,0.23998607,0.23928945,0.10971787,2871.0,0.45457817,2.3459145,3.8414767,0.24171127
"2-4 Units (Own/Rent), 3 BR",    Below Median,114000,3.3777174,0.19157609,0.94701087,0.82269022,0.59307065,0.21195652,0.171875,0.2357337,0.20380435,1472.0,0.72468893,2.1856041,4.5698307,0.35293459
"2-4 Units (Own/Rent), 3 BR",    Above Median,114000,2.7948535,0.18155826,0.49320944,0.59256612,0.64617584,0.31593996,0.31165118,0.24303074,0.01072194,1399.0,0.62704055,1.7633718,3.8263352,0.36906468
"5-49 Units (Own), 0-1 BR",All Values,,1.2195122,0.0,0.0,0.31300813,0.19512195,0.42682927,0.15447154,0.1300813,0.0,246.0,0.65269846,0.14582323,2.2932012,0.88042495
"5-49 Units (Own), 0-1 BR",    Below Median,150000,1.2195122,0.0,0.0,0.31300813,0.19512195,0.42682927,0.15447154,0.1300813,0.0,246.0,0.65269846,0.14582323,2.2932012,0.88042495
"5-49 Units (Own), 2 BR",All Values,,1.780303,0.02083333,0.30397727,0.13825758,0.24810606,0.30018939,0.42708333,0.21496212,0.12689394,1056.0,0.44318397,1.0512654,2.5093407,0.40950199
"5-49 Units (Own), 2 BR",    Below Median,140000,1.8656958,0.03559871,0.39320388,0.22006472,0.41100324,0.31229773,0.23786408,0.13915858,0.11650485,618.0,0.6021243,0.87520132,2.8561903,0.53089817
"5-49 Units (Own), 2 BR",    Above Median,140000,1.6598174,0.0,0.17808219,0.02283105,0.01826484,0.28310502,0.69406393,0.32191781,0.14155251,438.0,0.6949344,0.51665026,2.8029844,0.68873065
"5-49 Units (Own), 3 BR",All Values,,2.5007378,0.08383635,0.36405097,0.57478203,0.41448692,0.38229376,0.31133467,0.16646546,0.20348759,7455.0,0.24820715,2.092437,2.9090385,0.16327212
