Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0673077,0.06690508,0.15398825,0.39259663,0.22679045,0.27323323,0.41121163,0.33983043,0.20275199
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 209000,2.0410508,0.09037026,0.16895946,0.45214401,0.28677009,0.2616713,0.36111518,0.24535343,0.17466706
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,209000 to 290000,2.0455479,0.07331586,0.13395197,0.38832613,0.22242686,0.27675852,0.40419353,0.38740526,0.1591698
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 290000,2.113427,0.03843224,0.15940724,0.34041964,0.17429541,0.28072848,0.46548023,0.38272973,0.27193408
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7025835,0.13632551,0.42370651,0.48375776,0.35623639,0.39490838,0.43123312,0.29782436,0.17859149
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 250000,2.7109844,0.11405005,0.40979508,0.5722831,0.377433,0.34871603,0.40341613,0.28607145,0.19921957
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,250000 to 351000,2.6998468,0.1496565,0.43480947,0.50145801,0.3742401,0.39976771,0.42443039,0.24618198,0.16930262
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 351000,2.6972534,0.14519239,0.42683606,0.38724398,0.3211929,0.4330491,0.46263604,0.35337218,0.16773074
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2583592,0.17450879,0.62394002,0.60542916,0.41577042,0.47425026,0.46771803,0.30527404,0.19146846
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 298000,3.3597686,0.17402051,0.58637917,0.82403366,0.48908756,0.40941362,0.3946884,0.28062056,0.20152511
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,298000 to 475000,3.2681044,0.18664166,0.59092163,0.59268656,0.39120843,0.5129888,0.51944184,0.2806795,0.19353593
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 475000,3.1575165,0.16441506,0.6868353,0.41736131,0.37031714,0.49966465,0.48931685,0.34909457,0.18051164
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8482057,0.07188995,0.14844498,0.40311005,0.22619617,0.18983254,0.22787081,0.32488038,0.25598086
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 182000,2.0673289,0.17402502,0.28734364,0.56548933,0.3263429,0.23178808,0.16077999,0.16298749,0.15857248
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,182000 to 276000,1.6344086,0.03744902,0.11420096,0.39451242,0.27956989,0.21245829,0.18872822,0.29069336,0.11679644
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 276000,1.8417657,0.00916808,0.0516129,0.26112054,0.08488964,0.13039049,0.32563667,0.50560272,0.47334465
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.8569652,0.13992537,0.56115257,0.65692371,0.45791874,0.29726368,0.41873964,0.22802653,0.09701493
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 226000,3.5499325,0.17476383,0.95614035,1.0330634,0.46693657,0.33198381,0.36504723,0.1120108,0.1099865
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,226000 to 348000,2.8435115,0.22010178,0.65076336,0.57188295,0.72073791,0.26272265,0.25826972,0.10814249,0.05089059
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 348000,2.2887006,0.03954802,0.15084746,0.41751412,0.21694915,0.29887006,0.60621469,0.43163842,0.12711864
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.5080295,0.02394387,0.07725694,0.46744792,0.15690104,0.20203993,0.27625868,0.17679398,0.12738715
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 89000,1.3523327,0.0,0.07284331,0.29181338,0.11487676,0.17121479,0.31294014,0.22403169,0.16461268
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,89000 to 124000,1.4438908,0.02383016,0.04094454,0.41377816,0.18804159,0.24545061,0.30957539,0.1267331,0.09553726
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 124000,1.723199,0.04738422,0.11749571,0.69168096,0.16702401,0.18910806,0.20754717,0.18031732,0.12264151
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.261632,0.16529036,0.33202362,0.69772243,0.28691618,0.26343012,0.26598295,0.16959687,0.08066951
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 117000,2.2152982,0.13456139,0.41717455,0.64007396,0.26104225,0.29665137,0.25200301,0.13949189,0.0742998
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,117000 to 178000,2.4251969,0.2308399,0.38969816,0.83707349,0.34750656,0.24619423,0.21568241,0.12316273,0.03503937
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 178000,2.1421901,0.12910227,0.1924367,0.61341664,0.25103584,0.24879974,0.32982572,0.24505097,0.1325222
"2-4 Units (Own/Rent), 3 BR",All Values,,3.3186997,0.28034976,0.73263914,0.99198171,0.44278354,0.3925332,0.25767361,0.13493215,0.08580655
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 126000,3.1923163,0.3285078,0.74988864,0.9454343,0.37193764,0.37126949,0.21224944,0.11291759,0.10011136
"2-4 Units (Own/Rent), 3 BR",Second Tercile,126000 to 184000,3.5484437,0.25328803,0.87954844,1.1610039,0.46635248,0.36727313,0.28320912,0.09622972,0.0415388
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 184000,3.2170649,0.26073166,0.57454007,0.87312328,0.48731233,0.43709029,0.27616832,0.1931698,0.11492916
"5-49 Units (Own), 0-1 BR",All Values,,1.2744063,0.0,0.02814424,0.19085312,0.14863676,0.14863676,0.39489886,0.19788918,0.16534741
"5-49 Units (Own), 0-1 BR",First Tercile,Below 143000,1.3304348,0.0,0.0,0.24637681,0.16811594,0.16521739,0.33333333,0.24637681,0.17101449
"5-49 Units (Own), 0-1 BR",Second Tercile,143000 to 230000,1.1236559,0.0,0.02419355,0.14247312,0.05645161,0.17204301,0.61021505,0.11827957,0.0
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 230000,1.3619048,0.0,0.0547619,0.18809524,0.21428571,0.11428571,0.2547619,0.22857143,0.30714286
"5-49 Units (Own), 2 BR",All Values,,1.6721092,0.04817987,0.0495182,0.23688437,0.11991435,0.26980728,0.33163812,0.3356531,0.28051392
"5-49 Units (Own), 2 BR",First Tercile,Below 171000,1.4619423,0.02012248,0.01487314,0.19160105,0.16097988,0.32195976,0.27734033,0.223972,0.25109361
"5-49 Units (Own), 2 BR",Second Tercile,171000 to 275000,1.5865835,0.02340094,0.0624025,0.24648986,0.10920437,0.31201248,0.27067083,0.32917317,0.23322933
