Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0416294,0.02372426,0.05326768,0.25022381,0.09534467,0.40734109,0.40868397,0.57833483,0.22470904,2234.0,0.29199987,1.5612896,2.5219691,0.23527276
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,1.9769821,0.01193521,0.06990622,0.20119352,0.13640239,0.48252344,0.42114237,0.39897698,0.25490196,1173.0,0.37982735,1.3521661,2.6017981,0.31604535
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,2.1131008,0.03675778,0.03487276,0.30442978,0.04995287,0.32422243,0.39491046,0.77662582,0.19132893,1061.0,0.44697233,1.3778314,2.8483703,0.34795759
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.8893287,0.17341868,0.55824139,0.4308094,0.46070917,0.53230018,0.36225048,0.26219153,0.1094079,11873.0,0.18437547,2.5860311,3.1926264,0.10497166
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,385000,2.8916979,0.16571522,0.54591421,0.51476105,0.53645409,0.451313,0.3627467,0.22084489,0.09394878,6131.0,0.31375017,2.3755789,3.407817,0.17848304
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,385000,2.886799,0.18164403,0.57140369,0.34117032,0.37983281,0.61877395,0.36172065,0.30633925,0.12591432,5742.0,0.31038265,2.3762196,3.3973785,0.17686699
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.4224513,0.19197938,0.92156547,0.41600902,0.5079723,0.52456112,0.49927525,0.22370752,0.13738122,6209.0,0.32897311,2.8812905,3.963612,0.15812081
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,550000,3.6054528,0.16452523,1.0297712,0.48793482,0.62018176,0.52209339,0.42212473,0.20275776,0.15606393,3191.0,0.48294648,2.8110059,4.3998998,0.22034596
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,550000,3.2289596,0.22100729,0.80715706,0.33996024,0.38933068,0.52717031,0.58084824,0.24585818,0.11762757,3018.0,0.49163771,2.4202155,4.0377036,0.25046583
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.639497,0.03120633,0.02189101,0.19934793,0.14578482,0.08802981,0.21658128,0.55519329,0.38146251,2147.0,0.31514664,1.1210808,2.1579132,0.31620444
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,300000,1.5430809,0.05831158,0.04090513,0.29503916,0.2410792,0.15056571,0.2332463,0.3437772,0.18015666,1149.0,0.39217804,0.89794807,2.1882138,0.41808103
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,300000,1.750501,0.0,0.0,0.08917836,0.03607214,0.01603206,0.19739479,0.79859719,0.61322645,998.0,0.47299709,0.9724208,2.5285812,0.44449001
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.9197267,0.21605465,0.41161401,0.78309137,0.29974381,0.39795047,0.47566183,0.205807,0.12980359,1171.0,0.74049661,1.7016098,4.1378437,0.41720237
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,300000,3.3343284,0.35074627,0.68507463,0.91940299,0.42835821,0.4358209,0.40746269,0.04776119,0.05970149,670.0,1.2477646,1.2817556,5.3869011,0.61558807
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,300000,2.3652695,0.03592814,0.04590818,0.6007984,0.12774451,0.34730539,0.56686627,0.41716567,0.22355289,501.0,0.72835851,1.1671197,3.5634192,0.50655951
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.7595156,0.04844291,0.03633218,0.98096886,0.03460208,0.02768166,0.15916955,0.3200692,0.15224913,578.0,0.70741811,0.59581278,2.9232184,0.66137681
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,117000,1.7430168,0.0,0.05865922,1.1675978,0.05586592,0.04469274,0.20949721,0.10055866,0.10614525,358.0,0.97395312,0.14086388,3.3451696,0.91918386
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,117000,1.7863636,0.12727273,0.0,0.67727273,0.0,0.0,0.07727273,0.67727273,0.22727273,220.0,1.0741411,0.01940158,3.5533257,0.98913907
