Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9861952,0.0761919,0.17426273,0.38172819,0.18749258,0.23728104,0.33940769,0.34580701,0.24402407
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 90000,1.9879564,0.08697961,0.20610716,0.37530583,0.21284021,0.26122333,0.34590801,0.29490754,0.20468468
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,90000 to 159000,2.0643872,0.09349372,0.20830597,0.51395275,0.21269728,0.26817047,0.32664627,0.27554563,0.16557509
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 159000,1.9073234,0.04858809,0.10958245,0.25753171,0.13787612,0.18342746,0.34565318,0.46482733,0.35983705
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.484445,0.12819875,0.35830588,0.46387076,0.29261861,0.31621806,0.3758328,0.34227913,0.207121
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 140000,2.5513683,0.13506687,0.41350235,0.50707361,0.30371386,0.32959546,0.36131821,0.2992397,0.20185823
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,140000 to 225000,2.5219925,0.14959342,0.38108648,0.53933893,0.31378222,0.30207184,0.35333214,0.30156463,0.18122281
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 225000,2.38456,0.10044812,0.2840916,0.3482814,0.26115539,0.31785227,0.41181947,0.42304469,0.23786701
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.1601855,0.19391606,0.70079965,0.51773619,0.44582876,0.44190895,0.39982289,0.29920301,0.16097001
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 221000,3.2080066,0.1928118,0.69622058,0.66415376,0.42783708,0.40191697,0.38344333,0.26011522,0.18150791
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,221000 to 378000,3.2525303,0.21558287,0.75222882,0.55643002,0.4949957,0.44874712,0.37867083,0.26742662,0.1384483
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 378000,3.0303486,0.17455342,0.65660335,0.3494996,0.41583897,0.47150572,0.43444994,0.36426602,0.16363156
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.8820575,0.1289906,0.16543511,0.53583471,0.20980702,0.22515962,0.2197073,0.22505201,0.17207117
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 113000,1.8605626,0.14043023,0.20176503,0.56183122,0.23254275,0.20209597,0.21709873,0.15918367,0.145615
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,113000 to 165000,2.0565693,0.20835122,0.20180335,0.62795191,0.2472091,0.24055389,0.2334693,0.17185487,0.1253757
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 165000,1.7313889,0.04022323,0.09508266,0.42065916,0.15141624,0.23207329,0.20869748,0.3401074,0.24312941
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.2328976,0.12229071,0.29280683,0.56106069,0.23919669,0.26632349,0.29338255,0.30100244,0.15683419
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 160000,2.3316727,0.15995336,0.45219419,0.62083952,0.25397498,0.24750901,0.23224507,0.23192707,0.13302947
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,160000 to 233000,2.372717,0.15973584,0.32721081,0.64141987,0.29470643,0.3030647,0.25012899,0.24032608,0.15612424
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 233000,2.0130732,0.05325387,0.11621648,0.43199077,0.1740844,0.2491589,0.38911852,0.42016726,0.17908296
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.309978,0.04043552,0.08124507,0.38178947,0.16805885,0.13144662,0.2528363,0.16652122,0.08764493
