Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9644778,0.05409444,0.15780036,0.25561438,0.16322261,0.18713176,0.32021177,0.47912219,0.34728033
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,200000,1.9455665,0.07323481,0.18973727,0.38908046,0.23366174,0.22668309,0.3091133,0.32167488,0.20238095
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,200000,1.9849671,0.03335705,0.12319872,0.11101228,0.08690624,0.14428038,0.33223626,0.64970646,0.5042697
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5200641,0.15215503,0.38834469,0.49560887,0.34445753,0.32241985,0.34267695,0.32987994,0.14452122
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,215000,2.5870941,0.18364506,0.44285878,0.60390093,0.38525997,0.32671738,0.29966253,0.23846975,0.10657973
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,215000,2.4513573,0.11987727,0.33246692,0.38460787,0.30263441,0.31801481,0.38676738,0.42357678,0.18341183
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.3096623,0.24055675,0.83499487,0.52825542,0.5506735,0.48646556,0.34153908,0.23846417,0.08871298
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,300000,3.4100078,0.2594706,0.89335332,0.66144238,0.60583768,0.46515943,0.28907969,0.16522846,0.07043621
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,300000,3.2009095,0.22005822,0.77174688,0.38390947,0.49088741,0.50955682,0.39839375,0.31783589,0.10852106
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7657171,0.09060709,0.13628436,0.44016278,0.23079478,0.19940204,0.21991529,0.24649116,0.20205963
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,145000,1.8089834,0.13491049,0.15744885,0.45891944,0.29108056,0.1898977,0.24248721,0.18702046,0.14721867
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,145000,1.7189283,0.04269663,0.11339672,0.419879,0.16560069,0.20968021,0.19550562,0.3108038,0.2613656
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.1937749,0.09279064,0.27768023,0.58286778,0.24134078,0.27459431,0.30130354,0.28140463,0.14179303
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,200000,2.2625197,0.11080442,0.36671924,0.63870268,0.27089905,0.2998817,0.23767744,0.20603312,0.13180205
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,200000,2.1131661,0.07166802,0.17327477,0.51739683,0.20668131,0.24494278,0.3759103,0.36978384,0.15350826
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4591945,0.08876524,0.15898251,0.40222576,0.23211447,0.06968733,0.19263381,0.19475358,0.1200318
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,83000,1.259332,0.0,0.12917485,0.23772102,0.06041257,0.11198428,0.25442043,0.28143418,0.18418468
