Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9740771,0.10988957,0.18451019,0.4356477,0.18251802,0.21977914,0.35340269,0.30854177,0.17978799,40659.0,0.08557701,1.8333029,2.1148513,0.07131139
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 88000,1.9252252,0.09189189,0.2201952,0.46854354,0.15773273,0.22372372,0.3515015,0.25788288,0.15375375,13320.0,0.13239382,1.7074374,2.1430131,0.1131233
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,88000 to 162000,2.0414814,0.12666769,0.20595001,0.48742524,0.24275418,0.25517559,0.29197976,0.25509891,0.17643,13042.0,0.16506727,1.7699457,2.313017,0.13300913
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 162000,1.9581031,0.11135203,0.13170595,0.35776736,0.15066098,0.18381479,0.41120515,0.40449045,0.20710639,14297.0,0.1569781,1.6998741,2.2163321,0.13187711
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5693943,0.17616928,0.43674092,0.49525913,0.30653478,0.28333694,0.38719224,0.31355788,0.17060317,87853.0,0.06054561,2.4697968,2.6689919,0.03876304
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 132000,2.6606246,0.18207047,0.53117645,0.56915024,0.29314645,0.25594548,0.3710261,0.27154249,0.1865669,28467.0,0.12850166,2.4492394,2.8720098,0.07944948
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,132000 to 216000,2.5838481,0.17397757,0.43817084,0.56521139,0.3086799,0.31382226,0.34198447,0.29321829,0.14878343,28975.0,0.13515239,2.3615225,2.8061738,0.0860444
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 216000,2.4702246,0.17273355,0.34697971,0.35944231,0.31702345,0.2799316,0.44539805,0.37226661,0.17644931,30411.0,0.10043198,2.305014,2.6354352,0.0668808
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.1941053,0.24057533,0.80348498,0.54177912,0.44828214,0.40693141,0.40115881,0.24529838,0.10659512,93372.0,0.07331645,3.0734997,3.3147109,0.03775879
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 188000,3.1652297,0.25276649,0.79595679,0.61956199,0.36501173,0.35183167,0.3718495,0.24929805,0.15895352,30273.0,0.15701911,2.9069333,3.4235262,0.08160432
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,188000 to 307000,3.211507,0.25316801,0.81959395,0.60730345,0.49039379,0.37232593,0.36098242,0.21051914,0.09722033,29356.0,0.16268358,2.9438925,3.4791215,0.08332988
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 307000,3.2048721,0.21868239,0.7962244,0.41498978,0.48635273,0.48647127,0.46240702,0.27196752,0.06777702,33743.0,0.13931314,2.975702,3.4340422,0.07150679
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.669939,0.04373048,0.06559572,0.47196192,0.13446378,0.11408597,0.25390451,0.26758887,0.31860776,6723.0,0.18397277,1.3673038,1.9725742,0.1812253
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 132000,1.5829076,0.01254064,0.09150023,0.77380399,0.18532281,0.16163493,0.11704598,0.0831398,0.15791918,2153.0,0.31791322,1.0599403,2.1058748,0.33038394
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,132000 to 186000,1.8517865,0.10763123,0.09219232,0.57256286,0.15130128,0.09704455,0.36832819,0.27216586,0.19056021,2267.0,0.3782155,1.229622,2.473951,0.33598069
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 186000,1.572297,0.00998697,0.01519757,0.09075119,0.07034303,0.08640903,0.26921407,0.43551889,0.59487625,2303.0,0.29047666,1.0944629,2.0501311,0.3039083
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.1297953,0.06797853,0.28980322,0.34943351,0.25004969,0.15921288,0.3132578,0.46909163,0.230968,5031.0,0.32704717,1.5918027,2.6677879,0.25260296
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 170000,2.2008253,0.12723521,0.4869326,0.41403026,0.46011004,0.14993122,0.09697387,0.31292985,0.15268226,1454.0,0.54681066,1.3013218,3.1003288,0.40871192
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,170000 to 262000,2.3063712,0.0432133,0.39390582,0.33185596,0.26703601,0.24930748,0.34958449,0.54072022,0.13074792,1805.0,0.54621864,1.4078415,3.2049008,0.38958588
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 262000,1.8916479,0.04458239,0.02200903,0.31433409,0.06038375,0.07505643,0.4537246,0.52426637,0.3972912,1772.0,0.45657167,1.1405875,2.6427083,0.39704028
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.46217,0.09629465,0.1045041,0.47770135,0.13157311,0.21699578,0.16862658,0.1200355,0.14643887,4507.0,0.19217256,1.1460461,1.7782938,0.21620186
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 54000,1.2141802,0.08641064,0.01994092,0.25036928,0.16691285,0.31536189,0.16469719,0.1070901,0.10339734,1354.0,0.27088345,0.76857693,1.6597835,0.36699929
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,54000 to 71000,1.7343853,0.15844839,0.19329389,0.64431295,0.12228797,0.15581854,0.1130835,0.15318869,0.19395135,1521.0,0.44702984,0.99902118,2.4697494,0.4239912
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 71000,1.4142157,0.04656863,0.09191176,0.51102941,0.11090686,0.19240196,0.22365196,0.09987745,0.13786765,1632.0,0.28971628,0.93763241,1.890799,0.33699476
"2-4 Units  (Own/Rent), 2 BR",All Values,,1.8950689,0.12101777,0.2492903,0.61350016,0.21596047,0.15634528,0.24540006,0.14351803,0.1500368,9511.0,0.24738161,1.4881261,2.3020116,0.21473771
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 76000,1.9590431,0.10583545,0.31533164,0.6661834,0.17506343,0.15005437,0.24284161,0.15694092,0.14679232,2759.0,0.4028995,1.2962735,2.6218128,0.33831296
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,76000 to 99000,1.872619,0.16666667,0.26845238,0.65535714,0.24791667,0.13869048,0.22410714,0.06279762,0.10863095,3360.0,0.40127628,1.2125196,2.5327185,0.35250068
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 99000,1.8652712,0.08814858,0.17659198,0.52918632,0.21757075,0.17895047,0.26857311,0.21255896,0.19369104,3392.0,0.32890913,1.3242157,2.4063267,0.29006801
"2-4 Units (Own/Rent), 3 BR",All Values,,3.4039383,0.42895157,0.63384779,1.1085684,0.42788717,0.1575306,0.37839276,0.17456094,0.09419904,1879.0,0.7176899,2.2233384,4.5845381,0.34683352
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 111000,4.2703214,0.66351607,1.1644612,0.89981096,0.33081285,0.28922495,0.60113422,0.23062382,0.09073724,529.0,1.7038053,1.4675617,7.073081,0.6563346
"2-4 Units (Own/Rent), 3 BR",Second Tercile,111000 to 157000,2.9726248,0.11272142,0.50724638,1.2318841,0.60064412,0.07729469,0.19806763,0.10144928,0.14331723,621.0,0.90960461,1.4763252,4.4689244,0.50335972
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 157000,3.1426612,0.52812071,0.35665295,1.1550069,0.35116598,0.1303155,0.37037037,0.19615912,0.05486968,729.0,1.1308109,1.2824772,5.0028451,0.59191362
"5-49 Units (Own), 0-1 BR",All Values,,1.4819277,0.0,0.0,0.18072289,0.26907631,0.40963855,0.53815261,0.06024096,0.02409639,249.0,0.91980714,-0.03115503,2.9950105,1.0210233
"5-49 Units (Own), 0-1 BR",First Tercile,Below 173000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,1.493438,-1.4567056,3.4567056,2.4567056
"5-49 Units (Own), 0-1 BR",Second Tercile,173000 to 663000,2.4285714,0.0,0.0,0.0,0.0,2.4285714,0.0,0.0,0.0,14.0,3.5721923,-3.447685,8.3048278,2.419635
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 663000,1.4830918,0.0,0.0,0.2173913,0.3236715,0.32850242,0.51207729,0.07246377,0.02898551,207.0,0.9987203,-0.15980311,3.1259867,1.10775
"5-49 Units (Own), 2 BR",All Values,,1.4311859,0.0,0.03440703,0.28477306,0.03001464,0.10834553,0.1954612,0.1727672,0.60541728,1366.0,0.41589152,0.7470444,2.1153275,0.47802422
"5-49 Units (Own), 2 BR",First Tercile,Below 151000,1.4501279,0.0,0.0230179,0.0,0.05370844,0.15856777,0.24040921,0.36061381,0.61381074,391.0,0.68489179,0.32348088,2.5767749,0.77692941
"5-49 Units (Own), 2 BR",Second Tercile,151000 to 262000,1.587963,0.0,0.0,0.0,0.0,0.13425926,0.58796296,0.0,0.86574074,216.0,1.0525456,-0.14347453,3.3194005,1.0903513
"5-49 Units (Own), 2 BR",Third Tercile ,Above 262000,1.3768116,0.0,0.05006588,0.51251647,0.02635046,0.07509881,0.06060606,0.12516469,0.52700922,759.0,0.67470867,0.26691583,2.4867074,0.80613482
