Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.2476169,0.12619156,0.31547889,0.39684521,0.20267817,0.21164321,0.28983205,0.40285974,0.30208806
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,300000,2.3005843,0.19995672,0.34581259,0.5321359,0.21012768,0.19476304,0.27093703,0.34321575,0.20363558
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,300000,2.189215,0.04485803,0.28203293,0.24767359,0.19446433,0.23025531,0.31066571,0.46862324,0.41064185
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,3.0661966,0.29951061,0.66447729,0.66750378,0.49016388,0.25200425,0.29622654,0.25874948,0.13756077
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,340000,3.1169026,0.32180244,0.70454048,0.74950783,0.48864098,0.24180494,0.26277304,0.21961814,0.12821474
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,340000,3.0123186,0.27582429,0.62190789,0.58036989,0.49178205,0.26284158,0.33177275,0.30032872,0.14749145
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,4.0637936,0.34970206,1.2656299,0.72965949,0.72267485,0.46488446,0.27279411,0.18170316,0.07674552
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,400000,4.1076126,0.37885044,1.2753338,0.8032735,0.74669486,0.44721769,0.23553898,0.15173665,0.06896667
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,400000,4.0175531,0.31894295,1.2553898,0.65197758,0.6973275,0.48352749,0.31210795,0.2133256,0.08495423
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0773598,0.20525195,0.15060326,0.81078779,0.19148332,0.10844571,0.19162527,0.23662172,0.18254081
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,235000,2.4353685,0.32288229,0.1919692,1.1672167,0.2640264,0.11413641,0.15181518,0.11936194,0.1039604
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,235000,1.6955119,0.07978879,0.10648284,0.43062482,0.11410971,0.10237606,0.23408624,0.36168965,0.26635377
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6322235,0.32829625,0.42656094,0.91991863,0.4370641,0.19179675,0.17668549,0.0836101,0.06829127
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,230000,2.8425998,0.37744714,0.54596711,1.0161316,0.48394675,0.18222396,0.1394675,0.05019577,0.04722005
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,230000,2.3948577,0.27283972,0.29183601,0.81136243,0.38416681,0.20259763,0.21867821,0.12131119,0.09206574
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4704797,0.01291513,0.0,0.88653137,0.19280443,0.11531365,0.11715867,0.07103321,0.07472325
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,103000,1.4704944,0.00956938,0.0,0.97926635,0.05263158,0.17703349,0.07655502,0.09569378,0.07974482
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,103000,1.4704595,0.01750547,0.0,0.75929978,0.38512035,0.03063457,0.17286652,0.03719912,0.0678337
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.4079183,0.32005109,0.34176245,1.1369093,0.28607918,0.14661558,0.06462324,0.06845466,0.04342273
"2-4 Units  (Own/Rent), 2 BR",    Below Median,121000,2.575419,0.29888268,0.38594041,1.4203911,0.18808194,0.11405959,0.06843575,0.06284916,0.0367784
"2-4 Units  (Own/Rent), 2 BR",    Above Median,121000,2.2043011,0.34578381,0.28805886,0.79230334,0.40520656,0.18619128,0.05998868,0.07526882,0.05149972
"2-4 Units (Own/Rent), 3 BR",All Values,,2.8773017,0.23025297,0.60454311,1.0702117,0.34555154,0.21596971,0.19325417,0.12097746,0.09654104
"2-4 Units (Own/Rent), 3 BR",    Below Median,162000,3.2421466,0.18913613,0.83409686,1.3043194,0.3815445,0.26570681,0.19175393,0.05824607,0.01734293
"2-4 Units (Own/Rent), 3 BR",    Above Median,162000,2.4725953,0.27586207,0.34990926,0.81052632,0.30562613,0.16079855,0.19491833,0.19056261,0.18439201
"5-49 Units (Own), 0-1 BR",All Values,,1.75,0.0,0.0,0.11392405,0.0,0.07278481,0.2721519,0.3164557,0.97468354
"5-49 Units (Own), 0-1 BR",    Below Median,150000,1.9521739,0.0,0.0,0.15652174,0.0,0.0,0.31304348,0.35217391,1.1304348
"5-49 Units (Own), 0-1 BR",    Above Median,150000,1.2093023,0.0,0.0,0.0,0.0,0.26744186,0.1627907,0.22093023,0.55813953
"5-49 Units (Own), 2 BR",All Values,,1.7675277,0.15656299,0.13178703,0.55930416,0.2814971,0.16130733,0.24512388,0.10859251,0.12335266
"5-49 Units (Own), 2 BR",    Below Median,236000,1.9011374,0.25984252,0.16447944,0.71653543,0.30183727,0.17147857,0.09623797,0.07961505,0.11111111
"5-49 Units (Own), 2 BR",    Above Median,236000,1.5649867,0.0,0.08222812,0.32095491,0.25066313,0.14588859,0.47082228,0.15251989,0.14190981
"5-49 Units (Own), 3 BR",All Values,,2.3439398,0.25310963,0.21319063,0.89470639,0.19757015,0.25310963,0.19757015,0.21319063,0.12149262
"5-49 Units (Own), 3 BR",    Below Median,220000,2.5302869,0.40382572,0.28746015,1.0255048,0.20616366,0.24229543,0.11955367,0.15674814,0.08873539
"5-49 Units (Own), 3 BR",    Above Median,220000,2.1212698,0.07301587,0.12444444,0.7384127,0.18730159,0.26603175,0.29079365,0.28063492,0.16063492
"5-49 Units (Rent), 0-1 BR",All Values,,1.5015191,0.05992666,0.04148769,0.85185961,0.08507072,0.0936616,0.11807229,0.15233106,0.09910948
"5-49 Units (Rent), 0-1 BR",    Below Median,124000,1.4766413,0.07161967,0.03766207,0.65857172,0.06688619,0.12409961,0.15826302,0.23111751,0.12842149
"5-49 Units (Rent), 0-1 BR",    Above Median,124000,1.5273154,0.04780196,0.04545455,1.0522834,0.10392659,0.06209987,0.07639778,0.07063594,0.06871532
"5-49 Units (Rent), 2 BR",All Values,,2.2957936,0.22275232,0.31151727,1.1711464,0.30063164,0.11261927,0.10825158,0.04011558,0.02875958
"5-49 Units (Rent), 2 BR",    Below Median,143000,2.2569729,0.28235294,0.32557832,1.1208196,0.27336418,0.08354263,0.12081956,0.03317911,0.01731659
"5-49 Units (Rent), 2 BR",    Above Median,143000,2.33593,0.16113161,0.29697964,1.2231789,0.32882329,0.14268143,0.09525762,0.04728714,0.04059041
