Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9430655,0.06800154,0.14147262,0.3158585,0.20768296,0.26826382,0.37765481,0.36693961,0.19719166,31264.0,0.08378907,1.8052325,2.0808985,0.07093586
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 159000,1.9505021,0.07120398,0.18683436,0.38401461,0.24160665,0.30398621,0.32396795,0.27589005,0.16299828,9859.0,0.15058459,1.7027904,2.1982137,0.12699891
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,159000 to 250000,1.8983748,0.07437859,0.16070746,0.34015296,0.18393881,0.25544933,0.31615679,0.36720841,0.20038241,10460.0,0.14491439,1.6599906,2.1367589,0.12557277
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 250000,1.9790772,0.05902238,0.08222933,0.23124714,0.19981727,0.24833257,0.48478757,0.44869804,0.2249429,10945.0,0.14830885,1.7351091,2.2230453,0.12327364
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5202027,0.11447823,0.40211603,0.37814135,0.31424,0.36437313,0.4353863,0.34281577,0.16865191,85632.0,0.05858887,2.423824,2.6165814,0.03824244
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 194000,2.469401,0.10684317,0.3828125,0.41084346,0.31665943,0.37084057,0.40039063,0.32331453,0.15769676,27648.0,0.11248082,2.2843701,2.654432,0.07492948
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,194000 to 309000,2.5354612,0.12547293,0.39571438,0.41494118,0.31681227,0.35636651,0.41631698,0.343434,0.16640297,29074.0,0.11620805,2.344299,2.7266235,0.07539545
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 309000,2.5534417,0.11072293,0.42701487,0.30985818,0.30933933,0.36624006,0.48803182,0.360844,0.18139052,28910.0,0.10921493,2.3737831,2.7331003,0.07035938
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.0128737,0.16882356,0.5607386,0.49481445,0.37394598,0.43551878,0.45190964,0.3445687,0.182554,44354.0,0.11077229,2.8306533,3.1950941,0.0604806
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 225000,3.1668858,0.21421268,0.66396436,0.57208589,0.45822378,0.39490213,0.38986269,0.32274321,0.15089103,13692.0,0.2069396,2.8264701,3.5073014,0.10749224
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,225000 to 387000,2.898613,0.12645699,0.51487921,0.5183304,0.32864492,0.41121313,0.48030214,0.32577977,0.19300645,15357.0,0.19051633,2.5852136,3.2120124,0.10812046
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 387000,2.9897419,0.17072852,0.51440706,0.40209082,0.34400523,0.49624306,0.47892845,0.38294675,0.20039203,15305.0,0.1924906,2.6730949,3.306389,0.10591116
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7695054,0.08975013,0.14074452,0.44212137,0.20576237,0.22896481,0.29500255,0.20525242,0.16190719,3922.0,0.23801461,1.3779713,2.1610394,0.2212675
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 178000,1.9788546,0.16563877,0.25814978,0.50132159,0.34273128,0.12422907,0.26872247,0.21321586,0.10484581,1135.0,0.45092449,1.2370838,2.7206254,0.37484855
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,178000 to 249000,1.5683019,0.06792453,0.10716981,0.60301887,0.22188679,0.29962264,0.17584906,0.05735849,0.0354717,1325.0,0.42924886,0.86218751,2.2744163,0.45024136
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 249000,1.7893297,0.0506156,0.08002736,0.250342,0.08481532,0.24623803,0.42339261,0.33310534,0.32079343,1462.0,0.4172441,1.1029631,2.4756962,0.38358865
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6286819,0.13121095,0.56739066,0.48170187,0.3814341,0.35197858,0.28800952,0.21303184,0.21392443,3361.0,0.47513644,1.8470825,3.4102814,0.29733511
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 241000,2.547619,0.07936508,0.55555556,0.66369048,0.42063492,0.34722222,0.12797619,0.0625,0.2906746,1008.0,0.76192647,1.29425,3.8009881,0.49197663
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,241000 to 366000,3.131952,0.32715376,0.6870229,0.51363141,0.50708833,0.42311887,0.3129771,0.14394766,0.217012,917.0,0.88344407,1.6786865,4.5852175,0.46401269
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 366000,2.3642061,0.04247911,0.49930362,0.33356546,0.27367688,0.30988858,0.38440111,0.36281337,0.15807799,1436.0,0.78587375,1.0714438,3.6569684,0.54680609
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4031023,0.04126479,0.07427662,0.55961022,0.16177787,0.12976037,0.21895197,0.12200457,0.0954559,10057.0,0.13140488,1.1869413,1.6192633,0.15405935
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 87000,1.2620027,0.01680384,0.01268861,0.44615912,0.09773663,0.20747599,0.18621399,0.14437586,0.1505487,2916.0,0.23052957,0.88278159,1.6412239,0.30049154
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,87000 to 108000,1.3206522,0.0236413,0.07472826,0.55733696,0.10788043,0.09945652,0.22771739,0.13668478,0.09320652,3680.0,0.20824364,0.97809138,1.663213,0.25938759
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 108000,1.6096504,0.08061254,0.12568622,0.65761341,0.27304247,0.0965039,0.23721468,0.08754695,0.05143022,3461.0,0.28054327,1.1481567,2.0711441,0.2867043
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.0145427,0.08725619,0.23040871,0.76800607,0.27575987,0.23840375,0.18540216,0.16575918,0.06354676,14509.0,0.19291673,1.6971947,2.3318907,0.15752856
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 113000,1.797235,0.07080017,0.21219103,0.52869711,0.21721827,0.24046921,0.25219941,0.21638039,0.05927943,4774.0,0.29787455,1.3072314,2.2872387,0.27264305
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,113000 to 165000,2.1996852,0.13402294,0.300877,0.85720711,0.4220823,0.27501687,0.15291208,0.04609849,0.01146841,4447.0,0.35140849,1.6216182,2.7777521,0.26279532
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 165000,2.0550303,0.06278366,0.18759455,0.90903933,0.20555976,0.20574887,0.15242057,0.22068835,0.11119516,5288.0,0.3155782,1.5359041,2.5741564,0.2526124
"2-4 Units (Own/Rent), 3 BR",All Values,,3.1175725,0.16050725,0.58351449,0.95742754,0.29728261,0.44384058,0.32717391,0.27699275,0.07083333,5520.0,0.40851465,2.4455659,3.7895791,0.21555444
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 140000,3.3421053,0.1979405,0.73798627,0.99828375,0.30263158,0.30778032,0.34496568,0.43878719,0.01372998,1748.0,0.69243025,2.2030575,4.481153,0.34081744
"2-4 Units (Own/Rent), 3 BR",Second Tercile,140000 to 197000,2.9950441,0.24449339,0.61013216,0.92070485,0.34746696,0.36013216,0.34526432,0.0814978,0.08535242,1816.0,0.60392377,2.0015894,3.9884987,0.3316995
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 197000,3.0306748,0.04907975,0.42075665,0.95501022,0.24591002,0.64314928,0.29447853,0.31390593,0.10838446,1956.0,0.77426733,1.7570051,4.3043446,0.42025946
"5-49 Units (Own), 0-1 BR",All Values,,1.2522936,0.0,0.0,0.42889908,0.24311927,0.04816514,0.2912844,0.07798165,0.16284404,436.0,0.47729049,0.46715072,2.0374364,0.6269639
"5-49 Units (Own), 0-1 BR",First Tercile,Below 140000,1.0,0.0,0.0,0.46296296,0.0,0.07407407,0.37037037,0.0,0.09259259,54.0,0.75904469,-0.24862851,2.2486285,1.2486285
"5-49 Units (Own), 0-1 BR",Second Tercile,140000 to 178000,1.1612903,0.0,0.0,0.29677419,0.54193548,0.0,0.27096774,0.0,0.0516129,155.0,0.83566843,-0.21338425,2.5359649,1.1837475
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 178000,1.3744493,0.0,0.0,0.51101322,0.0969163,0.07488987,0.28634361,0.14977974,0.25550661,227.0,0.69670212,0.22837436,2.5205243,0.83384302
"5-49 Units (Own), 2 BR",All Values,,1.7548148,0.03555556,0.16814815,0.22,0.27259259,0.19555556,0.24666667,0.25925926,0.35703704,1350.0,0.36660966,1.1517419,2.3578877,0.34366754
"5-49 Units (Own), 2 BR",First Tercile,Below 178000,1.9008746,0.0,0.36151603,0.20408163,0.303207,0.0,0.13119534,0.2361516,0.66472303,343.0,0.96315711,0.31648119,3.4852681,0.8335076
"5-49 Units (Own), 2 BR",Second Tercile,178000 to 248000,1.8069106,0.09756098,0.20934959,0.18699187,0.39430894,0.40650407,0.08536585,0.18699187,0.2398374,492.0,0.62266033,0.78263432,2.8311868,0.56686605
"5-49 Units (Own), 2 BR",Third Tercile ,Above 248000,1.607767,0.0,0.0,0.26213592,0.13592233,0.12427184,0.4776699,0.34368932,0.26407767,515.0,0.53782696,0.72304164,2.4924923,0.55028207
"5-49 Units (Own), 3 BR",All Values,,1.7852113,0.0,0.11267606,0.36971831,0.06690141,0.1971831,0.80633803,0.02816901,0.20422535,284.0,0.99627179,0.14634417,3.4240784,0.91802417
"5-49 Units (Own), 3 BR",First Tercile,Below 191000,3.9,0.0,1.0,1.0,1.9,0.0,0.0,0.0,0.0,10.0,5.7707772,-5.5929286,13.392929,2.4340842
"5-49 Units (Own), 3 BR",Second Tercile,191000 to 325000,2.6341463,0.0,0.19512195,2.3170732,0.0,0.12195122,0.0,0.0,0.0,41.0,3.2884985,-2.7754337,8.0437264,2.0536369
"5-49 Units (Own), 3 BR",Third Tercile ,Above 325000,1.5450644,0.0,0.06008584,0.0,0.0,0.21888412,0.98283262,0.03433476,0.24892704,233.0,1.047323,-0.17778199,3.2679107,1.1150645
"5-49 Units (Rent), 0-1 BR",All Values,,1.2178947,0.0,0.02108411,0.38603082,0.08387641,0.14053515,0.21398451,0.17580311,0.19658054,13043.0,0.10552355,1.0443084,1.3914809,0.14252977
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 66000,1.0475504,0.0,0.01272815,0.09630163,0.04466859,0.11143132,0.26392891,0.25384246,0.26464938,4164.0,0.14897012,0.80249459,1.2926063,0.23393226
"5-49 Units (Rent), 0-1 BR",Second Tercile,66000 to 103000,1.2567406,0.0,0.0510618,0.41517538,0.07253639,0.20305416,0.2188022,0.10856597,0.18754474,4191.0,0.20505952,0.91941773,1.5940635,0.26841092
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 103000,1.334471,0.0,0.00170648,0.61732082,0.12883959,0.11049488,0.1653157,0.16659556,0.14419795,4688.0,0.20649367,0.99478891,1.6741531,0.25454437
"5-49 Units (Rent), 2 BR",All Values,,2.1260421,0.15478412,0.25083987,1.0262536,0.2352868,0.11048899,0.17481647,0.08485753,0.08871469,8037.0,0.25174147,1.7119273,2.5401568,0.19478199
"5-49 Units (Rent), 2 BR",First Tercile,Below 114000,2.0763359,0.17999196,0.18521495,0.7480916,0.27480916,0.1446364,0.28686219,0.10004018,0.15668943,2489.0,0.41890944,1.3872298,2.7654419,0.33188563
"5-49 Units (Rent), 2 BR",Second Tercile,114000 to 153000,2.1534816,0.22894641,0.33284725,1.0492162,0.16551221,0.13014947,0.12030623,0.09733868,0.02916515,2743.0,0.51474318,1.3067291,3.0002341,0.39320166
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 153000,2.1433155,0.05989305,0.22887701,1.2506239,0.2684492,0.06096257,0.12869875,0.05918004,0.08663102,2805.0,0.42608968,1.442398,2.844233,0.32702489
"5-49 Units (Rent), 3 BR",All Values,,3.3472527,0.07032967,0.99230769,1.532967,0.31978022,0.12307692,0.25054945,0.01868132,0.03956044,910.0,0.90593921,1.8569827,4.8375227,0.44522183
"5-49 Units (Rent), 3 BR",First Tercile,Below 77000,4.8104575,0.24836601,2.9934641,0.67973856,0.63398693,0.0,0.25490196,0.0,0.0,153.0,3.3395776,-0.6831477,10.304063,1.142013
"5-49 Units (Rent), 3 BR",Second Tercile,77000 to 140000,2.6818182,0.07878788,0.75757576,0.75757576,0.15757576,0.33939394,0.43030303,0.05151515,0.10909091,330.0,1.5197445,0.18183853,5.1817978,0.9321958
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 140000,3.3372365,0.0,0.45667447,2.4379391,0.33255269,0.0,0.11007026,0.0,0.0,427.0,1.3272783,1.1538638,5.5206093,0.65424574
"50+ Units (Own), 0-1 BR",All Values,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29268293,0.70731707,41.0,0.78612673,-0.29317848,2.2931785,1.2931785
"50+ Units (Own), 0-1 BR",Second Tercile,170000 to 210000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.445283,-1.3774905,3.3774905,2.3774905
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 210000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,30.0,0.92231593,-0.5172097,2.5172097,1.5172097
"50+ Units (Own), 2 BR",All Values,,1.9435484,0.0,0.0,0.0,0.0,0.0,0.61290323,0.7983871,0.53225806,124.0,1.2941146,-0.18527007,4.0723668,1.0953257
"50+ Units (Own), 2 BR",First Tercile,Below 318000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.6302266,-1.6817228,3.6817228,2.6817228
"50+ Units (Own), 2 BR",Second Tercile,318000 to 410000,2.0263158,0.0,0.0,0.0,0.0,0.0,0.0,2.0263158,0.0,38.0,2.8601785,-2.6786779,6.7313095,2.3219449
"50+ Units (Own), 2 BR",Third Tercile ,Above 410000,2.0540541,0.0,0.0,0.0,0.0,0.0,1.027027,0.2972973,0.72972973,74.0,1.6372569,-0.6392336,4.7473417,1.3112058
"50+ Units (Own), 3 BR",All Values,,0.98507463,0.0,0.0,0.0,0.0,0.0,0.0,0.98507463,0.0,67.0,1.3624382,-1.2561362,3.2262854,2.2751685
"50+ Units (Own), 3 BR",Third Tercile ,Above 225000,0.98507463,0.0,0.0,0.0,0.0,0.0,0.0,0.98507463,0.0,67.0,1.3624382,-1.2561362,3.2262854,2.2751685
"50+ Units (Rent), 0-1 BR",All Values,,1.1594108,0.0,0.0,0.1888707,0.03731588,0.07364975,0.14795417,0.19509002,0.51653028,3055.0,0.19131775,0.8446931,1.4741285,0.27144624
"50+ Units (Rent), 0-1 BR",First Tercile,Below 58000,1.0690827,0.0,0.0,0.0,0.04983012,0.13250283,0.20271801,0.39524349,0.28878822,883.0,0.25782771,0.64495609,1.4932093,0.3967201
