Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.9678699,0.07588019,0.16286405,0.34780253,0.20348549,0.26524582,0.3599133,0.30885789,0.24382064,195611.0,0.03079016,1.9172201,2.0185197,0.02573839
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 106000,1.9085902,0.07191363,0.16753247,0.3295259,0.2125489,0.27196057,0.34953841,0.27695196,0.22861837,63910.0,0.05299688,1.8214103,1.9957701,0.04567763
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,106000 to 191000,2.0376078,0.10181618,0.18785544,0.44722681,0.20895249,0.27021036,0.35505718,0.26441632,0.20207301,65412.0,0.06286319,1.9341978,2.1410177,0.05075067
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 191000,1.9562069,0.05411154,0.13370242,0.26731434,0.18935268,0.25387319,0.37470772,0.38347237,0.29967265,66289.0,0.06138433,1.8552297,2.0571841,0.05161889
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5035336,0.13089713,0.36030438,0.46271084,0.29632796,0.33443987,0.39164893,0.32223367,0.20497082,873900.0,0.01885228,2.4725216,2.5345456,0.01238729
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 170000,2.5306476,0.13920016,0.39999929,0.52328234,0.30319621,0.32347277,0.35733573,0.29340434,0.1907567,281458.0,0.03947844,2.4657055,2.5955896,0.02566222
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,170000 to 288000,2.4977195,0.13913337,0.35033975,0.51413984,0.30307825,0.32410443,0.37247257,0.29898954,0.19546174,290067.0,0.03188515,2.4452684,2.5501706,0.02099959
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 288000,2.4838727,0.11526747,0.33291443,0.3569938,0.28345928,0.35456304,0.44198429,0.37136668,0.22732369,302375.0,0.03765197,2.4219352,2.5458102,0.02493586
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2481096,0.19888555,0.68705649,0.54893523,0.44614816,0.48656554,0.44381625,0.28307169,0.1536307,846517.0,0.02439993,3.2079717,3.2882475,0.01235731
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 311000,3.2667609,0.20906052,0.68242832,0.68638943,0.42561152,0.41934788,0.40645721,0.27014999,0.16731606,277953.0,0.0509163,3.1830036,3.3505182,0.02563925
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,311000 to 531000,3.247392,0.20066991,0.67709393,0.54929426,0.46089059,0.4942896,0.44043849,0.28286881,0.14184639,279140.0,0.04919169,3.1664717,3.3283123,0.02491856
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 531000,3.2308896,0.18739289,0.70110979,0.41658259,0.45165225,0.5436695,0.48295235,0.29567693,0.15185334,289424.0,0.04074581,3.1638628,3.2979165,0.02074564
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0729332,0.14223228,0.24171436,0.60886123,0.32014232,0.2445651,0.23463104,0.16439623,0.11639066,91906.0,0.05846318,1.9767613,2.1691052,0.04639413
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 159000,2.1264874,0.16783906,0.31960423,0.67165209,0.29403064,0.21491026,0.23719677,0.12510683,0.09614752,30422.0,0.10834851,1.9482541,2.3047207,0.08381582
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,159000 to 275000,2.122236,0.14203248,0.24851608,0.69013763,0.33096341,0.24006914,0.19564934,0.16147022,0.11339769,30662.0,0.09915393,1.9591278,2.2853442,0.07685677
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 275000,1.9710272,0.11715658,0.15806891,0.46603076,0.33515022,0.2783077,0.27087794,0.20608656,0.13934852,30822.0,0.10742738,1.7943092,2.1477452,0.08965784
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.7492555,0.21576185,0.49862734,0.67788191,0.46501739,0.35580405,0.27272483,0.17678646,0.0866517,223654.0,0.05266172,2.662627,2.8358841,0.03150981
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 243000,2.8595797,0.23714586,0.60236231,0.83591627,0.43222482,0.31289854,0.22263029,0.14268033,0.07372131,74334.0,0.09045237,2.7107856,3.0083739,0.05203357
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,243000 to 410000,2.7665698,0.19177083,0.50633065,0.6658469,0.48408891,0.36971826,0.27952165,0.17450172,0.09479089,74005.0,0.10181884,2.5990778,2.9340618,0.06054139
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 410000,2.6233552,0.2182301,0.38867423,0.53373166,0.47864303,0.38447852,0.31548828,0.21269335,0.09141605,75315.0,0.07213342,2.5046958,2.7420147,0.04523195
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3506998,0.04017626,0.0467139,0.49464317,0.17343471,0.18106676,0.20139969,0.14354012,0.06972525,34722.0,0.05644481,1.2578481,1.4435516,0.06874341
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 81000,1.2142982,0.01403662,0.01935484,0.26355711,0.09616391,0.20819529,0.28465562,0.21185702,0.11647777,11470.0,0.08356342,1.0768364,1.35176,0.11320269
