Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.961799,0.05012192,0.15415876,0.32728258,0.29070713,0.25684096,0.47791926,0.29937686,0.10539149
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 318000,1.9519928,0.04528986,0.17391304,0.50724638,0.29710145,0.20833333,0.38224638,0.22282609,0.11503623
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,318000 to 600000,2.0454545,0.0597148,0.14081996,0.27807487,0.32174688,0.21122995,0.59536542,0.31639929,0.12210339
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 600000,1.9051195,0.04641638,0.14948805,0.22935154,0.26211604,0.32832765,0.46006826,0.3440273,0.08532423
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.4754668,0.13874881,0.34694017,0.41910863,0.34694017,0.33739948,0.34768979,0.30209895,0.23654082
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 497000,2.5434456,0.07530573,0.38124866,0.54022742,0.29693199,0.34091397,0.3192448,0.29156833,0.29800472
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,497000 to 890000,2.4432227,0.2152675,0.27172764,0.34912244,0.4212307,0.31846056,0.33262846,0.28399239,0.25079298
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 890000,2.4443603,0.12623013,0.3839894,0.37490537,0.32456472,0.35124905,0.38626041,0.32759273,0.16956851
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.173956,0.24230461,0.62624144,0.54808463,0.45759052,0.44383443,0.33033126,0.32076985,0.20479921
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 689000,3.4492265,0.24454582,0.61067037,0.99801666,0.50714002,0.27409758,0.35303451,0.25228084,0.2094407
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,689000 to 1079000,2.9913827,0.24872699,0.54896201,0.38993341,0.4457501,0.48354877,0.36643165,0.33862123,0.16940854
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 1079000,3.098796,0.23503216,0.70427181,0.30710869,0.42635659,0.55154214,0.28104899,0.36269174,0.23074386
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,2.0203655,0.1092454,0.21087059,0.51520669,0.41607661,0.24559984,0.2506575,0.1393216,0.13338728
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 315000,2.0802887,0.11434371,0.29882724,0.65065404,0.32228236,0.19282815,0.24785747,0.15606676,0.09742896
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,315000 to 610000,1.9352282,0.08313998,0.16434648,0.54601701,0.5233952,0.16144625,0.22080433,0.08352668,0.1525522
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 610000,2.0538005,0.13076776,0.18227073,0.36971089,0.38943136,0.37373157,0.28259621,0.18035612,0.14493586
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6059584,0.19648078,0.39441035,0.56078287,0.45741907,0.33366699,0.29291679,0.21897637,0.15130522
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 419000,2.9089724,0.17838807,0.58471192,0.79561568,0.42172602,0.31651862,0.24154511,0.21098525,0.1594817
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,419000 to 750000,2.4795079,0.18854322,0.29942794,0.54125852,0.42292924,0.29206175,0.32042943,0.26502625,0.14983152
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 750000,2.4431985,0.22148326,0.30755549,0.35720362,0.52532673,0.39099838,0.31451551,0.18111515,0.14500039
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.4640098,0.06654938,0.06379561,0.52398072,0.23001606,0.21349346,0.19475254,0.10540809,0.06601392
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 120000,1.369271,0.05960579,0.03918309,0.29351698,0.1315602,0.33626217,0.25267157,0.18879126,0.06767989
"2-4 Units  (Own/Rent), 0-1 BR",Second Tercile,120000 to 188000,1.5260557,0.0927673,0.12578616,0.5172956,0.28863432,0.14869721,0.21540881,0.07412399,0.06334232
"2-4 Units  (Own/Rent), 0-1 BR",Third Tercile ,Above 188000,1.4918367,0.04671202,0.02471655,0.75079365,0.26485261,0.161678,0.1185941,0.05736961,0.06712018
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.180612,0.20119144,0.31464934,0.87128802,0.34578933,0.22258327,0.12943406,0.07636068,0.01931582
"2-4 Units  (Own/Rent), 2 BR",First Tercile,Below 165000,2.5514344,0.37583309,0.57896262,0.71689365,0.23036801,0.25297015,0.23935091,0.1222834,0.03477253
"2-4 Units  (Own/Rent), 2 BR",Second Tercile,165000 to 341000,2.0612565,0.08638743,0.30863874,1.1327225,0.27277487,0.17303665,0.04816754,0.0395288,0.0
"2-4 Units  (Own/Rent), 2 BR",Third Tercile ,Above 341000,1.9642857,0.15808824,0.08114496,0.74894958,0.52363445,0.2447479,0.11134454,0.07169118,0.02468487
"2-4 Units (Own/Rent), 3 BR",All Values,,3.0015695,0.3309417,0.58295964,1.1318386,0.42959641,0.17959641,0.25829596,0.06008969,0.02825112
"2-4 Units (Own/Rent), 3 BR",First Tercile,Below 171000,4.0221904,0.60987831,1.1617752,1.4137437,0.33357194,0.17322835,0.28346457,0.01932713,0.02720115
"2-4 Units (Own/Rent), 3 BR",Second Tercile,171000 to 509000,2.6417186,0.10880111,0.38669439,1.4088704,0.46292446,0.05336105,0.07484407,0.1025641,0.04365904
"2-4 Units (Own/Rent), 3 BR",Third Tercile ,Above 509000,2.4419753,0.2882716,0.25864198,0.64197531,0.48271605,0.29753086,0.4,0.05740741,0.0154321
"5-49 Units (Own), 0-1 BR",All Values,,1.2393685,0.00696914,0.02688096,0.4572607,0.3211492,0.21974115,0.11349737,0.059451,0.034419
"5-49 Units (Own), 0-1 BR",First Tercile,Below 340000,1.2248738,0.02202845,0.03671409,0.39926572,0.26984855,0.23405232,0.17072051,0.0633318,0.02891235
"5-49 Units (Own), 0-1 BR",Second Tercile,340000 to 470000,1.2020952,0.0,0.04757748,0.42863378,0.27760803,0.26887822,0.0838062,0.07333042,0.02226102
"5-49 Units (Own), 0-1 BR",Third Tercile ,Above 470000,1.2850449,0.00039047,0.0,0.53221398,0.40374854,0.16360797,0.09137056,0.04373292,0.04998048
"5-49 Units (Own), 2 BR",All Values,,1.7172875,0.11256652,0.07831901,0.39527903,0.51098376,0.29540183,0.15554646,0.08937099,0.07981989
"5-49 Units (Own), 2 BR",First Tercile,Below 419000,1.6974507,0.17316017,0.03559404,0.54449254,0.39442039,0.21308321,0.16402116,0.09187109,0.08080808
"5-49 Units (Own), 2 BR",Second Tercile,419000 to 650000,1.7097606,0.08360958,0.0961326,0.33922652,0.57200737,0.37163904,0.12854512,0.05046041,0.06813996
"5-49 Units (Own), 2 BR",Third Tercile ,Above 650000,1.7416174,0.0938856,0.09428008,0.33293886,0.54122288,0.28126233,0.17751479,0.12899408,0.09151874
"5-49 Units (Own), 3 BR",All Values,,2.7377377,0.4044044,0.52052052,0.30730731,0.51051051,0.28828829,0.15215215,0.3043043,0.25025025
"5-49 Units (Own), 3 BR",First Tercile,Below 530000,3.2805281,0.51485149,0.78877888,0.40924092,0.7689769,0.49174917,0.0330033,0.12541254,0.14851485
"5-49 Units (Own), 3 BR",Second Tercile,530000 to 1047000,2.8015564,0.73540856,0.22957198,0.59922179,0.76653696,0.07782101,0.06614786,0.32684825,0.0
"5-49 Units (Own), 3 BR",Third Tercile ,Above 1047000,2.3257403,0.13439636,0.50569476,0.06605923,0.18223235,0.27107062,0.28473804,0.41457859,0.46697039
"5-49 Units (Rent), 0-1 BR",All Values,,1.422391,0.05944785,0.08727318,0.55190015,0.2200193,0.1556849,0.18839678,0.1044228,0.05524604
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 117000,1.3610815,0.06173079,0.04913267,0.33239655,0.12520593,0.16920244,0.31466227,0.19701521,0.11173563
"5-49 Units (Rent), 0-1 BR",Second Tercile,117000 to 172000,1.5491513,0.09130759,0.17907107,0.53105764,0.27560157,0.17179631,0.1610707,0.10138034,0.03786607
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 172000,1.3568723,0.02651515,0.03400072,0.77633478,0.25450938,0.12752525,0.09731241,0.02119408,0.01948052
