Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.1640238,0.09607922,0.18570186,0.30877827,0.25033454,0.22775325,0.34383782,0.47022615,0.28131273,29892.0,0.11022814,1.9826985,2.3453491,0.0837908
"Single-Family Detached  (Own/Rent), 2 BR",    Below Median,350000,2.1409955,0.11569512,0.21810438,0.39940245,0.30792702,0.19897019,0.29991736,0.34829318,0.25268578,15731.0,0.13985818,1.9109288,2.3710622,0.10745782
"Single-Family Detached  (Own/Rent), 2 BR",    Above Median,350000,2.1896053,0.07428854,0.14970694,0.20810677,0.1863569,0.25972742,0.39262764,0.60567757,0.31311348,14161.0,0.15228473,1.9390969,2.4401136,0.11440801
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.7324964,0.18639974,0.47924041,0.53376799,0.41301677,0.35938848,0.35274834,0.28553652,0.12239819,191261.0,0.0506814,2.6491255,2.8158673,0.03051089
"Single-Family Detached  (Own/Rent), 3 BR",    Below Median,380000,2.8068603,0.2205322,0.53192916,0.64473029,0.42082482,0.32465632,0.30211032,0.24751831,0.11455888,98421.0,0.07166779,2.6889668,2.9247538,0.04200192
"Single-Family Detached  (Own/Rent), 3 BR",    Above Median,380000,2.6536622,0.15021542,0.42338432,0.41613529,0.40473934,0.39620853,0.40643042,0.32584016,0.13070875,92840.0,0.07079218,2.5372091,2.7701154,0.04388393
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.5836937,0.26605216,0.95173752,0.61302229,0.64514906,0.56339813,0.31448423,0.16798595,0.06186436,200487.0,0.06581174,3.4754334,3.691954,0.03020914
"Single-Family Detached  (Own/Rent), 4-5 BR",    Below Median,500000,3.6717246,0.27807079,0.99665239,0.72880564,0.64290279,0.51212673,0.28616799,0.1622016,0.06479671,104851.0,0.09250958,3.5195464,3.8239029,0.04144599
"Single-Family Detached  (Own/Rent), 4-5 BR",    Above Median,500000,3.4871806,0.25287549,0.90249488,0.48608265,0.64761178,0.61960977,0.34552888,0.17432766,0.05864946,95636.0,0.08622456,3.3453412,3.62902,0.04067452
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.9797727,0.12008161,0.17534247,0.6600408,0.32725153,0.25257942,0.18548528,0.12544448,0.13354707,17155.0,0.1174993,1.7864863,2.173059,0.09763058
"Single-Family Attached  (Own/Rent), 2 BR",    Below Median,308000,2.1218362,0.15335941,0.25632766,0.7740451,0.28601012,0.21801657,0.17982052,0.11079153,0.14346526,8692.0,0.18109216,1.8239396,2.4197328,0.14039566
"Single-Family Attached  (Own/Rent), 2 BR",    Above Median,308000,1.8338651,0.08590334,0.0921659,0.54295167,0.36960889,0.28807751,0.19130332,0.14049391,0.12336051,8463.0,0.15745282,1.5748552,2.0928749,0.14123715
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.6308426,0.19499946,0.44477526,0.80769093,0.46106109,0.29770061,0.22602863,0.14442013,0.05416652,27877.0,0.14690633,2.3891817,2.8725035,0.09185685
"Single-Family Attached  (Own/Rent), 3 BR",    Below Median,340000,2.9185085,0.25431342,0.63589049,0.93790104,0.41751034,0.2824754,0.20782832,0.13282475,0.04976472,14026.0,0.22688413,2.5452841,3.2917329,0.1278819
"Single-Family Attached  (Own/Rent), 3 BR",    Above Median,340000,2.3395423,0.13493611,0.2512454,0.67583568,0.50516208,0.31311819,0.24445888,0.15616201,0.05862393,13851.0,0.18417654,2.0365719,2.6425127,0.12949986
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.6572401,0.11482033,0.09313204,0.68466936,0.21709547,0.17754625,0.21858388,0.08951733,0.0618754,4703.0,0.21222953,1.3081225,2.0063576,0.21066204
"2-4 Units  (Own/Rent), 0-1 BR",    Below Median,128000,1.7602061,0.13119302,0.15061435,0.66428855,0.1902497,0.23265953,0.24653191,0.11097899,0.03369005,2523.0,0.31886387,1.235675,2.2847372,0.29799412
"2-4 Units  (Own/Rent), 0-1 BR",    Above Median,128000,1.5380734,0.09587156,0.0266055,0.70825688,0.24816514,0.11376147,0.18623853,0.0646789,0.09449541,2180.0,0.28733691,1.0654042,2.0107426,0.30731253
"2-4 Units  (Own/Rent), 2 BR",All Values,,2.3075059,0.20329318,0.37108846,0.87675529,0.28148835,0.20165372,0.16786656,0.12295958,0.08240074,14029.0,0.21819368,1.9485773,2.6664345,0.1555483
"2-4 Units  (Own/Rent), 2 BR",    Below Median,151000,2.3614191,0.2493071,0.44747783,0.88858093,0.29808758,0.18278825,0.12042683,0.09187916,0.0828714,7216.0,0.27910716,1.9022878,2.8205503,0.19443024
