Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,2.0131144,0.08640627,0.15864991,0.32246476,0.19949989,0.27325042,0.37899518,0.35811704,0.2357309,91579.0,0.04774616,1.9345719,2.0916568,0.03901539
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 73000,1.9583319,0.08243103,0.11917133,0.30699608,0.18993664,0.29697295,0.41047903,0.30609098,0.2462539,29831.0,0.0890005,1.8119261,2.1047378,0.07476047
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,73000 to 111000,2.0593806,0.10299853,0.19705063,0.39980338,0.24460102,0.2718663,0.33871866,0.33363919,0.17070293,30515.0,0.09232727,1.9075023,2.211259,0.07374953
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 111000,2.020235,0.07399225,0.15883841,0.26167835,0.16456953,0.25194506,0.38827522,0.43172286,0.28921333,31233.0,0.09059018,1.8712142,2.1692559,0.07376412
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5088973,0.11792275,0.35682303,0.4230311,0.29752369,0.33542089,0.39936216,0.35852594,0.22028778,267777.0,0.033373,2.4539988,2.5637959,0.02188156
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 104000,2.5340799,0.11346258,0.37489118,0.45356798,0.28761499,0.34419923,0.38327883,0.34638731,0.23067783,85006.0,0.07092997,2.4174001,2.6507597,0.04604425
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,104000 to 178000,2.5196756,0.13892251,0.36466876,0.45089301,0.30222036,0.32090624,0.39509552,0.342533,0.2044362,88409.0,0.07644774,2.3939191,2.6454321,0.04990981
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 178000,2.4761133,0.10226574,0.33319557,0.36941777,0.30204955,0.34111189,0.41784829,0.38444501,0.22577945,94362.0,0.06186086,2.3743522,2.5778744,0.04109711
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.2659699,0.19022193,0.72381507,0.56773878,0.43339997,0.42179315,0.40005567,0.32061307,0.20833228,118551.0,0.07764688,3.1382408,3.393699,0.03910909
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 140000,3.310343,0.20100152,0.72865956,0.66418007,0.42972561,0.3836504,0.36067732,0.31214992,0.23029865,38741.0,0.12895387,3.0982139,3.5224722,0.0640807
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,140000 to 265000,3.2220903,0.18072472,0.70781321,0.58283216,0.42050336,0.39333906,0.39078688,0.329484,0.21660686,39574.0,0.13290895,3.003455,3.4407255,0.06785509
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 265000,3.2664032,0.18918382,0.73488915,0.46003579,0.44962223,0.48650462,0.44708719,0.32003678,0.17904364,40236.0,0.12926119,3.0537686,3.4790379,0.06509749
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.7261241,0.07778142,0.12569741,0.63094847,0.14522481,0.14702987,0.18083361,0.23679029,0.18181818,6094.0,0.17549406,1.4374363,2.0148118,0.16724622
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 100000,1.8423493,0.13292117,0.16846986,0.53580629,0.18186502,0.26841834,0.16434827,0.21071613,0.17980422,1941.0,0.3045461,1.341371,2.3433276,0.27192365
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,100000 to 133000,1.766747,0.08722892,0.1253012,0.74987952,0.11807229,0.13445783,0.2226506,0.22361446,0.10554217,2075.0,0.40885843,1.0941749,2.4393191,0.3806839
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 133000,1.5769971,0.01684312,0.08614052,0.60105871,0.13811357,0.04619827,0.15447546,0.27430221,0.25986526,2078.0,0.26346174,1.1436025,2.0103917,0.27482267
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.4877506,0.18110954,0.45383681,0.71988257,0.34369306,0.33640413,0.23263819,0.12563272,0.09455355,9878.0,0.17746394,2.1958224,2.7796787,0.11734624
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 140000,2.6293572,0.17716661,0.56028142,0.64694595,0.31467861,0.33386633,0.34729773,0.13527343,0.11384714,3127.0,0.40422427,1.9644083,3.2943061,0.2528941
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,140000 to 202000,2.5336323,0.19602819,0.4615631,0.86547085,0.41095452,0.1925048,0.22101217,0.09320948,0.09288917,3122.0,0.3720529,1.9216053,3.1456593,0.24156111
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 202000,2.3262607,0.17167264,0.35546983,0.6574814,0.31082943,0.46238633,0.14384128,0.14521907,0.07936071,3629.0,0.27017326,1.8818257,2.7706957,0.19105125
