Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"Single-Family Detached  (Own/Rent), 2 BR",All Values,,1.945485,0.07849415,0.17300135,0.34013565,0.19881126,0.25772871,0.38209059,0.31696974,0.19825351
"Single-Family Detached  (Own/Rent), 2 BR",First Tercile,Below 108000,1.9249219,0.09827271,0.20542159,0.39771682,0.20941262,0.25247172,0.34410999,0.24667954,0.17083695
"Single-Family Detached  (Own/Rent), 2 BR",Second Tercile,108000 to 178000,1.9592142,0.08470209,0.18675684,0.40343961,0.21611594,0.24891465,0.3512657,0.28179066,0.18622866
"Single-Family Detached  (Own/Rent), 2 BR",Third Tercile ,Above 178000,1.9519938,0.05341376,0.12842032,0.22327126,0.17181822,0.2713399,0.44857817,0.41881783,0.23633434
"Single-Family Detached  (Own/Rent), 3 BR",All Values,,2.5294925,0.1385391,0.4025095,0.43159751,0.318677,0.34429439,0.42232398,0.30456001,0.16699102
"Single-Family Detached  (Own/Rent), 3 BR",First Tercile,Below 158000,2.5477951,0.14718369,0.45286283,0.50831298,0.32847713,0.32190163,0.36542935,0.24600163,0.17762584
"Single-Family Detached  (Own/Rent), 3 BR",Second Tercile,158000 to 254000,2.502885,0.13526575,0.38884281,0.43473328,0.32143793,0.33638887,0.41671604,0.30293956,0.16656075
"Single-Family Detached  (Own/Rent), 3 BR",Third Tercile ,Above 254000,2.5376659,0.13349254,0.36793894,0.35596749,0.30675343,0.37306956,0.48155935,0.36154889,0.15733565
"Single-Family Detached  (Own/Rent), 4-5 BR",All Values,,3.1918155,0.20757061,0.77541666,0.51259249,0.4595211,0.44394345,0.41588833,0.2491417,0.12774115
"Single-Family Detached  (Own/Rent), 4-5 BR",First Tercile,Below 199000,3.1751138,0.23027686,0.76457827,0.63553994,0.41781632,0.37071988,0.37233185,0.23310452,0.15074621
"Single-Family Detached  (Own/Rent), 4-5 BR",Second Tercile,199000 to 339000,3.1832249,0.18822102,0.75668678,0.52234771,0.47064693,0.44228163,0.41832586,0.25521357,0.1295014
"Single-Family Detached  (Own/Rent), 4-5 BR",Third Tercile ,Above 339000,3.2154351,0.20436246,0.80299833,0.38853927,0.4881549,0.51396164,0.45434676,0.25848187,0.10458982
"Single-Family Attached  (Own/Rent), 2 BR",All Values,,1.85909,0.08340989,0.17296912,0.44382159,0.20253473,0.17092559,0.27647687,0.28568215,0.22327003
"Single-Family Attached  (Own/Rent), 2 BR",First Tercile,Below 117000,2.0422271,0.13054089,0.29411431,0.62023951,0.279244,0.17299506,0.26255747,0.17049776,0.11203814
"Single-Family Attached  (Own/Rent), 2 BR",Second Tercile,117000 to 182000,1.8725154,0.09914813,0.18930431,0.48047799,0.21338145,0.18871273,0.25550166,0.22089446,0.22509465
"Single-Family Attached  (Own/Rent), 2 BR",Third Tercile ,Above 182000,1.6755421,0.02513818,0.04485544,0.24569515,0.12096088,0.15300808,0.30835459,0.4517432,0.32578656
"Single-Family Attached  (Own/Rent), 3 BR",All Values,,2.764532,0.20536714,0.67534975,0.55330203,0.42682142,0.25150742,0.27305227,0.23086823,0.14826378
"Single-Family Attached  (Own/Rent), 3 BR",First Tercile,Below 135000,3.0413677,0.28093425,0.93637429,0.68069996,0.46060917,0.21782106,0.21591741,0.14687363,0.10213794
"Single-Family Attached  (Own/Rent), 3 BR",Second Tercile,135000 to 200000,2.8219178,0.230879,0.69520548,0.6694492,0.49686073,0.265625,0.26027397,0.11693779,0.08668664
"Single-Family Attached  (Own/Rent), 3 BR",Third Tercile ,Above 200000,2.4435422,0.1080854,0.40630032,0.31753588,0.32579629,0.26986349,0.34021701,0.42296115,0.25278264
"2-4 Units  (Own/Rent), 0-1 BR",All Values,,1.3122582,0.03910312,0.07022299,0.51129728,0.17617346,0.14929161,0.20574104,0.11728471,0.04314402
"2-4 Units  (Own/Rent), 0-1 BR",First Tercile,Below 69000,1.1925647,0.02818957,0.0553806,0.34948921,0.14048698,0.15876795,0.25293801,0.16813887,0.03917352
